,tweet_id,text
0,862358938137894912,18-22 yrs old? Middle Eastern? Can Sing and Dance? #GuyRitchie is looking for his #Aladdin &amp; there's an open auditi
1,862351788422434819,When you talk with bae
2,862350033017896960,Live-action ALADDIN will be a musical |  via gmanews
3,862350028232208384,Live-action ALADDIN will be a musical |  via gmanews
4,862347500535021569,young sex porn videos #aladdin porn cartoon
5,862346788493250560,realguyritchie have you ever considered ActuallyNPH for Genie's role in #Aladdin? He did great in
6,862341474863677440,"The genie is free!#Aladdin starts at 7:30/6:30c, followed by an encore of #DisneyWeddings at 9:30/8:30c."
7,862341457021108224,"AdewumiGokeDSJ what's strong wif you mahn? I'd make a wish that Gene makes you addicted to #Aladdin oh. Seriously, it's evergreen!"
8,862341360950550528,One of the best Genie moments
9,862340953738235906,"DisneyWeddings: RT FreeformTV: TONIGHT, dont miss an encore of #DisneyWeddings at 9:30/8:30c, following #Aladdin at 7:30/6:30c."
10,862338948902907906,A whole new world awaits you...  casting for Guy Ritchie's #Aladdin get involved!!!!
11,862336465652592644,"TONIGHT, dont miss an encore of #DisneyWeddings at 9:30/8:30c, following #Aladdin at 7:30/6:30c."
12,862336457993854977,"TONIGHT, its a special like none youve seen before. Dont miss an encore of the #DisneyWeddings special at 9:30/8"
13,862332682533036034,"Its a magical ride you wont wanna miss! (No carpet required.) #DisneyWeddings is TONIGHT at 9:30/8:30c, followin"
14,862332286922108929,New music video from XryspaOfficial #aladdin
15,862323183126433793,Thanks John Gullidge for this very nice shot of my Disney's #Aladdin #cosplay during #AMGchan!
16,862319594563919872,"Guy Ritchie talks Aladdin and rumoured Will Smith casting; remake will be a musical for sure, however... #Aladdin"
17,862316388802854914,"How niche is a crush as Brad, that guy who did #Aladdins voice in 1992?"
18,862313279804329984,#aladdin fucking naked gurl pics
19,862302706823823360,Not like #Aladdin - U.S. military encounters with #Jinn in Middle East
20,862290291625209857,Aladdin: Diamond Edition (Blu-ray/DVD/Digital HD)
21,862284839038443521,These were definitely great finds. #HarvestMoon #donkeykong #aladdin #mario  #gaming #gamer #retrogaming
22,862282488542093312,#TheOfficialKairi #Disney #aladdin  #Meme #Relatable #Graduation #2017 iFunny
23,862273854760255488,#aladdin toon porn youngleaf porn
24,862268272695181312,#aladdin toon porn nude business women
25,862268254043164672,The office has been casting our ideal #Aladdin live action actors. LISTEN UP GUY RITCHIE.
26,862266744269938689,Suspicions about the #Aladdin live-action movie have been confirmed!  via ComicBook
27,862265038735847424,"From Empire Magazine &lt;&gt;&gt; \""Do you think you look like #Aladdin? Can you sing? Dance a little? Does the idea of..."
28,862258890762858497,Curveball suggestion for Genie in live action #Aladdin - Richard Ayoade!
29,862255315294707712,"#WillSmith will play the role of Genie in the #Aladdin remake, #jumanji is now a sweet old #videogame:CineSardar"
30,862254662547845120,#aladdin hentai porn tamil stories sex
31,862254366748704768,"#GuyRitchie is directing a live-action #Aladdin, &amp; it'll be a musical. Will the Sultan say \""Paise Allah\"" though?"
32,862252482600329217,Just heard that ticket sales are already WAY up on last year's Panto for #Aladdin prestguildhall which is nice!
33,862248754799415296,Got something to ask the brand new #Aladdin?Tweet using #AskMatthewCroke by 2pm on 10/5 &amp; #win 2 tickets for the show of your choice!
34,862248219513831424,"Even thru I'm not at uni/school anymore, I still find this relevant!"
35,862245835203112960,Everything you must learn about life can be found in Sega's #Aladdin game.PRL 75: I Think We Got It! #PodernFamily
36,862245435003596801,#Aladdin with my fave people on earth   Her Majesty's Theatre Melbourne
37,862244868793421824,Check out our AWESOME Disney Aladdin Genie Toy Box Review !#Aladdin #genie  #Disney #Robinwilliams
38,862241076798738432,First Love #aladdin #jasmine #disney #disneymovie #disneygirl #firstlove #loser
39,862229788337025026,Should be interesting
40,862225876922060800,What a Dream role it would be to play   #Aladdin in the new #Disney film    realguyritchie
41,862223754541375488,Want to try out for the lead in Guy Ritchies #Aladdin? There is an open audition this Sunday in London:
42,862223187731468288,Want to try out for the lead in Guy Ritchies #Aladdin? There is an open audition this Sunday in London:
43,862218695782928385,Disney Aladdin Genie Toy Box Review !
44,862213037561847809,"Great matinee show today guys n girls. Beautiful sets, amazing music, fantastic performances #Aladdin Hibstah iamMJScott ainsley_melham"
45,862210834998607872,"impossible_cut Hibstah iamMJScott ainsley_melham Great matinee show today guys n girls. Beautiful sets, amazing"
46,862202436559097856,Watching Aladdin for the first time since Robin Williams past. I wonder how epic the recording sessions were with him!
47,862197178244222976,throwbackk
48,862175107770449920,Any #Aladdin lookalikes out there? #RT #GuyRitchie #movie
49,862174721428926464,Also hope they cast Brown actors and not white wash #Aladdin and am more worried about the casting of Genie than anything else
50,862174181395492864,I just hope they don't cast #DevPatel as #Aladdin for the nee live action #Disney movie
51,862166757238231042,Just finished this Magi fan art :D I think it came out pretty good.#anime #manga #fanart #magi #popart #aladdin
52,862157051387981825,Guy Ritchie's 'Aladdin' Live-Action Remake Will Be a Musical
53,862152222620221440,"Guy Ritchie macht aus \""Aladdin\"" ein Filmmusical #Aladdin #GuyRitchie"
54,862151372975861760,relationship goals since 1992
55,862147300117884928,Thank you Aladdin#like4like #follow4follow #foodheaven #chocolate #lovers #aladdin
56,862140873970040832,Disney's live action adaptation of #Aladdin will indeed be a musical according to director Guy Ritchie.
57,862140341331173377,Will Smith is rumoured to play Genie in the live-action remake of #Aladdin.
58,862139228137943045,realguyritchie Hi. Have you thought about ActuallyNPH for Genie's role in #Aladdin movie? He did great in A Series of Unfortunate Events.
59,862137817241190401,Birthday fun is so fun. #birthdaysforever #loveher #aladdin #musicals #nosingingdoctorsorders
60,862133621972508672,The way they look at each other.
61,862132179505221633,"realguyritchie if you really are in charge of #Aladdin remake, consider tinadesai07 from #Sense8 to play"
62,862131986483302400,New commission I'm working on
