,tweet_id,text
0,862335673923248131,SO MUCH THIS. Luckily there are some areas (Hollywood) where diversity still counts.
1,862330330283352064,Now &gt;&gt;&gt;  #AmericanSniper Mono29
2,862320778032939009,"Writers Guild Awards 2015,..."
3,862291290704228352,Watch American Sniper (2014) on #nowtv (14-Day Free Trial)Watch right now:
4,862193778790150144,"American Sniper (2014) on #VidimovieTrailers, Clips &amp; Reviews:"
5,862185707187707905,American Sniper (2014) Download Full Movie HDDownload Link:
6,862031239590576128,Visited the Texas State Cemetary today. Final resting spot for many great Americans. #AmericanSniper
7,862024675488129025,American Sniper (2014) Full Movie HDDownload Now:
8,862004999982903299,"#BREAKING - Murder conviction upheld in American Sniper killing, says Eastland Co. appellate court."
9,862004999592738816,"#BREAKING - Murder conviction upheld in American Sniper killing, says Eastland Co. appellate court."
10,861803701694074880,"#AmericanSniper won in the hearts of Patriots, we could careless what Hollywood elites think it give awards for."
11,861763287842791425,American Sniper (2014) - Start Free TrialWatch Now:
12,861636351371902978,Regarder American Sniper (2014) Gratuit en Ligne Link:
13,861636083410456576,Watch American Sniper (2014) Free Online Link:
14,861621765012848641,"This week, special guest Taya Kyle, wife of \""American Sniper,\"" Chris Kyle, joins us on the pod! #AmericanWife"
15,861562445441060871,talkingfooty TomBrowne7 What a fucking dog #tosspot #weakaspiss #sniper #americansniper #sniperelite
16,861519095019302912,Watch American Sniper (2014) Online on #FlixanoStart Free Trial:
17,861406072518705152,SpencerKarter #EddieRayRouth deserves 2 rot in jail. Still feel sorry 4 TayaKyle &amp; the family of #ChadLittlefield.
18,861403656763170816,SpencerKarter I heard that ChrisKyleFrog's killer #EddieRayRouth had his appeal denied back in March.
19,861363358611779584,SherriBergan oinc2islam MVZexplorer sbhouston60 A10fanatic gwfrazee RosaleeAdams #Chris Kyle
20,861181553564672000,Watch American Sniper (2014) on #NowTV (14-Day Free Trial)Watch right now:
21,861089104431394818,"American Sniper (2014) on #VidimovieTrailers, Clips &amp; Reviews:"
22,861016383781523456,Phil. Fucking. Kessel.
23,861014277519441920,GOOOOOOOOOOOOOOOOOAAAAAAAAAALLLLLLLLL PKessel81 #LetsGoPens #AmericanSniper Penguins
24,860987118964924418,Regarder American Sniper (2014) Gratuit en Ligne Link:
25,860880145938251777,Chris Kyle was a true American hero!
26,860771510247718912,American Sniper (2014) Download Full Movie HDDownload Link:
27,860758762293952512,"Chris Kyle, THE #AmericanSniper is a testament to how we MUST support &amp; take care of our Veterans."
28,860738179363729408,American Sniper (2014) Full Movie HDDownload Now:
29,860721670256041984,#NowWatching the Chris Kyle Commemorative Edition of Clint Eastwood's amazing war epic
30,860694939713249280,"How come no one has made a comic from #americansniper? That should be amazing, he deserves! #NavySEAL #comics"
31,860595184559697923,Stream American Sniper (2014) on GeekerMoviesWatch Now:
32,860525535537090561,"\""Every time I kill someone, he can't plant an I.E.D. You don't think twice about it.\"""
33,860468220788174850,I have this movie so loud you would thinking I am in Iraq!
34,860193744909455360,I'm off Just watching to #AmericanSniper See ya later Babes
35,860184220609773568,Regarder American Sniper (2014) Gratuit en Ligne Link:
36,860184077076484098,Watch American Sniper (2014) Free Online Link:
37,860092264684691457,Watch American Sniper (2014) on #NOWTV (14-Day Free Trial)Watch it now:
38,860000400908398592,"American Sniper (2014) - Trailers, clips, reviews and moreWatch Now:"
39,859766553763606528,I needs to kill some A rabs!
40,859566667738828800,"First time watching #AmericanSniper, it's safe to say Bradley Cooper never fails"
41,859533650492366849,Did not know how #AmericanSniper ended.That's just broken my heart. :-(
42,859505234829357060,"Writers Guild Awards 2015,..."
43,859247010091851776,"All #AmericanSNIPER Joe Girard lll, showing off #CrazyRange JG3_____ PatLawless_ TheCityRocks D1Circuit"
44,859232881331372034,Battlefield 4: 100 Recorded Kills w/ SL1M CARDI #AmericanSniper:  via YouTube
45,859133475755966464,celebrity endorsement for the penguins #HYPE #CONFIRMED #LETSGOCHAMPS #WallFlowerPower #AmericanSniper #SidtheGOAT
