,tweet_id,text
0,862379371360772096,"Astro2fish NASA #CreaivityInSpace, shades of"
1,862344417964937218,"RT Electronaut93: LamaJabr Thank you ;) EARTHRISE - it's a #scifi #book w/ #Apollo11 astronaut rescue space mission, #Apollo13 meets #gra\u2026"
2,862344338918973440,"RT Electronaut93: LamaJabr Thank you ;) EARTHRISE - it's a #scifi #book w/ #Apollo11 astronaut rescue space mission, #Apollo13 meets #gra\u2026"
3,862344338855968769,"RT Electronaut93: LamaJabr Thank you ;) EARTHRISE - it's a #scifi #book w/ #Apollo11 astronaut rescue space mission, #Apollo13 meets #gra\u2026"
4,862344338847670272,"RT Electronaut93: LamaJabr Thank you ;) EARTHRISE - it's a #scifi #book w/ #Apollo11 astronaut rescue space mission, #Apollo13 meets #gra\u2026"
5,862344338826641409,"RT Electronaut93: LamaJabr Thank you ;) EARTHRISE - it's a #scifi #book w/ #Apollo11 astronaut rescue space mission, #Apollo13 meets #gra\u2026"
6,862341630787039232,"LamaJabr Thank you ;) EARTHRISE - it's a #scifi #book w/ #Apollo11 astronaut rescue space mission, #Apollo13 meets\u2026"
7,862331839599476746,RT EngVillage: New documentary celebrates the engineers behind the #Apollo13 launch:
8,862317329778192384,RT PracticallyFX: In #Apollo13 the spacecraft's interior set was built inside a 'vomit comet' aircraft which allowed the actors to experie\u2026
9,862308585358970880,RT EngVillage: New documentary celebrates the engineers behind the #Apollo13 launch:
10,862306245511790592,New documentary celebrates the engineers behind the #Apollo13 launch:
11,862292775269580801,Gets me every time - crying at the end of
12,862262823832788993,Failure is not an option\n
13,862250912269467648,"\""Apollo 13\"" starts in ten minutes on 7flix Sydney."
14,862238349896974336,"\""Apollo 13\"" starts in an hour on 7flix Sydney."
15,862161580850589696,G'night. #speedytuesday #omega #speedmaster #chronograph #moonwatch #nasa #apollo13 #snoopy\u2026
16,862095854412353536,Passengers 4K BLU RAY UNBOXING/Review - Chris Pratt
17,862095160943030273,StevenDaGuy - Trill [  ]
18,862072372798439428,"\""Apollo 13\"" starts early evening at 8:30 PM on 7flix Sydney."
19,862041705209573376,Great meeting legendary cinematographer #DeanCundy!  #texasfrightmareweekend #bttf #halloween #apollo13\u2026
20,861994938384474112,Corbyn says #Labour will transform Britain as he launches election campaign | Politics | The Guardian
21,861990298494406657,One of my great highlights speaking with the great kevinbacon. Thanks for the great chat! #kevinbacon #footloose\u2026
22,861960807482916864,"RT RKOs_QueenV: \""Here it comes, the constellation Urine. Now that's a beautiful sight.\"""
23,861959276050436097,RT bow38: RIP Bill Paxton. #Twister #Aliens #Titanic #Apollo13 ...
24,861956962212352000,"RT RKOs_QueenV: \""Here it comes, the constellation Urine. Now that's a beautiful sight.\"""
25,861847363421450240,RT Cosmicstrenght3: Apollo astronaut: 'You go to heaven when you are born'  via BI_Science  #Apollo13  \ud83c\udf0d\ud83d\udc93
26,861832313616744448,RT Avinash_Mirror: itsSSR's spacesuit for #ChandaMamaDoorKe designed by #Apollo13 special effects supervisor
27,861807261970288640,RT Rainmaker1973: .ESA_History NASAhistory NewHorizons2015 StarTalkRadio The severely damaged #Apollo13 Service Module after separatio\u2026
28,861738757413892096,RT apollomovie: Reposting apollovii_xvii:\nPhoto from #Apollo13. #NASA #Apollo #ApolloVIIXVII #SpaceExploration #Spacetravel #Analog #Spac\u2026
29,861738742645706752,Reposting apollovii_xvii:\nPhoto from #Apollo13. #NASA #Apollo #ApolloVIIXVII #SpaceExploration #Spacetravel\u2026
30,861732892598296576,StevenDaGuy - Trill [  ]
31,861670964328878080,#ConcentrateMonday at #PeoplesChoiceAnnArbor ! 25% off #shatter and 10% off #wax &amp; #cartridges!! #apollo13 \ud83d\udc4c\ud83d\udc4d\ud83c\udf33
32,861668977906470912,In #Apollo13 the spacecraft's interior set was built inside a 'vomit comet' aircraft which allowed the actors to ex\u2026
33,861403622994845697,RT Avinash_Mirror: itsSSR's spacesuit for #ChandaMamaDoorKe designed by #Apollo13 special effects supervisor
34,861370529571373057,StevenDaGuy - Trill [  ]
35,861351793359544320,"I was so twitchy as I completed #myUND paper, I took a cue from #Apollo13 &amp; left myself a \ud83d\udcdd to check  my verb tense\u2026"
36,861197133780836352,#NowWatching #Apollo13 getting through as many space films as possible before #AlienCovenant \nSo far:\nThe Martian\nHidden Figures
37,861096379086753793,RT apollomovie: Reposting apollovii_xvii:\nPhoto from #Apollo13. #NASA #Apollo #ApolloVIIXVII #SpaceExploration #Spacetravel #Analog #Spac\u2026
38,861039336556568580,I love Tom Hanks but I would never travel with him.
39,861029046779621376,RT Avinash_Mirror: itsSSR's spacesuit for #ChandaMamaDoorKe designed by #Apollo13 special effects supervisor
40,861010306025345024,Reposting apollovii_xvii:\nPhoto from #Apollo13. #NASA #Apollo #ApolloVIIXVII #SpaceExploration #Spacetravel\u2026
41,861008126321057792,StevenDaGuy - Trill [  ]
42,860851593515855872,"\""If they could make a washing machine fly, my Jimmy could land it\"""
43,860829674586374147,"RT thecoolidge: Our #JFK100 screenings of #PT109 and #Apollo13 are free to members, so reserve your seats now!\n"
44,860829658631294976,"RT thecoolidge: Our #JFK100 screenings of #PT109 and #Apollo13 are free to members, so reserve your seats now!\n"
45,860809944953753600,RT: Watch Apollo 13 (1994) on #PrimeVideo \nWatch right now:
46,860758766232510465,Watch Apollo 13 (1994) on #PrimeVideo (30-Day Free Trial)\nWatch right now:
47,860751099019407361,Passengers 4K BLU RAY UNBOXING/Review - Chris Pratt
48,860680527996534784,"\""We just lost the moon.\"" Tonight's trip down '90s lane took us to #apollo13, which is definitely\u2026"
49,860645582947450881,StevenDaGuy - Trill [  ]
50,860645520242618368,RT Rainmaker1973: A new film explores the drama &amp; the unsung heroes that prevented the #Apollo13 disaster
51,860645400151306241,"RT NBCDFW: This month marks the anniversary of what may be NASA's finest hour,"
52,860645189093924864,"RT ItsChrisRoberts: Just watched #GeneKrantz talk about #Apollo13 and the teamwork behind bringing the ship home. Inspirational, geeky, fa\u2026"
53,860644860457619456,#Apollo13 Space Documentary
54,860614188921704449,CannabisBizNews: RT gamgamcathy56: #FridayFeelings #Apollo13 #MyHighness great start to my morning. Hippie_of_Love\u2026
55,860613874109878272,RT gamgamcathy56: #FridayFeelings #Apollo13 #MyHighness great start to my morning. Hippie_of_Love kirkland_w ameri_canna CannabisBizNe\u2026
56,860552202833866753,Watching #Apollo13 with the kids. Teachin em lots about mathematics! \ud83d\udeac
57,860545962481246209,RT gamgamcathy56: #FridayFeelings #Apollo13 #MyHighness great start to my morning. Hippie_of_Love kirkland_w ameri_canna CannabisBizNe\u2026
