,tweet_id,text
0,862366010724241408,"RT BestofBestPod: To celebrate #TeagueTuesday yesterday, we had #Armageddon on at RadarStudios Let's just say it was an intense lunch. M\u2026"
1,862365311936323584,"RT BestofBestPod: To celebrate #TeagueTuesday yesterday, we had #Armageddon on at RadarStudios Let's just say it was an intense lunch. M\u2026"
2,862363690783440897,"Channel4News Nothing he does or will do will be of a surprise to me, I expect it! I don't embrace the fact I just accept it"
3,862362700491481089,"RT BestofBestPod: To celebrate #TeagueTuesday yesterday, we had #Armageddon on at RadarStudios Let's just say it was an intense lunch. M\u2026"
4,862359920846524418,"To celebrate #TeagueTuesday yesterday, we had #Armageddon on at RadarStudios Let's just say it was an intense lunc\u2026"
5,862341499815677952,Before the #Tribulation Israel will take the entire #MiddleEast #armageddon #Israel #ISIS #shaver911 #prophecy\u2026
6,862341079772921856,#Armageddon close?       #Armageddon #rapture #tribulation #antichrist #kindleunlimited\u2026
7,862339248212459521,"411_bigboss Slayer6Skulls Yes , I had a personal #Armageddon and now #Jehovah and #JWorg and #ZebHenry3 are too."
8,862337930433626116,RT AWAKEALERT: Satan's army is gathering - not very far from Biblical city Megiddo \u25ba#Armageddon\nAccording to Bible - fire will come from h\u2026
9,862330210380906497,"RT UKWRBLX: TONIGHT! 7 PM GMT, 2 PM EST! #RIOT! The fallout from #Armageddon! What can we expect from our new UKW Champion, Undead Brock?!\u2026"
10,862330149668311040,"RT DataHubClub: Extreme cardio: We've seen a rise of 26% in #HIIIT, #GRIT, #Insanity, #Boxing, #BodyBlitz and #Armageddon classes! #DataHo\u2026"
11,862324016144666624,RT AWAKEALERT: Satan's army is gathering - not very far from Biblical city Megiddo \u25ba#Armageddon\nAccording to Bible - fire will come from h\u2026
12,862311895063252992,RT AWAKEALERT: Satan's army is gathering - not very far from Biblical city Megiddo \u25ba#Armageddon\nAccording to Bible - fire will come from h\u2026
13,862310064006234112,hgwords TY!\n\n&gt;&gt;  via
14,862299211043409920,"RT MarkHoltWalker: Countdown to #Armageddon has begun, now on #kickstarter Armageddon War"
15,862292809272918016,Now playing #Armageddon by #Musiguns #listenradio #radionet #radio #listen !
16,862286551132364800,RT AWAKEALERT: Satan's army is gathering - not very far from Biblical city Megiddo \u25ba#Armageddon\nAccording to Bible - fire will come from h\u2026
