,tweet_id,text
0,862409348064083969,RT ComicBook_Movie: #AVENGERS: #INFINITYWAR: Those Scenes With #Thor And #RocketRaccoon May Not Take Place On Earth\n
1,862408978655047684,RT darrenhendley: Who is this leaving Durham last night? Elizabeth Olsen? #avengers #InfinityWar #marylou durhamcathedral
2,862406330518319105,Who is this leaving Durham last night? Elizabeth Olsen? #avengers #InfinityWar #marylou durhamcathedral
3,862404931814391809,Isn`t it awesome?\n\n
4,862403814120452098,RT ComicBook_Movie: #AVENGERS: #INFINITYWAR: Those Scenes With #Thor And #RocketRaccoon May Not Take Place On Earth\n
5,862403170902978561,Marvel MarvelEntCA MarvelEntCA I feel like I'm CaptainAmerica today &amp; ready to battle with The Avengers \ud83d\ude09\u2026
6,862402246390292480,RT ComicBook_Movie: #AVENGERS: #INFINITYWAR: Those Scenes With #Thor And #RocketRaccoon May Not Take Place On Earth\n
7,862401178935717889,My #Marvel #Superhero #NewComicBookDay picks for this week #RenewYourVows #Avengers #BlackPanther #Kingpin #WeaponX\u2026
8,862399929762816000,RT mydeerlily: Tom Hiddleston talking about the #Avengers party (+ Chris and Scarlett)
9,862398912321257474,RT ComicBook_Movie: #AVENGERS: #INFINITYWAR: Those Scenes With #Thor And #RocketRaccoon May Not Take Place On Earth\n
10,862396695732256769,RT CBNostalgia: Pretty crowded table...\n
11,862396515674927104,RT JUANAN_RAMiREZ: #THOR for beneficial project #kirbyandme #Marvel #avengers #Disney I hope you like it!
12,862396221373259777,"I love jarvis the most...\n#jarvis #avengers  Lucknow, Uttar Pradesh"
13,862396189819510784,RT JUANAN_RAMiREZ: #THOR for beneficial project #kirbyandme #Marvel #avengers #Disney I hope you like it!
14,862395463802245120,"Yo, don't be embarrassed by cool uncle Spider-Man\n"
15,862394944161538050,RT ComicBook_Movie: #AVENGERS: #INFINITYWAR: Those Scenes With #Thor And #RocketRaccoon May Not Take Place On Earth\n
16,862394190638047233,RT NathanLeeTV: #avengers #avengersdurham #AvengersInfinityWar Full report from Russo brothers press conference tonight at 6.30 on #TWNews\u2026
17,862394167502278656,RT NathanLeeTV: #avengers #avengersdurham #AvengersInfinityWar they're here!
18,862391689507426305,RT DangerCupcake: Have you seen the new #ThorRagnarok trailer yet?
19,862391588848316417,RT ComicBook_Movie: #AVENGERS: #INFINITYWAR: Those Scenes With #Thor And #RocketRaccoon May Not Take Place On Earth\n
20,862390895458570242,RT ComicBook_Movie: #AVENGERS: #INFINITYWAR: Those Scenes With #Thor And #RocketRaccoon May Not Take Place On Earth\n
21,862390813963173888,Have you seen the new #ThorRagnarok trailer yet?
22,862390580114018304,Super Action Smash podcast
23,862390334004879363,RT ComicBook_Movie: #AVENGERS: #INFINITYWAR: Those Scenes With #Thor And #RocketRaccoon May Not Take Place On Earth\n
24,862390186340220930,RT ComicBook_Movie: #AVENGERS: #INFINITYWAR: Those Scenes With #Thor And #RocketRaccoon May Not Take Place On Earth\n
25,862389460125851650,Hey check out this #avengers pin up from jakeminor - We will have it all colored up and available as a print at\u2026
26,862389439410077696,RT ComicBook_Movie: #AVENGERS: #INFINITYWAR: Those Scenes With #Thor And #RocketRaccoon May Not Take Place On Earth\n
27,862389350667046912,RT ComicBook_Movie: #AVENGERS: #INFINITYWAR: Those Scenes With #Thor And #RocketRaccoon May Not Take Place On Earth\n
28,862389299085418496,#AVENGERS: #INFINITYWAR: Those Scenes With #Thor And #RocketRaccoon May Not Take Place On Earth\u2026
29,862389150485536768,"RT JoshuaFrantic: #AvengersAgeOfUltron #ScarletWitch #Avengers #1 #sketchcover #comicbook #variant. $35 including shipping, (in US)."
30,862388418701139968,So happy that we managed to arrange a visit to the #Avengers set for
31,862386574801199105,"RT Avengers: Reborn, reforged and reassembled. A new comic book team of #Avengers fight the foes no single hero can! This is Avengers NOW.\u2026"
32,862383735441850368,Some thoughts about Ms. Marvel
33,862383341756088320,#AVENGERS #15 (1965) DEATH OF THE ORIGINAL BARON ZEMO STAN LEE STORY #Marvel\n\ud83c\udf10\ufe0f
34,862382688015089664,#ICYMI: Thor: Ragnarok International Trailer! ~WT \n#marvel #thor #avengers #hulk #gotg #gotg2 #disney #comics\n
35,862381386367356928,RT HailzieGal: #Marvel #Comics #Avengers Black Widow pheltzcomics GGWOW1 Avengers LifeofComics ComicPics1 g33klife
36,862381262371082240,RT j_ivories: Here to save the world...'s cadavers from going to waste. #SCavengers assemble! #avengers #zoovies #jackal #hyena #cockroach\u2026
37,862380778952564736,BOOM! Let me hear ya!\n-\n-\n-\n#superman #batman #spiderman #xmen #wolverine #avengers\u2026
38,862380729744883712,I got hulkbusted. #hulkbuster #hulk #ironman #avengers #theavengers #marvel #marvelmaniac\u2026
39,862380672912064513,RT CBNostalgia: Pretty crowded table...\n
40,862379215253110784,#Lego #Marvel Super Heroes #Avengers Assemble Iron Skull Sub Attack Set 76048\n\ud83c\udf10\ufe0f
41,862378241633505280,RT AdamJPulley: Which team is better: #Avengers or #GOTG We'll discuss this poll on this week's episode of DiveBarDisciple #Secularmovier\u2026
42,862377889039212544,RT Dwallr: #InfinityWar #avengers #marvel waiting fr movie only fr RobertDowneyJr \ud83d\ude0e\ud83d\ude0a\u270b\ud83c\udffc
43,862377080499175428,RT ComicBook_Movie: .Avengers: #INFINITYWAR Set Photo Reveals A Major Link To #AVENGERS: #AGEOFULTRON.\n#Marvel   h\u2026
44,862375522554318849,#Avengers: #InfinityWar is totally giving away all of its secrets on Twitter \u2013 see the best set photos\n
45,862375438705938432,#Avengers: #InfinityWar Directors Drop Hint About A Special Filming Locale\n
46,862375346922029060,"#Avengers: #InfinityWar: Downey, Jackson Rumored For Scotland Scenes\n"
47,862375217443864578,#AVENGERS: #INFINITYWAR: Those Scenes With Thor And Rocket Raccoon May Not Take Place On Earth \n
48,862375091023224832,I LOVE Marvel &amp; DC\ud83d\ude0d\ud83d\udc95\ud83d\udc95\ud83d\udc9d\ud83d\udc9d\ud83d\udc9d\ud83d\udc9d\ud83d\udc9d\n#Batman #\u307e\u3044\u307f\u3093 #TheFlash #\u4e43\u6728\u574246 #Daredevil #defenders #Marvel #\u307e\u3044\u307e\u3044 #\u6df1\u5ddd\u9ebb\u8863 #DC #dc\u2026
49,862375088590651394,Nick Fury Rumored To Return In '#Avengers: #InfinityWar': What Part Could He Play In The Upcoming Battle?\n
50,862374860252741632,#Avengers 3 Directors Explain Durham Cathedral Filming Location\n
51,862374668292030480,Robert Downey Jr. invites you to visit the \u201c#Avengers\u201d set in Atlanta\n
52,862372889303154695,Another Avengers badge for Marvel. \n#avengers #avengersassemble #avengersageofultron #marvel\u2026
53,862372369603731456,"RT LyingCatCosplay: Remember guys, hot us up for a quote on prints! #cosplay #blackpanther #3dprint #custom #avengers #civilwar #infinityw\u2026"
54,862371748767051776,RT Avengers: Action...#Avengers #InfinityWar.
55,862371517509713920,"RT CBNostalgia: Today in #MarvelComics History, #Ultron made his first appearance as the  #CrimsonCowl in"
56,862370463208669195,RT Avengers: Action...#Avengers #InfinityWar.
57,862368292136042496,RT Avengers: Action...#Avengers #InfinityWar.
58,862368214424190976,NEW OPEN BOX NECA #Avengers: Age of Ultron Figure-#Hulk 1:4 Scale $330 #Marvel\n\ud83c\udf10\ufe0f
59,862367037238247429,FREE! Vol.1 of 'Figuring Out White People'. Read at:\n #DC #DCComics #comics\u2026
60,862366651454554121,"Remember guys, hot us up for a quote on prints! #cosplay #blackpanther #3dprint #custom #avengers #civilwar\u2026"
61,862365532422635527,Yes if you can just put the dinner on that would be fine dear am just doing the ironing....\n#cbeebiesbedtimestories\u2026
62,862360830486224896,AVENGERS #88  ROY THOMAS / SAL BUSCEMA  1971  MARVEL COMIC   Fine Condition \n
63,862360696100708354,Anyone remember this cartoon from long ago on #DisneyXD it was called #Avengers it was a fun start to action cartoo\u2026
64,862360270701830144,#Lego #Marvel Super Heroes #Avengers Assemble Iron Skull Sub Attack Set 76048\n\ud83c\udf10\ufe0f
65,862360170160173056,RT RashadDoucet: #heroclix #avengers #defenders battle
66,862359715883384832,YES THOR; LOVING THE EIGHTIES VIBE.  marvel
67,862359392984989697,#heroclix #avengers #defenders battle
68,862359042651566080,RT mydeerlily: Tom Hiddleston talking about the #Avengers party (+ Chris and Scarlett)
69,862359025601708034,RT AnvizGlobal: #AVENGERS #ANVIZ AVENGERS' SERIES\nAnvizer: Black P7\nSuper slim design &amp; polish fashion color
70,862354693393178627,Oh just take a look at this!\n\nMake yourself stylish! Visit us:
71,862354608198471680,Baby Groot has a new role model.\n#Art #Marvel #GuardiansOfTheGalaxyVol2 #GuardiansOfTheGalaxy #XMen #Wolverine\u2026
72,862352613672726528,Kidnapped by Hulk \ud83c\uddec\ud83c\udde7\u2764 #hulk #me #kidnapped #london #madametussauds #beauty #avengers #musicerica\u2026
73,862349851153113088,RT Avengers: Action...#Avengers #InfinityWar.
74,862349251539595265,RT Dwallr: #InfinityWar #avengers #marvel waiting fr movie only fr RobertDowneyJr \ud83d\ude0e\ud83d\ude0a\u270b\ud83c\udffc
75,862349149135622145,"#WonderMan returns from being trapped in #Rogue's psyche and Synapse goes on a mind trip to rescue #Cable, in Uncanny"
76,862347462547193856,"Just bought Uncanny #Avengers for the 1st time in a loooong time cuz..... Wonder Man may be back, and he's one of my FAVORITES!"
77,862347025316102144,"Super In the Lego City, The  qua YouTube #Superman #Hero #Avengers #Hulk:"
78,862346325089800192,RT jackoliver__: #ScarletWitch flying on wires on the set of #Avengers #InfinityWar #ElizabethOlsen in
79,862345963041673216,RT Avengers: Action...#Avengers #InfinityWar.
80,862345369182666753,RT Avengers: Action...#Avengers #InfinityWar.
81,862345136587526144,RT Avengers: Action...#Avengers #InfinityWar.
82,862344717551505408,"RT MohammedNghith: #Superman, Super #Hero, In the Lego City, The #Avengers #Hulk:  qua YouTube"
83,862344455923183616,very nice demo of Azure Cosmos DB with the
84,862343272605396993,"RT MohammedNghith: #Superman, Super #Hero, In the Lego City, The #Avengers #Hulk:  qua YouTube"
85,862343238056914947,RT Renner4Real: Yeah. I'm diggin this. You?
86,862342139925155840,#Avengers 7 Marvel now that #KangHarangue has wrapped up #EarthsMightiestHeroes new series breathes&amp;finally shows some real thought &amp; humor
87,862342092932042753,RT mydeerlily: Tom Hiddleston talking about the #Avengers party (+ Chris and Scarlett)
88,862341972903809030,RT Eugene_Paolo: Eating chicken shawarma for lunch before going on set. Feel very Marvel-ous right now \ud83d\ude02Thanks Marvel #avengers #Marvel #\u2026
89,862341961658904577,RT richmondcomix: New Heroclix day!
90,862341850367131648,Eating chicken shawarma for lunch before going on set. Feel very Marvel-ous right now \ud83d\ude02Thanks Marvel #avengers\u2026
91,862341565385236480,New Heroclix day!
92,862338570073194496,I LOVE Marvel &amp; DC\ud83d\ude0d\ud83d\udc95\ud83d\udc95\ud83d\udc9d\ud83d\udc9d\ud83d\udc9d\ud83d\udc9d\ud83d\udc9d\n#Batman #\u307e\u3044\u307f\u3093 #TheFlash #\u4e43\u6728\u574246 #Daredevil #defenders #Marvel #\u307e\u3044\u307e\u3044 #\u6df1\u5ddd\u9ebb\u8863 #DC #dc\u2026
93,862337714871521280,"RT liliboni4: #AvengersInfinityWar #Avengers #InfinityWar On Set, Edinburgh \n"
94,862337375841771520,Loved meeting chrishemsworth
95,862336850601574400,RT mydeerlily: Tom Hiddleston talking about the #Avengers party (+ Chris and Scarlett)
96,862335158736891905,RT OskarPolicha: More pictures on the set of Avengers Infinity War\n
97,862335153728835586,RT NathanLeeTV: #AvengersInfinityWar #avengersdurham #avengers\n\nQ: A message to the fans who've been camped outside Durham Cathedral?\n\nRus\u2026
98,862334510133805057,RT MarkBruce85: Such a tease. Passing through #Edinburgh #Waverley station &amp; got a sneak peek of the #AvengersInfinityWar set! #Avengers #\u2026
99,862334295653920768,RT CBNostalgia: Pretty crowded table...\n
100,862334111758921728,RT jackoliver__: #CorvusGlaive is on the set of #Avengers #InfinityWar in
101,862333199036317696,RT MaximuMComics: Don't miss #Avengers 7 this week! Super good and a great jumping on point for new readers! Plus Dr. Doom! #Marvel #ncbd\u2026
102,862332570234761220,"Love #Avengers Movies? Avengers: Infinity War are NOW CASTING Stand-ins!\nLocation: Fairburn, GA\nApply:\u2026"
103,862332213756669953,RT otroMarvelfan: someting is comig...\n
104,862331543221551104,RT mydeerlily: Tom Hiddleston talking about the #Avengers party (+ Chris and Scarlett)
105,862329675217088512,RT JoshuaFrantic: Remember! It's our job to prevent the rise of #HYDRA! \n#redskull #sketch #Marvel #avengers #sketchcard #captainamerica #\u2026
106,862329235754688513,RT MaximuMComics: Don't miss #Avengers 7 this week! Super good and a great jumping on point for new readers! Plus Dr. Doom! #Marvel #ncbd\u2026
107,862328501872992257,Don't miss #Avengers 7 this week! Super good and a great jumping on point for new readers! Plus Dr. Doom! #Marvel\u2026
108,862325839286771712,RT Alexandria_LJ: Met Chris Hemsworth last night \ud83d\ude04
109,862325496943529985,RT Alexandria_LJ: Met Chris Hemsworth last night \ud83d\ude04
110,862323941184024576,The last time he throws away alcohol.  #Avengers #AvengingHour #Comic #Comics #Marvel\u2026
111,862323274096758784,#AvengersInfinityWar #RobertDowneyJr #SanuelLJackson Rumored For Scotland Scenes\n
112,862322794519973888,RT NathanLeeTV: #AvengersInfinityWar #avengersdurham #avengers\n\nQ: A message to the fans who've been camped outside Durham Cathedral?\n\nRus\u2026
113,862322774559252480,RT NathanLeeTV: #AvengersInfinityWar #avengersdurham #avengers \n\nQ: How does Durham compare to Edinburgh?\n\nRusso brothers A:
