,tweet_id,text
0,862265525098881025,\uff3bNew product\uff3d\nJEA-001 #Avengers:#AgeOfUltron Iron Man #Mark45\ncheck now\uff1a
1,862095064616419328,RT PsychicStoner:  Metallica - Master of Puppets
2,862034557436137473,RT Avengers: The #Avengers #AgeOfUltron cast assembled onstage at the #AvengersPremiere in Hollywood! What a finale.
3,861955076973367296,"RT ChrisEvans: Fun way to reveal these, Marvel! Enjoy! Less than 2 months away! Avengers"
4,861870926530437120,RT ComicBook_Movie: .Avengers: #INFINITYWAR Set Photo Reveals A Major Link To #AVENGERS: #AGEOFULTRON.\n#Marvel   h\u2026
5,861747909464805376,RT ComicBook_Movie: .Avengers: #INFINITYWAR Set Photo Reveals A Major Link To #AVENGERS: #AGEOFULTRON.\n#Marvel   h\u2026
6,861745722747703297,RT ComicBook_Movie: .Avengers: #INFINITYWAR Set Photo Reveals A Major Link To #AVENGERS: #AGEOFULTRON.\n#Marvel   h\u2026
7,861743009406345216,RT ComicBook_Movie: .Avengers: #INFINITYWAR Set Photo Reveals A Major Link To #AVENGERS: #AGEOFULTRON.\n#Marvel   h\u2026
8,861737087514558464,RT ComicBook_Movie: .Avengers: #INFINITYWAR Set Photo Reveals A Major Link To #AVENGERS: #AGEOFULTRON.\n#Marvel   h\u2026
9,861736115358846976,RT ComicBook_Movie: .Avengers: #INFINITYWAR Set Photo Reveals A Major Link To #AVENGERS: #AGEOFULTRON.\n#Marvel   h\u2026
10,861731360892870656,RT ComicBook_Movie: .Avengers: #INFINITYWAR Set Photo Reveals A Major Link To #AVENGERS: #AGEOFULTRON.\n#Marvel   h\u2026
11,861729234770841600,RT ComicBook_Movie: .Avengers: #INFINITYWAR Set Photo Reveals A Major Link To #AVENGERS: #AGEOFULTRON.\n#Marvel   h\u2026
12,861728209569804288,RT ComicBook_Movie: .Avengers: #INFINITYWAR Set Photo Reveals A Major Link To #AVENGERS: #AGEOFULTRON.\n#Marvel   h\u2026
13,861727341566976001,RT ComicBook_Movie: .Avengers: #INFINITYWAR Set Photo Reveals A Major Link To #AVENGERS: #AGEOFULTRON.\n#Marvel   h\u2026
14,861726991799775232,RT ComicBook_Movie: .Avengers: #INFINITYWAR Set Photo Reveals A Major Link To #AVENGERS: #AGEOFULTRON.\n#Marvel   h\u2026
15,861726793165815808,RT ComicBook_Movie: .Avengers: #INFINITYWAR Set Photo Reveals A Major Link To #AVENGERS: #AGEOFULTRON.\n#Marvel   h\u2026
16,861726277371396096,RT ComicBook_Movie: .Avengers: #INFINITYWAR Set Photo Reveals A Major Link To #AVENGERS: #AGEOFULTRON.\n#Marvel   h\u2026
17,861726254118187010,RT ComicBook_Movie: .Avengers: #INFINITYWAR Set Photo Reveals A Major Link To #AVENGERS: #AGEOFULTRON.\n#Marvel   h\u2026
18,861726128834203648,.Avengers: #INFINITYWAR Set Photo Reveals A Major Link To #AVENGERS: #AGEOFULTRON.\n
19,861598879883575296,"RT Avengers: Now that #Avengers #AgeOfUltron's in theaters, get schooled on Iron Man's armor evolution. Which one's your favorite?"
20,861490555301187584,RT Renner4Real: Nearing the end and embarking a new beginning.  Press tour is here!!
21,861441612924284933,RT Marvel: Here it is! Watch the Avengers: #AgeofUltron Teaser Trailer right NOW:
22,861404871345491968,Wow! It's all connected! #avengersinfinitywar #avengers #ageofultron #thor  \ud83d\ude2e\ud83d\ude30
23,861343075582582785,"Yeah, Meh, Nah Movie Reaction: #Avengers #AgeofUltron (2015)\n\nMeh.\n\nTrailer:  \n\n"
24,861134065084227584,RT Avengers: Live from the Avengers #AgeofUltron red carpet world premiere with TheJakeShort!
25,861123509610786816,"RT ChrisEvans: Fun way to reveal these, Marvel! Enjoy! Less than 2 months away! Avengers"
26,861028830856847360,"RT ChrisEvans: Fun way to reveal these, Marvel! Enjoy! Less than 2 months away! Avengers"
27,861024220087803904,"RT ChrisEvans: Fun way to reveal these, Marvel! Enjoy! Less than 2 months away! Avengers"
28,860961476378583040,"RT Iron_Man: \""It's the end, the end of the path I started us on.\"" -Tony Stark,"
29,860961431897993216,"RT Iron_Man: Watch #Avengers #AgeOfUltron on Blu-ray, Digital HD &amp; DisneyAnywhere! Get it now:"
30,860464371545362434,Vision Dorbz\n\n
31,860409447314804736,Avengers: Age of Ultron - Ending Theme Original Soundtrack\n\n
32,860408192806912000,Heroes - Avengers : Age of Ultron Original Soundtrack\n\n
33,860304364518473728,Watching my favorite #movie again. #marvel #avengers #ageofultron \nI can't wait until the next one!
34,860231668136894464,"RT sn7300: \u2022\""I'm always angry..\""\u2022 #Hulk #BruceBanner #MarkRuffalo #Avengers #AgeOfUltron #Mar... (Vine by \u2022Marvel Edits\u2022)"
