,tweet_id,text
0,862356835885568002,Head #BacktotheFuture with this near replica of Marty McFly's iconic jacket that even self-dries\u2026
1,862353292608851973,"Well played, #YouTube! Been waiting on this repair since October 26, 1985!"
2,862350568219697153,Can you imagine a #backtothefuture playing #MartyMcFly in the role of #TomHolland In?
3,862350320470511617,Did you spot Jigowatt with the #backtothefuture #DeLorean outside the #Peterborough centre last week? Take a look:\u2026
4,862349100704047106,#backtothefuture Twin Pines Mall patch! Only at
5,862346089910939648,Great Scott!\n
6,862345913586659328,Producer Lucy &amp; director Jon on set frolicking with a DeLoreon #backtothefuture #scotland #film #production\u2026
7,862345269148569600,Back to the Future Flux Capacitor Wristwatch
8,862340192505655297,Today is my Thursday. By that logic tomorrow is Friday. Anyone got a Delorean with a flux capacitor?
9,862333770497708032,"Lidl, you're breaking my heart.\n"
10,862326784037191680,Back to the Future (1985) Download Full Movie HD\nDownload Link:
11,862320126061760517,Mercenary Garage: Blowback
12,862314602650116097,Awesome
13,862307689132699652,"I've had a couple of weird texts received in the last day or two. EE, what's going on?"
14,862303613737107456,RT donaldump2017: QUICKLY MAKE AS MANY COPIES OF 'BACK TO THE FUTURE II' AND 'MY GIRL' AS YOU CAN #backtothefuture #movies #MovieTalk #Wed\u2026
15,862300836071968769,QUICKLY MAKE AS MANY COPIES OF 'BACK TO THE FUTURE II' AND 'MY GIRL' AS YOU CAN #backtothefuture #movies #MovieTalk\u2026
16,862298509243973632,This dog is everything. \u2764\ud83d\udc36
17,862286166904586240,SophiyAnjam A/S Sophie Mam &amp; I would probably look around &amp; explore like Marty McFly was stunned when he reached 1955 #BackToTheFuture \ud83d\ude02
18,862273326873489409,Drew_Deener only shoes I'm paying $495 for are those futuristic Nike's from
19,862271348969791490,Is a bigger and more destructive #bankingcrisis looming on our horizon?!\n
20,862267676189745152,CB Scooter with optional Bumper Guards
21,862263217971712000,nbcsnl Omg #Fred could also play the younger #Toobin... is CillizzaCNN really JeffreyToobin from 20 years ago??\u2026
22,862261990403788801,RT FunkoPOPFr: \ud83c\udfdd #CONCOURS \ud83c\udfdd\n\n\ud83c\uddeb\ud83c\uddf7Gagne ta figurine Marty McFly en #FunkoPop \ud83c\udf40\ud83d\udd25sur FunkoPOPFr #backtothefuture \ud83d\udc23\n\n\ud83d\udc71\u200d\u2640\ufe0fRT + Like + Follow \ud83d\udc76\u2026
23,862254322805084161,We're currently looking for UK based #BTTF #lookalikes of  #MartyMcFly &amp; #DocBrown! Any1 out there??  #Delorean\u2026
24,862248120608059392,How did you use modern day evidence for your patient seen in 1950's? \ud83e\udd14
25,862245215226265602,#TheResistance #JimmyCarter voted for #DocBrown he loves #BackToTheFuture oh its u #BernieSanders  jimmykimmel
26,862243025061376000,RT LandmarkSociety: Want #backtothefuture for #ROC transit\ud83d\ude83? reconnectROC event Fri supprts transit #sustainability-tixs til noon Wed! ht\u2026
27,862241604328988672,"RT jamie_bates_8: MissLauraMarcus Maybe once the World reaches 88mph, we can go back in time and fix this \ud83e\udd14\ud83d\ude43"
28,862235472788996098,RT brellisphoto: I watched #Backtothefuture last night... What the actual hell is going on in the space time continuum...
29,862221886423527424,"MissLauraMarcus Maybe once the World reaches 88mph, we can go back in time and fix this \ud83e\udd14\ud83d\ude43"
30,862220156931649537,RT charles_leroy: #BacktotheFuture on target again... #fbidirector #JamesComey #SpecialProsecutor #ConstitutionalCrisis #RESISTANCE #resis\u2026
31,862218090968494080,#BacktotheFuture on target again... #fbidirector #JamesComey #SpecialProsecutor #ConstitutionalCrisis #RESISTANCE\u2026
32,862215390935605248,Sound check! POPCORN 3! #BacktotheFuture  Dlsu-D Grandstand
33,862215122676330496,Thierry Bergamin sent us a pic \r
34,862203700407918592,MarcSesslerNFL I imagine the Fantasy corner in the Biff has the almanac future #backtothefuture  DanHanzus greggrosenthal ChrisWesseling
35,862190717556342784,"In the 80s, the digital age hadn't even been dreamed of.\n\n#marketing #DigitalMarketing #BackToTheFuture\u2026"
36,862186118246170624,RT JamesAlanAnslow: Brexit. Grammar schools. Foxhunting. What's next? Black and white telly?
37,862183812167593984,RT JamesAlanAnslow: Brexit. Grammar schools. Foxhunting. What's next? Black and white telly?
38,862182935453208576,RT JamesAlanAnslow: Brexit. Grammar schools. Foxhunting. What's next? Black and white telly?
39,862181612036993024,Brexit. Grammar schools. Foxhunting. What's next? Black and white telly?
40,862181384592412672,LeaKThompson was my crush growing up
41,862172617037541376,Head #BacktotheFuture with this near replica of Marty McFly's iconic jacket that even self-dries\u2026
42,862166857247113216,I did a thingggggg
43,862161192160186368,OriginalFunko Doc's expression is priceless.
44,862156547102695424,"Palindrome Competition Entries: 3 of 3\n#backtothefuture\n\nTime reverse? Yes! U! 88 use. Yes, revere MIT."
45,862155216480858112,AdamHimmelsbach Feels like March now in Boston so
46,862148755377848324,Checking the time before making a trip back to 1983.  #backtothefuture #sandiegodocbrown #throwbackparty #1057maxf\u2026\u2026
47,862143976362606601,doc_doc_trek Eraaaaaased from exsistence.....
48,862142959289892864,RT kt_hoyt: couldn't be more accurate
49,862142404392099841,couldn't be more accurate
50,862133185962008576,Where did 7mo go time flew by so quickly!Surgery to repair #avsd in June #fighter #heartwarrior #daddiesgirl\u2026
51,862125467834384384,"Christ is seated in eternity, awaiting you to catch up. Get your faith up!#BackToTheFuture #BlastOff #LetsGetIt #LetsGo \ud83d\ude80\ud83d\udef0"
52,862110702626111490,"Wrth rpting; character Biff Tannen in #BackToTheFuture based on realDonaldTrump, right dwn 2 POTUS Biff in #BackToTheFuture2, yes really \ud83d\ude33"
53,862110336740188160,RT SuperSpade79: 1.21 jiggawatts!!
54,862110021097848832,"The great #herblock who coined the phrase \""tricky dick\"" #backtothefuture   tlsculturecrush"
55,862110015976591362,\u201cThat\u2019s why you gotta come back with me.\u201d\n\u201cWhere?\u201d\n\u201c#BackToTheFuture!!\u201c\n\nThese movies are the best.
56,862109850138021888,1.21 jiggawatts!!
57,862108183552081920,#instagram original images of #backtothefuture inspired shoes SOON with #embeddedintelligence #biometricsensors\u2026
58,862097674799120384,"Cisco channeling Doc Brown tonight #DatFlash, #TheFlash ,"
59,862093657771569152,YouTube app update quoting back to the future in the description #backtothefuture realmikefox
60,862091516247977985,RT LandmarkSociety: Want #backtothefuture for #ROC transit\ud83d\ude83? reconnectROC event Fri supprts transit #sustainability-tixs til noon Wed! ht\u2026
61,862091122352558080,RT LandmarkSociety: Want #backtothefuture for #ROC transit\ud83d\ude83? reconnectROC event Fri supprts transit #sustainability-tixs til noon Wed! ht\u2026
62,862089586914324480,Back to the Future (1985) Full Movie HD\nDownload Now:
63,862082219506008065,TheDailyShow you should have KellyannePolls and #presidentbannon pics faded like the pic in #backtothefuture movies
64,862071303100149760,"\""Chuck!! Chuck!! It's Shari. Your cousin Shari's Berries. You know that overplayed radio spot you've been looking for?\"""
65,862067405794799616,Pulling together inspiration for a fully immersive #70s room set...#backtothefuture\u2026
66,862064744798277633,Awesome #backtothefuture infographic from HubSpot about the history of
67,862053480516734977,How cool would these be as a fleet of Belfast taxis?\n\n
68,862050633473327105,This is awesome realmikefox
69,862050253712887808,RT MSantaolallart: Biff to the future 4! Art:alanrobinsonr Colors:MSantaolallart IDWPublishing #Bifftothefuture #Backtothefuture #idw #\u2026
70,862049683291516929,TurnbullMalcolm #Budget2017 the #Banks new #levy sounds like The #Minerals Resource Rent Tax (MRRT) #auspol.. #BacktoTheFuture in a
71,862049654405574661,Want #backtothefuture for #ROC transit\ud83d\ude83? reconnectROC event Fri supprts transit #sustainability-tixs til noon Wed!\u2026
72,862049354219233280,Biff to the future 4! Art:alanrobinsonr Colors:MSantaolallart IDWPublishing #Bifftothefuture #Backtothefuture\u2026
73,862023007799091200,Selfie-ception with TeamFoxDeLorean. #backtothefuture #bttf #martymcfly #cosplay #svcc #selfie #comiccon\u2026
74,862022386153123842,"Back to the Future 1-3 #backtothefuture #delorean #timemachine  Waverly, Minnesota"
75,862019865238016000,RT Alltheway80s: Who's your favourite marty Mcfly girlfriend in #BackToTheFuture? RT for #ElisabethShue....fav for
76,862019469748703232,Great Read! What could be next for #Drones #DroneUp #TechNerds #BackToTheFuture \ud83d\udcfd\ufe0f\u2728\n\n
77,862015624242802688,RT 1fbc59dd28ac4ca: #Back to the #Future -#flashback #Time.  #thelittledj #backtoschool  \n
78,862014018298535936,RT dexshirts: Behind the scenes on #BackToTheFuture Part III (1990).
79,862007325724364800,RT Fanbase_Press: #BackToTheFuture #19 (IDWPublishing) Advance #ComicBook #Review by Fanbase_Press\u2019 StageDork83 #CelebratingFandoms htt\u2026
80,862005069205585920,BrockWHarrison According to Doc Brown &amp; Marty McFly we should already be there.
81,862000698023714816,Jedi in the Future \ud83d\ude0e\n
82,861997424809713665,BACK TO THE FUTURE!!!!!\n\n#backtothefuture #\u30d0\u30c3\u30af\u30c8\u30a5\u30fc\u30b6\u30fb\u30d5\u30e5\u30fc\u30c1\u30e3\u30fc #\u30c7\u30ed\u30ea\u30a2\u30f3\u53f7 #\u30d4\u30f3\u30dc\u30fc\u30eb
83,861995059255824384,Film composer Alan Silvestri\u2013the best advice he ever received. bmi #filmcomposer SilvestriMusic #BackToTheFuture\n
84,861991271220617216,RT Fanbase_Press: #BackToTheFuture #19 (IDWPublishing) Advance #ComicBook #Review by Fanbase_Press\u2019 StageDork83 #CelebratingFandoms htt\u2026
85,861989227252375552,Behind the scenes on #BackToTheFuture Part III (1990).
