,tweet_id,text
0,862354237786914818,"RT Disney: Fawn over the Walt Disney Signature Collection! #Bambi is on Digital HD and DisneyAnywhere May 22, Blu-ray June 6:"
1,862349237543211009,RT BlurayReporter: #Bambi is joining The Signature Collection on Blu-ray on the 6th June. Don't miss out on this family classic:
2,862349035885256704,#Bambi is joining The Signature Collection on Blu-ray on the 6th June. Don't miss out on this family classic:\u2026
3,862348491544289281,"RT Disney: Fawn over the Walt Disney Signature Collection! #Bambi is on Digital HD and DisneyAnywhere May 22, Blu-ray June 6:"
4,862347109856550913,"RT Disney: Fawn over the Walt Disney Signature Collection! #Bambi is on Digital HD and DisneyAnywhere May 22, Blu-ray June 6:"
5,862345110771687425,"RT Disney: Fawn over the Walt Disney Signature Collection! #Bambi is on Digital HD and DisneyAnywhere May 22, Blu-ray June 6:"
6,862344137630130176,.Jamn957 I want to hear Jidenna's
7,862341970756333568,RT GoProGirlMiami: You know that BAMBI song is stuck in your head and it's not even summer!!\n \ud83c\udfb6\ud83c\udfc3\ud83c\udfc3\ud83c\udf1e\ud83c\udfc3\ud83c\udfc3\ud83c\udfa5\ud83d\udc4d  Jidenna
8,862341879790284805,RT Jidenna: Seeing you KylieJenner and your moms jammin to #Bambi made my day! I had no idea that was the name of your \ud83d\udc36!\n
9,862340989817696258,"RT Disney: Fawn over the Walt Disney Signature Collection! #Bambi is on Digital HD and DisneyAnywhere May 22, Blu-ray June 6:"
10,862340138231267329,N'a Thumper and Blossom!
11,862339046504312832,"#theo #bambi, bambi theo.  Royalwood"
12,862328493601951744,"RT suelee1998: Love the adorable #Bambi plush DisneyStore, getting ready for the #pirateslifeevent &amp; #bambibluray event follow along from\u2026"
13,862325358690881536,Head this way KylieJenner #Africa \ud83c\udf0d\ud83d\udc9e jamming to Jidenna #Bambi lit! \ud83d\udc4c\ud83c\udffd\ud83d\udd25\ud83d\udd25\ud83d\udd25
14,862325018486767616,RT Jidenna: Thank you chancetherapper for choosing to support #Bambi on your Rapper Radio platform
15,862312433888743424,RT Jidenna: Jenerals! Counting on y'all to use  to make sure you hear #Bambi on air while you run the jungle with y\u2026
16,862311399166443521,"RT Disney: Fawn over the Walt Disney Signature Collection! #Bambi is on Digital HD and DisneyAnywhere May 22, Blu-ray June 6:"
17,862300901016453125,Disney_DMR just here patiently waiting for #Bambi I swear I don't already have it but something about having a Dig\u2026
18,862300453350014977,"RT Disney: Fawn over the Walt Disney Signature Collection! #Bambi is on Digital HD and DisneyAnywhere May 22, Blu-ray June 6:"
19,862300392167809024,"RT Disney: Fawn over the Walt Disney Signature Collection! #Bambi is on Digital HD and DisneyAnywhere May 22, Blu-ray June 6:"
20,862298304838868992,#Bambi- #jidenna #Jammin this morning
21,862296453141716994,"RT Disney: Fawn over the Walt Disney Signature Collection! #Bambi is on Digital HD and DisneyAnywhere May 22, Blu-ray June 6:"
22,862293221736681473,"RT Disney: Fawn over the Walt Disney Signature Collection! #Bambi is on Digital HD and DisneyAnywhere May 22, Blu-ray June 6:"
23,862289766410309632,"RT Disney: Fawn over the Walt Disney Signature Collection! #Bambi is on Digital HD and DisneyAnywhere May 22, Blu-ray June 6:"
24,862272437802684416,"RT Disney: Fawn over the Walt Disney Signature Collection! #Bambi is on Digital HD and DisneyAnywhere May 22, Blu-ray June 6:"
25,862272155588755456,Shop&gt;   #Givenchy #Black #Bambi ...
26,862270935918931968,"RT Disney: Fawn over the Walt Disney Signature Collection! #Bambi is on Digital HD and DisneyAnywhere May 22, Blu-ray June 6:"
27,862267473609056256,"RT Disney: Fawn over the Walt Disney Signature Collection! #Bambi is on Digital HD and DisneyAnywhere May 22, Blu-ray June 6:"
28,862261876088078336,"RT Disney: Fawn over the Walt Disney Signature Collection! #Bambi is on Digital HD and DisneyAnywhere May 22, Blu-ray June 6:"
29,862259301238415361,"RT Disney: Fawn over the Walt Disney Signature Collection! #Bambi is on Digital HD and DisneyAnywhere May 22, Blu-ray June 6:"
30,862259042881851393,Beast of a treadmill sesh this morning \ud83d\ude30
31,862256346900697088,"RT suelee1998: Love the adorable #Bambi plush DisneyStore, getting ready for the #pirateslifeevent &amp; #bambibluray event follow along from\u2026"
32,862255062348963841,#bambi adult lady grey fable porno
33,862244002980147200,RT fredrestine: .Power99Philly I want to hear Jidenna's
34,862241451480150020,"RT Disney: Fawn over the Walt Disney Signature Collection! #Bambi is on Digital HD and DisneyAnywhere May 22, Blu-ray June 6:"
35,862239522259709952,"RT Disney: Fawn over the Walt Disney Signature Collection! #Bambi is on Digital HD and DisneyAnywhere May 22, Blu-ray June 6:"
