,tweet_id,text
0,862355615796133895,SCOTT SNYDER's 'Last Batman Story For A While' With ALL-STAR BATMAN Finale With SEAN MURPHY
1,862355361411584000,Keep your geeky space lit up with this epic #Batman light!
2,862355248542883841,Oh just take a look at this!Welcome to  #dccomics ...
3,862354921244418048,Check out he most popular books at the shop this week! And that's not all... #batman #msmarvel #starwars
4,862354779988795392,Star Wars Spacecraft Ship Pendant Keychai
5,862354691664912385,"SirenOfGotham True, but #Batman has the power of 2 weeks prep time. No can defend!"
6,862354080148201472,And dont forget Part 2.  Too many bad guys for one video
7,862354055594524672,"#Toys #Gift #Batman: The Dark #Knight Returns by Frank Miller (1986, Paperback) DC"
8,862354036594429953,"#Gifts #Toy #Batman: The Dark #Knight Returns by Frank Miller (1986, Paperback) DC"
9,862354021968879616,#Kids #Toy #Batman Arkham City CLAYFACE Deluxe 13 Action #Figure DC Collectibles SOLD OUT!
10,862354013596954624,#Kid #Toys #Batman Arkham City CLAYFACE Deluxe 13 Action #Figure DC Collectibles SOLD OUT!
11,862353968680194049,#Pinback #Bobble #Funko DORBZ #Batman 01 SERIES 1 XL DORBZ SUMMER CONVENTION EXCLUSIVE RARE VINYL
12,862353857900232704,#Kids #Toy #Batman Arkham City CLAYFACE Deluxe 13 Action #Figure DC Collectibles SOLD OUT!
13,862353851231358976,#Legend 2017 #Batman #22 ( LENTICULAR VARIANT COVER ) DC UNIVERSE REBIRTH NM-MT
14,862353829504835584,#Batmobile #Batman 1989 ERTL Batmobile Batman The Movie Black DC Comics NEW Die Cast Model
15,862353825851625472,#Fictional #Hero #Batman Arkham City CLAYFACE Deluxe 13 Action #Figure DC #Collectibles SOLD OUT!
16,862353822332497920,#Superhero #Batman And Me Signed Hardcover 1989 First Edition Book
17,862353818511491072,#Batman #Mask #Halloween Masquerade Batman Mask man woman #Costume Prom Black White Party
18,862353816800251904,"#Batman #Superhero Batman: The Dark Knight Returns by Frank Miller (1986, Paperback) DC Comics"
19,862353477472731136,"Another day another week of comics, today we Have All Star Batman #10 from DCComics"
20,862353454596935680,SirenOfGotham We've played #Batman and #Superman. The problem is I pretent I'm #Galactus and force them to have to
21,862353401123819520,DellEMCWorld #day3 General Session #Batman theme...what's in store today Corus360
22,862353326591049729,Mom I stole your #Batman cup.. the question is WHAT YOU GON DO BOUT IT!!??? elizabethvielka luvya
23,862353256412053505,#nerdalert #batman #sharethewear #lootwear Thanks lvlupyourstyle lootcrate - this month's
24,862353243413852160,Mom I stole your #Batman cup.. the question is WHAT YOU GON DO BOUT IT!!??? elizabethvielka luvya
25,862352886604324864,Mike L. Nostalgia mlnostalgia: Check out this #Batman Costume Hat new w tags! #cosplay
26,862352560031764480,Check out this #Batman Costume Hat new w tags! #cosplay  #retweet #comics #streamers
27,862352446567325696,#Batman #Statue DC #Comics Batman Forever Movie Applause Diorama Statue Sets New! 1995
28,862352208662323201,High towers and ... -
29,862352109114728450,Azrael and Batman #Azrael #Batman #Comics #JusticeLeague #Dc #Dccomics #Dcuniverse by
30,862351604892217344,Ex-Fable Chief Joins Sony ... -  Playstation PlaystationUK PlaystationVR RocksteadyGames
31,862351574982701056,Iron man cufflinks
32,862351084324605952,"An All-Star #Batman, Vol. 1 Review - Road Trip!    #TwoFace #comics DCComics #DCRebirth"
33,862350671198076928,#AdamWest ADAM WEST BATMAN AUTOGRAPHED SIGNED 8X10 #Photo JSA AUTHENTICATED
34,862350575329050625,"Supergirl this week \""They freak out and Run away just like CLARKS FRIEND\"" wtf Clark friend aka THE DARK NIGHT BATMAN"
35,862350028383412225,Hints for making attractive Batman Diagrams #analytics #Batman  via SlideShare
36,862349991997779968,The latest Are You Screening Daily!
37,862349842349137920,#Pinback #Bobble #Funko Dorbz Ridez 2016 SDCC The Banana Split Snorky &amp; Bingo &amp; Batmobile
