,tweet_id,text
0,862198734565912576,RT samEmark: It's clear I don't know how to deal with 45. I just finished live tweeting
1,862184260345540608,It's clear I don't know how to deal with 45. I just finished live tweeting
2,862183669984874496,RT samEmark: I do appreciate chrisodonnell's homage to the original Robin.
3,862183660077928448,"RT samEmark: Batman: \""I have a riddle for you. Why did my agent book me this movie?\"""
4,862183629371453440,RT samEmark: Death total for The Dark Kilmer: 1
5,862183610970976256,RT samEmark: How ironic. Batman and Robin running away is the last shot of the movie.
6,862183596966260737,RT samEmark: What!? How did I miss that jonfavs was in this movie!? What was that experience like jonfavs!?
7,862180398079528963,What!? How did I miss that jonfavs was in this movie!? What was that experience like jonfavs!?
8,862180079626932224,How ironic. Batman and Robin running away is the last shot of the movie.
9,862179580890578944,Death total for The Dark Kilmer: 1
10,862178668193341440,"Batman: \""I have a riddle for you. Why did my agent book me this movie?\"""
11,862176864185368577,I do appreciate chrisodonnell's homage to the original Robin.
12,862176154785951746,The Riddler and Two Face playing Battleship was still better than the actual Battleship movie.
13,862175950989008896,"\""Alfred. I'm going to build a batplane.\"" \""Will you make your runway a complicated cave labrynth?\"" \""Of course.\"""
14,862174081256378368,That'll hold Nicole Kidman. A loose gold chain.
15,862172915055304705,"\""Joygasm?\"" Which writer bought drinks the night that was approved?"
16,862172695030489089,Wayne Manor really needs some ADT. Not it's current ADT: Alfred Door Troth
17,862170166569738240,"Man, who brought the fog machine to the Wayne Family wake?"
18,862168496486199298,RT CateGrill88: GeekPride5 mguggenheim Bale doe's it best  ;)
19,862164410269405184,GeekPride5 mguggenheim Bale doe's it best  ;)
20,862053372517646336,Kid after my own heart! #keywest #batman #batmanforever #florida #floridakeys #tobeakidagain\u2026
21,861806109249732610,"RT davefranciosa: \""Who's afraid of the big black bat?\"""
22,861796045554110464,"\""Who's afraid of the big black bat?\"""
23,861775745412202498,"Batman forever, schimbare...  #batmanforever #ChrisO'Donnell"
24,861744863137718274,"#Gotham Gotham \""I see without seeing. To me, darkness is as clear as daylight. What am I?\"" \n\n~Batman to the Riddler in #BatmanForever~"
25,861702137415258112,"\""Kiss From A Rose\"" by Seal on Amazon Music.  Haven't heard this since"
26,861670213540085760,RT Gotham_World: #BatmanForever The Joker Canvas Oil Painting Wall Art Poster
27,861660467080704000,#BatmanForever The Joker Canvas Oil Painting Wall Art Poster
28,861609854389149697,RT samEmark: Alright guys. Remember. Wear only blacklight accenting punk clothing.
29,861609844532531200,"RT samEmark: \""Ya know. I'm glad we installed that glass ceiling in this ballroom space-- OH COME ON, BATMAN!\"""
30,861609830754201600,RT samEmark: This is why Batman should never smile.
