,tweet_id,text
0,862352188613562368,Riddler has more riddles and Selina gets a Batman Returns experience. Read on...  #Gotham\u2026
1,862330059348160512,Sick homage to Michelle Pfeiffer's #CatWoman from #BatmanReturns in the latest #Gotham \ud83d\udc4c\ud83c\udffb
2,862318071477874688,Watch Batman Returns (1992) Free Online \nLink:  \n
3,862255880779071488,Very nice #BatmanReturns #Catwoman nod
4,862254718973857792,"\""You're catnip to a girl like me. Hansome, dazed, and to die for.\"" #batmanreturns #catwoman #selinakyle #thecat..."
5,862254703077453824,"\""You're catnip to a girl like me. Hansome, dazed, and to die for.\"" #batmanreturns #catwoman\u2026"
6,862165322756968449,#Gotham takes some inspiration from #BatmanReturns in this week's episode
7,862146038114664448,#BatmanReturns Movie Art By
8,862143614708842496,#Batman Returns Movie Art By
9,862138396923371520,EAT SHIT Harden! Manu showed up!
10,861997073616564225,this catwoman origin has always been trash \ud83d\ude15
11,861996468567064576,#Gotham takes some inspiration from #BatmanReturns in this week's episode
12,861966395243978752,This was nice homage to #BatmanReturns camrenbicondova
13,861946071638974464,Gotham Michelle Pfeiffer #BatmanReturns homage! And just like youngSelina many of those cats are youngins too #Kittens #Gotham \ud83d\udc31\ud83d\udc31\ud83d\udc31
14,861944761753776128,Nice little Nod to #BatmanReturns here  :)
15,861892201554595842,RT Syfy: \ud83d\udea8 SPOILERS for the latest episode of #Gotham \ud83d\udea8\n\nWatch robinlordtaylor talk about tonight's homage to #BatmanReturns.
16,861891674330497024,RT Syfy: \ud83d\udea8 SPOILERS for the latest episode of #Gotham \ud83d\udea8\n\nWatch robinlordtaylor talk about tonight's homage to #BatmanReturns.
17,861890938930647044,"RT R_0_B_89: Gotham Great homage to #BatmanReturns, such an Iconic scene!!! The Rise of Catwoman Begins.....#Gotham camrenbicondova"
18,861890898740858882,RT henchwenchxox: Straight up homage to #BatmanReturns in
19,861885666430517248,Gotham camrenbicondova #Gotham i loved the way there was a #BatmanReturns #Catwoman same scene with selina
20,861882041163558912,Straight up homage to #BatmanReturns in
21,861858901611950080,#Gotham Glad to see the producers took their cues from #BatmanReturns in regards to Selina's transformation into #Catwoman. Great flick
22,861837894880768000,RT Syfy: \ud83d\udea8 SPOILERS for the latest episode of #Gotham \ud83d\udea8\n\nWatch robinlordtaylor talk about tonight's homage to #BatmanReturns.
23,861810691187113985,Holy shit \ud83d\ude31 cloned Bruce just pulled a Max sherek and Throw Selena out the window \n#batmanReturns #Gotham\u2026
24,861801235241947136,Gotham It's almost like what happened in
25,861796016600752129,Love the #BatmanReturns throwback Gotham \ud83d\ude40\ud83d\ude40\ud83d\ude40
26,861793092625731585,I like how tonight's #Gotham paid MAD HOMAGE to #TheDarkKnight and #BatmanReturns. But still: Joker &gt; The Riddler.
27,861792656766242816,#dvrcatchup\n#gotham\n\nwow...the scene at the end(spoilers) #Selina was VERY #MichellePhiffer in #BatmanReturns kinda cool\n
28,861790811398168576,Nooooo Selina....\ud83d\ude40\n-red.\n
29,861787929961783296,RT Syfy: \ud83d\udea8 SPOILERS for the latest episode of #Gotham \ud83d\udea8\n\nWatch robinlordtaylor talk about tonight's homage to #BatmanReturns.
30,861778895669833729,"Wow #Gotham GothamTVWriters is going full on #BatmanReturns right now, this season has been really weird and I love it"
31,861776589029343232,"RT R_0_B_89: Gotham Great homage to #BatmanReturns, such an Iconic scene!!! The Rise of Catwoman Begins.....#Gotham camrenbicondova"
32,861775648263593984,Gotham just went full #batmanreturns \ud83d\ude02
33,861772906099027969,RT MacDoug1: Gotham It just turned into #BatmanReturns. lol
34,861769551033188352,"RT R_0_B_89: Gotham Great homage to #BatmanReturns, such an Iconic scene!!! The Rise of Catwoman Begins.....#Gotham camrenbicondova"
35,861769011960434692,RT lebeau32: The birth of #CATWOMAN. Glad they when with the #BatmanReturns awakening. That will always be the best one.
36,861768319354929153,"RT R_0_B_89: Gotham Great homage to #BatmanReturns, such an Iconic scene!!! The Rise of Catwoman Begins.....#Gotham camrenbicondova"
37,861768064207081472,"Gotham Great homage to #BatmanReturns, such an Iconic scene!!! The Rise of Catwoman Begins.....#Gotham\u2026"
38,861758856501874689,To all the #Batman fans - tonight's #Gotham featured an awesome #BatmanReturns Easter Egg! (Spoilers) Amazing show!
