,tweet_id,text
0,862337066935439360,RT BrianBanksFREE: Time to make a Movie ! \ud83c\udfac   \n#tomshadyac #brucealmighty #patchadams #aceventura\u2026
1,862335972762984448,RT BrianBanksFREE: Time to make a Movie ! \ud83c\udfac   \n#tomshadyac #brucealmighty #patchadams #aceventura\u2026
2,862281226081533953,Morgan Freeman says making television shows can be challenging #BruceAlmighty #TheShawshankRedemption #Glory\n
3,862179005902069760,"Bruce Almighty (2003) on #Vidimovie\nTrailers, Clips &amp; Reviews:"
4,862040368052920320,"2nd film of the night,"
5,861950670798176256,Watch Bruce Almighty (2003) Free Online \nLink:  \n
6,861813948953366530,CJCEllwood bdhillon89 Let there be light!
7,861763231672565760,Productivity Tips: Get to Inbox Zero Every Day!
8,861701258645831680,"\""And I do the cha cha like a sissy girl\"" \ud83d\ude02\ud83d\ude2d\ud83d\ude02"
9,861324508048654336,Such a B...E...A...utiful day! #brucealmighty lol
10,861295016131604480,Watch Bruce Almighty (2003) on #NowTV (14-Day Free Trial)\nWatch right now:
11,861093982276698112,RT abhikini: Feels like #Hitchhikersguidetothegalaxy meets #BruceAlmighty ABSOLUTELY ANYTHING Trailer (2017)
12,861091400103940096,Bruce Almighty (2003) Watch FREE Online\nVidimovie Link:
13,861068655190319104,Productivity Tips: Get to Inbox Zero Every Day!
14,861034659639156736,RT TrademarkMan: marcuslemonis This is Marcus answering personal requests on Twitter...
15,860962593275564032,RT TrademarkMan: marcuslemonis This is Marcus answering personal requests on Twitter...
16,860906431293386753,RT TrademarkMan: marcuslemonis This is Marcus answering personal requests on Twitter...
17,860905265218158594,marcuslemonis This is Marcus answering personal requests on Twitter...
18,860861345494962176,RT abhikini: Feels like #Hitchhikersguidetothegalaxy meets #BruceAlmighty ABSOLUTELY ANYTHING Trailer (2017)
19,860858364472868864,Feels like #Hitchhikersguidetothegalaxy meets #BruceAlmighty ABSOLUTELY ANYTHING Trailer (2017)
20,860676708600610816,Who else besides LuisEMora89 didn't know that #EvanAlmighty was the sequel to #BruceAlmighty?
21,860514969783283713,Great shot of Bruce Dickinson last night from the IronMaiden #TheBookOfSoulsWorldTour #brucealmighty #IronMaiden\u2026
22,860481008197668865,Watch Bruce Almighty (2003) Free Online \nLink:  \n
23,860291485828227072,"Maids of the mist\ud83c\udde8\ud83c\udde6 #canada #niagarafalls #brucealmighty #lobsterseason  Niagara Falls, Ontario"
24,860230877980315648,Bruce will turn Gil into a defensive midfielder sitting infront of the back four and telling him to win his headers\u2026
25,860227251358576642,Spiked my coffee and now I'm like a stenographer.
26,860202650100539392,Watch Bruce Almighty (2003) on #nowtv (14-Day Free Trial)\nWatch right now:
27,859990585675063296,RT BrianBanksFREE: Time to make a Movie ! \ud83c\udfac   \n#tomshadyac #brucealmighty #patchadams #aceventura\u2026
28,859986710435901440,"Bruce Almighty (2003) on #Vidimovie\nTrailers, Clips &amp; Reviews:"
29,859927906465832961,Where's Bruce? #brucealmighty #akitagermanshepherd #blueberryhill #hiking #spring  Pole Hill Park
30,859797709406048257,"Is it bad that every time I spell beautiful I hear #JimCarry saying \""b-e-a-uuuuutiful....\"" \ud83e\udd14"
31,859689816853803008,tboseZA Bruce is just a pumpkin bathong\ud83d\ude0d\ud83d\ude0d\ud83d\ude0d\ud83d\ude0d I bet this selections came through a dream #Abaphansi \ud83d\ude4c\ud83d\ude4c\ud83d\ude4c\ud83d\ude4c\ud83d\ude4c\ud83d\udc97\u2764\ufe0f danki wena Mr
32,859623278801014785,RT BrianBanksFREE: Time to make a Movie ! \ud83c\udfac   \n#tomshadyac #brucealmighty #patchadams #aceventura\u2026
33,859573220466466817,RT BrianBanksFREE: Time to make a Movie ! \ud83c\udfac   \n#tomshadyac #brucealmighty #patchadams #aceventura\u2026
34,859572797743517696,Time to make a Movie ! \ud83c\udfac   \n#tomshadyac #brucealmighty #patchadams #aceventura\u2026
35,859135672422207488,Productivity Tips: Get to Inbox Zero Every Day!
