,tweet_id,text
0,862343238056914947,RT Renner4Real: Yeah. I'm diggin this. You?
1,861890774643953665,RT CollectDST: Buck and yes. #MarvelSelect #CaptainAmerica #CivilWar #actionfigures hit in August.
2,861595647958425601,2 days and one year ago today.
3,861490978414366720,Like #CaptainAmerica #CivilWar? Check out my #TalkingBooks about the Marvel #comicbook event\n
4,861314481292541952,COMPLETE SET #Marvel's #CaptainAmericaCivilWar MOVIE SETUP!
5,861297313091735552,RT whitesheepstore: Thank you Rob for sharing your photo #captainamerica #civilwar #lycrasuit #whitesheeplether #WSL\u2026
6,861285784288018433,RT Shop_now_online: Thank you Rob for sharing your photo #captainamerica #civilwar #lycrasuit #whitesheeplether #WSL\u2026
7,861280669434912769,Thank you Rob for sharing your photo #captainamerica #civilwar #lycrasuit #whitesheeplether #WSL\u2026
8,861150464401866752,only few day left for the blockbuster  CaptainAmerica:CivilWar knocking my door
9,860843311111733248,Cats were hella fresh
10,860763416126005248,Captain America:
11,860720433334812679,RT Jil_Aimee: Mission report - watching one of my faves #captainamerica #civilwar with the great #SebastianStan and ChrisEvans - bestie t\u2026
12,860317557458427904,Just got tickets for Guardians on Saturday. Literally haven't been this excited since CaptainAmerica #CivilWar last year
13,860140785349558273,Currently drawing this commission. #captainamerica #CivilWar #ironman #drawing #art #marvel strathmoreart\u2026
14,860121200789467137,The definitive Hot Toys Iron Man figure? Final product shots of the Iron Man Mark XLVI 1/6 scale #HotToys #Marvel\u2026
15,859855288165445633,RT RegalMovies: RT for your chance to win this special signed CaptainAmerica: #CivilWar poster!
16,859851437458763778,"RT Marvel: Everett Ross &amp; #Crossbones emerge in new CaptainAmerica #CivilWar photos, out on May 6!"
17,859851257523179520,"RT ThatKevinSmith: With one simple image, I'VE shot MY webs all over my laptop. New CaptainAmerica #CivilWar trailer makes me THWIP!!! ht\u2026"
18,859619634684858369,RT AnthonyDFarr: Like #CaptainAmerica #CivilWar? Check out my #TalkingBooks about the Marvel #comicbook event\n
19,859619498772627457,Like #CaptainAmerica #CivilWar? Check out my #TalkingBooks about the Marvel #comicbook event\n
20,859574923278381057,RT scarletamericaa: Spidey
21,859406755717165057,"#Trump\ud83c\udf4a\ud83e\udd21was referring to #CaptainAmerica #CivilWar, it was not as good as"
22,859382518147100673,RT EW: Decoding the secrets of the new #CaptainAmerica: #CivilWar trailer:
23,859232771528572928,I loved #AndrewJackson 's performance in #CaptainAmerica #CivilWar he was ahead of his time.
24,859160604350623744,I heard that realDonaldTrump couldn't understand why Ironman and Captain America were fighting. CaptainAmerica
25,859135379168870400,Hasbro Marvel Risk Captain America Civil War Edition The Avengers | eBay
