,tweet_id,text
0,862364115557384202,"NEW VIDEO IS UP!\n\""Cast Away: The Untold Story\""\n"
1,862303880754995201,New bretteldredge album coming August 4. Played 4 new songs live last Friday including
2,862302148721336320,group sex threesomes #castaway sex
3,862243666831618049,RT dexshirts: Tom Hanks as Chuck Noland behind the scenes on #Castaway (2000).
4,862180237936926720,RT ToCNights: This brand new song from BrettEldredge has us melting into a puddle of emotion.
5,862166590573469696,I know what I have to do now. I gotta keep breathing. Because tomorrow the sun will rise. Who knows what the tide could bring?\n\n
6,862141395611639809,MalcolmWHW 3 hours left to win the CBS #survivor #castaway championship. Are you nervous? I'm surprised you aren't campaigning to beat Rob
7,862140206002171905,This brand new song from BrettEldredge has us melting into a puddle of emotion.
8,862132625699483648,Here is that new bretteldredge song that elainadsmith is obsessed with
9,862116765232504832,I'm SO about the island life! #Paradise #Peace #Castaway\ud83d\ude0e\ud83c\udf34\ud83c\udf1e\ud83c\udf0a\ud83c\udf79
10,862115294348800001,Watch Cast Away (2000) on #nowtv (14-Day Free Trial)\nWatch it now:
11,862112990086254593,"Now  on Shadows Radio  :  Seabound - \"" Castaway\""\n\n"
12,862110068686323713,Tom Hanks as Chuck Noland behind the scenes on #Castaway (2000).
13,862068651406630912,I found Wilson! He floated up onto our property! #castaway #tomhanks #wilsonfromcastaway #wilson\u2026
14,862025941983383553,"tomhanks  I don't know why, but this makes me want to watch your movie again."
15,862003137284108288,Help Lucy Irvine of #Castaway fame save these beautiful dogs from death
16,861998670220328960,Lucy Irvine of #castaway fame is tying to save 55+ dogs in her Haven which will soon be shut down. Check out SaveLucysDogs for more info
17,861957193612095492,Cast Away (2000) Watch Full Movie HD\nWatch Now:
18,861945090784333826,this is what your amazing singing/song writing did to me with
19,861934359061901317,bretteldredge  My soul understood every word.
20,861892404797997057,"RT ShadowhuntersTV: Take a trip with us to \ud83c\uddef\ud83c\uddf5!\n#TheFastandtheFurious #TokoyoDrift begins at 6/5c, followed by"
21,861871728892420096,Warning Signs of Depression and Suicide - VIDEO-&gt;  \n#Depression #Bi-polar #Castaway #Coprig.\u2026
22,861869825664176129,"RT YellowBellyBeer: Lads, these pictures from bia_agus_deoch and son0vagun of our #Castaway cans are HILARIOUS. FOLLOW THEM!!\n"
23,861869542678691840,"RT YellowBellyBeer: Lads, these pictures from bia_agus_deoch and son0vagun of our #Castaway cans are HILARIOUS. FOLLOW THEM!!\n"
24,861841100591517696,The ending to #castaway infuriates me so much . Wtf was in the FedEx box ? He didnt open it the ENTIRE 4 Years
25,861836673067429888,RT: Watch Cast Away (2000) on Flixano\nStart Free Trial:
26,861825064555204609,Castaway. (Parashoot n.360) #castaway #conceptual #urbanspace #urbanart #urbanground #streetart\u2026
27,861811725770735616,"PICK UP!!\n5.28 at ANTIKNOCK\ncastaway \""Over And Over Again\"" Release Tour Final\n\nticket\ud83c\udfab\n"
28,861801196654272512,RT gentsmanifesto: Tom Hanks Quote...\n#tomHanks #TheCircle #theCircleMovie #Inferno #sully #ForestGump #ToyStory #DaVinchiCode #CastAway #\u2026
29,861787907131965442,Saddest movie breakup of all time has to be Tom Hanks and Wilson
30,861760393689038848,Could this be his next single?!!! #castaway #bretteldredge #sneakpeak\n\n~Courtney
31,861738740825313280,Hey guess what! bretteldredge debuted NEW music in Nashville!\ud83d\ude31
32,861722841095577600,RT thathaileegirl: Only bretteldredge can take a mediocre movie title and turn it into a \ud83d\udcafbeautiful ballad \ud83d\ude0a\ud83d\ude0a\ud83d\ude0a #castaway #MusicMonday  ht\u2026
33,861722370528223232,RT thathaileegirl: Only bretteldredge can take a mediocre movie title and turn it into a \ud83d\udcafbeautiful ballad \ud83d\ude0a\ud83d\ude0a\ud83d\ude0a #castaway #MusicMonday  ht\u2026
34,861710282443378688,"\""Castaway\"" by The Tear Garden  #Castaway #TheTearGarden Lyrics RT\u21ba"
35,861708814160154632,NEW TheYoungSires OUT NOW
36,861708800054702082,"RT YellowBellyBeer: Lads, these pictures from bia_agus_deoch and son0vagun of our #Castaway cans are HILARIOUS. FOLLOW THEM!!\n"
37,861681434867748864,Next #theisland needs a cave!
38,861673045366329345,Have a listen to the new single from bretteldredge
39,861649556425109505,RT Memphisblue860: #castaway still destroys me every time.
40,861644216904151040,"RT YellowBellyBeer: Lads, these pictures from bia_agus_deoch and son0vagun of our #Castaway cans are HILARIOUS. FOLLOW THEM!!\n"
41,861641607111725056,"RT YellowBellyBeer: Lads, these pictures from bia_agus_deoch and son0vagun of our #Castaway cans are HILARIOUS. FOLLOW THEM!!\n"
42,861641501658537985,"RT YellowBellyBeer: Lads, these pictures from bia_agus_deoch and son0vagun of our #Castaway cans are HILARIOUS. FOLLOW THEM!!\n"
43,861635175502929920,"RT YellowBellyBeer: Lads, these pictures from bia_agus_deoch and son0vagun of our #Castaway cans are HILARIOUS. FOLLOW THEM!!\n"
