,tweet_id,text
0,862108158587809793,djbencastaneda #DancesWithWolves is one of my fave scores.  So epic and moving.
1,862018346375663616,"modernwest showing #DancesWithWolves n my US History class for the 50th time, literally! The life lessons r as rel\u2026"
2,861953248432988160,RT sttepodcast: Guns would make one warrior like two. - John Dunbar #STTEQOTD Quote of the day
3,861947987563601921,Guns would make one warrior like two. - John Dunbar #STTEQOTD Quote of the day
4,861717325816274944,"OutlanderCostum Terry, do u know Cathy Smith? If not I can connect u. #danceswithwolves #Sonofmorningstar and lots\u2026"
5,861458209038618624,Stream Dances with Wolves (1990) on GeekerMovies\nWatch Now:
6,861262775229837314,1pm ET &amp; 10am PT on  #MichiganMatinee with an hour of music by John Barry.\u2026
7,861225892160430081,Dances with Wolves (1990) Full Movie HD\nDownload Now:
8,860868374666113024,Dances with Wolves (1990) Download Full Movie HD\nDownload Link:
9,860571530660503552,My hair feels it already..doesn't know if it's Beyonc\u00e9 or Stands with a Fist . \u2764\ufe0fmy ntv movies #danceswithwolves\u2714\ufe0f#wild\ud83d\udc402day\u2714\ufe0f\u2714\ufe0f\u26a1\ufe0f\u26a1\ufe0f\ud83d\udca5\ud83d\udca5
10,860520645192540162,RT: Watch Dances with Wolves (1990) on Flixano\nStart Free Trial:
11,860459268369154048,Finished a page late last night have to ink a lot of pages yikes #sequential #comics #pencils #DCC17 #nakedindian\u2026
12,860373252987797504,Don't forget the best fruitloop!
13,860152451596378114,"RT ArtoftheScore: Episode 6 of #ArtoftheScore is out, with John Barry's Oscar-winning score to #DancesWithWolves! Check it out at"
14,860133172759101442,"RT ArtoftheScore: Episode 6 of #ArtoftheScore is out, with John Barry's Oscar-winning score to #DancesWithWolves! Check it out at"
15,860054935408390144,Watch Dances with Wolves (1990) on Flixano\nStart Free Trial:
16,860031684607188993,MaryMcDonnell10 Only just recently starting watching #MajorCrimes &amp; I love it. Love you in it. Also loved you in #danceswithwolves.
17,859917963859640321,"RT ArtoftheScore: Episode 6 of #ArtoftheScore is out, with John Barry's Oscar-winning score to #DancesWithWolves! Check it out at"
18,859917793331892224,"RT ArtoftheScore: Episode 6 of #ArtoftheScore is out, with John Barry's Oscar-winning score to #DancesWithWolves! Check it out at"
19,859885924917944320,"........\""The End\""."
20,859797977170403334,Remember learning to communicate a new way with #DancesWithWolves? See it again this month on SC Vault!
21,859715395598426113,"RT ArtoftheScore: Episode 6 of #ArtoftheScore is out, with John Barry's Oscar-winning score to #DancesWithWolves! Check it out at"
22,859710454083403776,"RT ArtoftheScore: Episode 6 of #ArtoftheScore is out, with John Barry's Oscar-winning score to #DancesWithWolves! Check it out at"
23,859710302052532224,"Episode 6 of #ArtoftheScore is out, with John Barry's Oscar-winning score to #DancesWithWolves! Check it out at\u2026"
24,859286967384772609,Dances with Wolves (1990) Watch Online For FREE\nWatch Now:
25,859264131232403460,"MaryMcDonnell10, talking about the awareness raised by #DancesWithWolves. It's sad to see that things haven't real\u2026"
26,859122061943418882,"John Barry, thank you...  \ud83c\udfb6"
