,tweet_id,text
0,862372308849016832,RT ComicBookNOW: .Marvel announces #Deadpool cartoon coming to FXXNetwork!\nFULL ARTICLE:
1,862372288305528833,RT Marvel: .FXXNetwork orders untitled Marvel's #Deadpool adult animated comedy series! Get more details:
2,862372288183840775,"RT nerdist: #Deadpool is getting an adult animated series, written by #DonaldGlover:"
3,862372277198798848,"RT nerdist: #Deadpool is getting an adult animated series, written by #DonaldGlover:"
4,862372265052311552,"RT THR: #Deadpool Animated Comedy Series From Donald Glover, Marvel Set at FXX"
5,862372261961105411,"RT THR: #Deadpool Animated Comedy Series From Donald Glover, Marvel Set at FXX"
6,862372240855269376,RT Marvel: .FXXNetwork orders untitled Marvel's #Deadpool adult animated comedy series! Get more details:
7,862372235876728841,RT NYDailyNews: .donaldglover and Marvel join forces to bring #Deadpool to TV
8,862372148635205636,RT ComicBookNOW: .Marvel announces #Deadpool cartoon coming to FXXNetwork!\nFULL ARTICLE:
9,862372134357794817,"RT THR: #Deadpool Animated Comedy Series From Donald Glover, Marvel Set at FXX"
10,862372114476679168,"RT THR: #Deadpool Animated Comedy Series From Donald Glover, Marvel Set at FXX"
11,862372109707882496,RT NYDailyNews: .donaldglover and Marvel join forces to bring #Deadpool to TV
12,862372076589416448,"RT nerdist: #Deadpool is getting an adult animated series, written by #DonaldGlover:"
13,862372070583402496,"Marvel universe keeps winning, this is being done by donaldglover.. The hype currently cant be any higher for"
14,862372060575793167,RT Marvel: .FXXNetwork orders untitled Marvel's #Deadpool adult animated comedy series! Get more details:
15,862372060282191876,RT 411mania: Donald Glover Working on an Animated Deadpool Series for FXX
16,862372048072355840,RT gamespot: New adult animated #Deadpool show is on the way in 2018
17,862372046898167815,RT Marvel: .FXXNetwork orders untitled Marvel's #Deadpool adult animated comedy series! Get more details:
18,862372028673921024,RT RottenTomatoes: \ud83d\udea8 Donald Glover is creating an animated #Deadpool TV show for FXX!!! \ud83d\udea8
19,862372008104951808,RT AaronCouch: Donald Glover and his brother Stephen are making a #Deadpool animated series for FXX
20,862372007471493120,RT RottenTomatoes: \ud83d\udea8 Donald Glover is creating an animated #Deadpool TV show for FXX!!! \ud83d\udea8
21,862372005504577539,"RT JarettSays: #Deadpool is coming to TV as an \""adult animated comedy\"" written by DONALD GLOVER &amp; STEPHEN GLOVER!! FXX ordered 10 eps for\u2026"
22,862371974567182336,RT ComicBookNOW: .Marvel announces #Deadpool cartoon coming to FXXNetwork!\nFULL ARTICLE:
