,tweet_id,text
0,862375850595037184,"#earthquake Magnitude 0.55 occurred 41km N of Inyokern, California 2017-05-10T02:11:05.670Z UTC #didyoufeelit?"
1,862375777039417346,"#earthquake Magnitude 1.7 occurred 90km WNW of Skagway, Alaska 2017-05-10T11:36:20.701Z UTC #didyoufeelit?"
2,862375767560290304,"#earthquake Magnitude 1.04 occurred 9km WNW of Cobb, California 2017-05-10T11:12:11.260Z UTC #didyoufeelit?"
3,862375546621177856,"3.1 #Earthquake in 19 Km W   Of Seattle,Wa, #iPhone users download the Earthquake app for more information,"
4,862375466119942145,"#earthquake Magnitude 1 occurred 30km NE of Bridgeport, California 2017-05-10T11:34:10.000Z UTC #didyoufeelit?"
5,862375323966599170,RT eprotothema: #Earthquake between the #Greek islands of #Crete and
6,862375061260513280,"0.55 earthquake occurred 41km N of Inyokern, California at 02:11 UTC!"
7,862374773606813696,RT sx4x4r: Team currently at the #SimExSeries2017 the worlds biggest simulated exercise testing our capabilities. #Earthquake #Hampshire \u2026
8,862374454936174605,"The latest #Social #Earthquake \""Daily\"" SocialNewsCorp!  Via #Twitter Yemit360 marinatakehara NPM_inclfinance"
9,862374024508256256,"1.6 earthquake occurred 28km SW of Tanaga Volcano, Alaska at 05:22 UTC!"
10,862373962692657156,"0.1 earthquake occurred 69km NNE of Pahrump, Nevada at 14:56 UTC!"
11,862373933592580097,"#earthquake 37km WNW of Anchorage, Alaska"
12,862373713953435648,RT LongBeachReady: Be #Earthquake ready at home. Place large/heavy objects on low shelves. Secure wall and bookcase items. Brace high and\u2026
13,862373624585629697,"RT QuakesToday: 3.4 magnitude #earthquake. 44 km from Girdwood, AK,"
14,862373436869533699,The latest Earthquake globalerts!  Thanks to newstown_aq LALATENEWS Cognitiomatrix
15,862373090872963072,5/101:24pm-- #earthquake prediction Just blew a light bulb. Heads up.
16,862372887457447936,"RT QuakesToday: 6.0 magnitude #earthquake. 48km ENE of Amatignak Island, Alaska"
17,862372820336214062,"0.5 earthquake occurred 81km NE of Cape Yakataga, Alaska at 05:00 UTC!"
18,862372778279919616,"#earthquake Magnitude 0.5 occurred 81km NE of Cape Yakataga, Alaska 2017-05-10T05:00:07.239Z UTC #didyoufeelit?"
19,862372570984853505,RT myearthquakeapp: 5.0 earthquake occurred near Indian Ocean Triple Junction at 17:43 UTC!
20,862372299114262529,"#earthquake Magnitude 3.4 occurred 72km W of Big Lake, Alaska 2017-05-10T11:22:12.421Z UTC #didyoufeelit?"
21,862372057769693184,"#earthquake  M 1.2 - 77km WSW of Cantwell, Alaska"
22,862371859207147520,"RT EMSC: #Earthquake M5.0 strikes 1,247 km SE of #Curepipe (#Mauritius) 28 min ago. More info:"
23,862371815477231616,Burst of earthquakes along the Alaskan archipelago - temblor  #hng #earthquake #earthcentral\u2026
24,862371556894408711,"RT via emsc #Earthquake M5.0 strikes 1,247 km SE of #Curepipe (#Mauritius) 28 min ago. More info:"
25,862371392049881088,"#earthquake Magnitude 2.22 occurred 0km S of Enetai, Washington 2017-05-10T11:18:54.140Z UTC #didyoufeelit?"
26,862371386035240965,"#earthquake Magnitude 2.74 occurred 2km ENE of Enetai, Washington 2017-05-10T11:18:54.380Z UTC #didyoufeelit?"
