,tweet_id,text
0,862301235554140160,Clockwork Planet 05 [MF] [narubl]
1,862244392215560192,Last rehearsal before our load in!! Let's do this!! .. I think i'm falling in #Love #actorslife #rehearsal
2,862196535127412736,"Fucking fantasia was the fucking worst, who else is with me?! #fantasia #throwback #Disney #Trump #SoundsLikeYou"
3,862169170250788864,Her BEST album!!
4,862128888297730048,#OMG da #Voice #Face #Body simply put... pure #Beauty our #SongBird #Fantasia #HighPoint #Charlotte #NorthCarolina
5,862109071222202368,An hour and half in and everything's going well
6,862089646964191239,"Repost TezenoJordan) \""edges\"": [{\""node\"": {\""text\"": \""#Fantasia When I See U #2006\""}}]},"
7,862088395841036288,#fantasia free porn sexy egyptian pussy
8,862080320459251713,Round 5 of tattooing. Let's finish this off #fantasia #thesorcerersapprentice #mickeymouse
9,862048183207297024,My first #bujo #countdown and first time using #watercolorpencils #fantasia #perpetuafiltered
10,862017412258025472,Random Workflow Vibe: Flying...in My zone. #Fantasia #MissyElliott #HoneyVibe #NowPlaying Free Yourself by Fanta
11,862005589446086657,tasiasword you look good girl
12,861998346587820032,"Saturday,  May 13th 35th Annual Gospelfest in Newark. NJGet ready to !#Fantasia"
13,861995756001120256,Tue 13:26 SLEEPING WITH THE ONE I LOVE by
14,861988762561253376,"3 Days!!! Friday, May 12th Jacksonville Funk Fest. #Fantasia #Tasiasword #TeamTasia #RockSoul"
15,861968711921618944,Fantasia Total Praise - YouTube  via pinterest#Fantasia - the ultimate performer - Love You!
16,861950330594107393,Nobody with money is ever gonna worry about paying taxes again! #resist #lildonnie #bulletpointtaxplan #norichtax
17,861946062541660165,Add the magic of music to your day with the Walt Disney Records: The Legacy Collection - #Fantasia
18,861946053846761472,Add the magic of music to your day with the Walt Disney Records: The Legacy Collection - #Fantasia
19,861935187109847042,TasiasWord #Fantasia...When she sang #Summertime
20,861916680955539457,GMA Don't forget about Fantasia!!! We love Fantasia.
21,861903138348990465,Top crop &amp; leggings by amelia.milano #babybirbaroma #leggings #topcrop #fantasia #optical #lime...
22,861898728361402369,Mickey Mouse #fantasia #character #wdw WaltDisneyWorld
23,861898507048931329,#HomemAranha #SpiderMan #Hulk #fantasia Homecoming
24,861780048000544768,Sat July 15 Bankers Life Fieldhouse get your tickets for #Babyface #Fantasia and
25,861777746736828418,The ChazandAJ Budweiser Veterans Gala! Fri Jun 2 at #Fantasia! Featuring comic PJWalshLive. Get tickets
26,861770273900638209,Lee 8 #relatos de #Fantasa JorgeOfitas #Redessociales
27,861767092038750209,#fantasia barrino nude free mature adult movies
28,861767037332463617,"I am so hyped,excited, humbled to sing with #Fantasia!!!! This w.e #IMadeit"
29,861755195721740288,"Talented singer TasiasWord celebrates 12,000 days anniversary today! Don't forget to congrats her!"
30,861636199072411648,"Doing what I love makes me feel like, when Mickey Mouse put on the Sorcerers robe &amp; hat. Except with more control."
31,861615424039006208,Aww  harthart
32,861604252808097792,Lee 8 #relatos de #Fantasa JorgeOfitas #Redessociales
33,861574693886857216,mp4 porn trailers #fantasia sex toy
34,861565940605100033,Thoughts On: Fantasia (1940) Dumbo (1941) 101 Dalmatians (1961) A Bug's Life (1998)
35,861562012702298112,sexgirl videoscom #fantasia sexy women
36,861558862523932672,#oldies Flying Witch (2016)
37,861551876562702340,#fantasia sex toy amateur mp4
38,861532695972786177,#fantasia 3d sex girls of playboy nude
39,861472451229659136,sexy fantasy girls gallery #fantasia naked
40,861437562962886656,#oldies Luck and Logic (2016)
41,861404001237168130,#Repost theblogssip#Fantasia and her husband at the #KentuckyDerby
42,861393039452917760,Mistery section in the library. #books #library #mistery #reading #reader #lecture #lettura #leggere #libri
43,861366124147036160,Hi Fantasia  RT TheYBF: Yesss #Fantasia. Serving body tonight.
44,861362173339152389,Yesss #Fantasia. Serving body tonight.
45,861347133554802689,itgetsbedder SamSykesSwears That's the cutest hippo I've seen since #Fantasia
46,861339012035903489,#DivahSlay  #Fantasia you better #slay.#beautiful #gorgeous #pretty #fashion #style #stylish
47,861328627748810754,from RockSoul_Lives -  #Fantasia #Tasiasword #TeamTasia #RockSoul #Kentucky #KentuckyDerby -
48,861326256784244736,CincinnatiZoo #Fiona in #Fantasia Live!
49,861318977326387200,PENNY DREADFUL(Temporada 3)Josh HartnettEva GreenTimothy Dalton#Terror #Drama #Fantasa
50,861290445015572483,Living arena blanes ayer eu #fantasa
51,861289008193732609,POCIONES #2 Elixir : Amy Alward  JUNIO2017 NocturnaEd
52,861286099234283522,Saw this lovely today on #afternoonstroll.
53,861284354844176385,Check out these RARE #Disney #Porcelain #figurines ebay now  #dumbo #fantasia #dopey Only 1
54,861281366582939654,That time #Fantasia #SlayTasia TasiasWord delivered an emotional tribute to #EltonJohn EltonOfficial singing
55,861272754536030212,Yasss push through #fantasia !!! Looking goodddddd #celebrities #celebnews #celebrity #celeb
56,861233861136699394,#Offerta Week end #romantico #lifestyle #fantasia #offerteLink:
57,861231389248815105,Today's Meet Mickey#tokyodisneyland #disneyland #disney #mickeymouse #mickey #fantasia
58,861228089925414912,from RockSoul_Lives  -  #Fantasia #Tasiasword #TeamTasia #RockSoul
59,861197313645137920,"Fantasia Singing \""Total Praise\"" and Breaks Out Into Pure Worship"
60,861183914752315392,Dipping into magical ponds...
61,861183853859229696,[ 24% di Sconto ]  #Fantasia STAR WARS-52231-Zaino running
62,861180595484762115,Five Things We Learned: #Fremantle vs #Essendon  via realsport101
63,861091341773787137,I was supposed to be dressed in my southern belle garb at the Kentucky Derby today
64,861048027116707841,Love this sooo much.
65,861038147064475648,The Taylors attend the
66,861034930310193153,Free homeschool #art curriculum guide based on sorcerer's apprentice from Disneys
67,860992210136911873,#HomemAranha #SpiderMan #Hulk #fantasia Homecoming
68,860984323943665665,Sat 18:27 SLEEPING WITH THE ONE I LOVE by
69,860983858757423104,Wallet inside #weewander #sarahjane #michaelmillerfabrics #fantasia #saralawson #artgalleryfabrics...
70,860983485564993536,Wallet outside
71,860977318507970560,piccolo nights
72,860972208528781312,More progress on the #fantasia #broom #disney #disneyartspotlightfeature #brooms
