,tweet_id,text
0,862355825842683908,New item! Finding Dory Sticky Note set NEW Ocean Buddies! 480ct htf #Disney rare  via eBay
1,862348881966891008,Finding Dory (DVD) Ellen DeGeneres NEW  \u2665
2,862347320138096640,New item! Finding Dory Sticky Note set NEW Ocean Buddies 480ct Target #DollarSpot htf #Disney  via eBay
3,862343773623382017,"2 PACK - Finding Dory + Finding Nemo (DVD, 2016) Animation, Kids NOW SHIPPING !  \u2665\u2026"
4,862341147393482752,"Finding Dory (Blu-ray/DVD, 3-disc set, 2016) Usually ships within 12 hours!!!  \u2665\u2026"
5,862335745264156672,Finding Dory Blu Ray Slipcover ONLY  \u2665
6,862331942808768512,"Disney's Moana (2016) , Finding Dory (2016) , Zootopia (2016) 3Disc Blu ray  \u2665 #FindingDory\u2026"
7,862326224835792896,RT Lucifercostumes: Tom looks a little like Dory....
8,862323176822366208,#LosAngeles! Join us Saturday for a FREE screening of #FindingDory 3 lucky moms will win #MothersDay baskets!\u2026  \u300cBot\u300d
9,862311879716118528,RT LimitlessEnd: I hope people love the ocean life enough to leave them where they belong\u2014the ocean! #Findingdory \u2764\ufe0f
10,862309995584475136,PETA_Latino : RT peta: #LosAngeles! Join us Saturday for a FREE screening of #FindingDory \ud83d\udc1f 3 lucky moms will win \u2026\u2026
11,862308929853939716,RT peta: #LosAngeles! Join us Saturday for a FREE screening of #FindingDory \ud83d\udc1f 3 lucky moms will win #MothersDay baskets!
12,862308854255599616,RT peta: #LosAngeles! Join us Saturday for a FREE screening of #FindingDory \ud83d\udc1f 3 lucky moms will win #MothersDay baskets!
13,862299291192352769,"BANDAI DISNEY FINDING DORY 6\"" DESTINY SHARK BEANBAG PLUSH  \u2665 #FindingDory #Dory\u2026"
14,862286508010516480,RT peta: #LosAngeles! Join us Saturday for a FREE screening of #FindingDory \ud83d\udc1f 3 lucky moms will win #MothersDay baskets!
15,862284520636256256,RT Lucifercostumes: Tom looks a little like Dory....
16,862272983599022080,"Finding Dory (Blu-ray/DVD, Includes Digital Copy)  \u2665"
17,862266983785648128,Finding Dory Trailer \u2013 Official Disney Pixar | HD\nFinding Dory (2016)\nWatch:
18,862246496288342016,RT peta: #LosAngeles! Join us Saturday for a FREE screening of #FindingDory \ud83d\udc1f 3 lucky moms will win #MothersDay baskets!
19,862240081423335424,"Finding Dory 3D (used) Blu-ray ** No Cover Art, No case  \u2665 #FindingDory #Dory\u2026"
20,862236365458726912,RT VividToyGroup: Last day of Crayola Color Wonder Mess Free Moments! RT for a chance to win a Crayola #FindingDory Mess Free Bundle #Disn\u2026
21,862236269702766592,"\""Ooooooooooooooo\"" Bailey the Beluga hahaha, Ty Burrell was simply brilliant."
