,tweet_id,text
0,862284049443946496,I found Nemo and his dad!  #scuba #diving #findingnemo #wheresdory #livethedivelife #oceanaddict #addictedtotheo
1,862275306866057216,Watch Finding Nemo (2003) Free Online Link:
2,862173145792425984,Finding Nemo (2003) Download Full Movie HDDownload Link:
3,862167851968450560,#findingnemo ... #findingdory ... how bout #FindingMarlin ???
4,862163456346214400,Interesting Facts About Finding Nemo
5,862140410155511808,fixedbyreece look for swervelanes ganun
6,862137564291051520,Interesting Facts About Finding Nemo
7,862108989026381824,It's harder than it sounds. #findingnemo #findingdory #disney #disneyland #writer #writing #book
8,862077258642706432,love it when #science informs
9,862076352047964161,My memory is worse than Dory
10,862066582763126788,#findingnemo #clownfish #toledozoo #zoo #zootrip  The Toledo Zoo
11,862064743238053889,love it when #science informs
12,862049852175384579,"AnnaKFaris Disney nailed it twice. \""Just keep swimming\"" from #FindingNemo and \""Keep Moving Forward\"" from"
13,862037607206858752,"Am I the only one who thinks the juventusfcen fans are chanting \""Shark bait, hoo, haha!\"" ??? ChampionsLeague"
14,862036960101232640,Listening to Fishguy_FHL talk about #NaturalHistory as inspiration for #science and art (scientific consultant for #FindingNemo!)
15,862019905553481728,"No matter how bad my day is, I can always look at this meme and cheer myself up."
16,861995610865401856,I'll NEVER forget number 3....
17,861971113353543680,I found #nemo #findingnemo #disney #disneycruiseline #disneycruiseship #disneycruise #cruise
18,861950552036560896,#NavajoNationMuseum is making #LanguageRevitalization relevant in communities through #StarWars &amp; #FindingNemo! #AAM2017 AAMers
19,861840322351030273,Disney Stars on #Parade  #Squiz
20,861812343335931904,This made me sad.
21,861796875019603968,#PS4share welp I didn't expect on #FindingDory AND
22,861788829279281152,"Now that I'm a dad myself, the end of #FindingNemo actually makes me cry"
23,861773562767716353,"Finding Nemo (2003) on #VidimovieTrailers, Clips &amp; Reviews:"
24,861767031569477632,Interesting Facts About Finding Nemo
25,861766379216793601,Only Amaya  #babyShower #FindingNemo tweetsbytrell
26,861737000746885120,.karenledbury catches up with #FindingNemo's Crush! Disneyland
27,861726751063498754,"Fish are friends, not food! #disney #diving #disney #nemo #findingnemo #findingdory #dory"
28,861726568829374464,I'm also reminded of my reaction after seeing #FindingNemo . It was like psychological horror lite for me and that was before I had kids.
29,861709156939706369,I'm a #shark. Probably somewhere between Don Lino from #SharkTale and Bruce from #FindingNemo.
30,861684765514235905,In my element - obviously  #findingnemo #wdw  Finding Nemo - The Musical
31,861682463646425088,I found Dory#dory #findingdory #findingnemo #allaricercadinemo #allaricercadidory #pixar
32,861647670586204160,Finding Nemo
33,861631375467843586,"Looking good, Bruce!"
34,861628006128902144,New aquariam scene #graffiti #isleofwightartist #notdeadyet #tonytrowbridgeisnotdeadyet #crocodile #findingnemo...
35,861625776894038016,"Funny Finding Nemo card, #FindingNemo card, Finding Nemo movie by Designerpoems   via Etsy"
36,861602032465170433,Watch Finding Nemo (2003) on #NowTV (14-Day Free Trial)Here's the link:
37,861601866395680772,"When life gets you down, you know what you gotta do? Just keep swimming #findingnemo"
38,861596702746320896,Dress up as everyone's favorite fish with our cute #FindingDory glitter dress and #Nemo Tabard!.......
39,861588789189373953,Why Hollywood makes such amazing animated movies..
40,861584587968917504,Why do they make the Central Line so hard to find
41,861580754068942848,Finding Nemo (2003) Full Movie HDDownload Now:
42,861566165126086657,Watch #FindingNemo in our pop-up cinema in Porth Eirias at 12pm &amp; 3pm (13th May) #PromXtra tapeartscentre
43,861560868206764032,"Looking good, Bruce!"
44,861515768306950146,Disney&amp;#039;s Finding Nemo Giant 60cm Nemo Plush! Excellent Like New  via eBay
45,861493237214851072,A thousand miles i fly just finding you nemo #nemo #findingnemo #nemobrother #fish #coral
46,861482573515677696,Happy Anemone-Monday!  #padi #scuba #clownfish #findingnemo #anemone #scubadiving
47,861434964033798144,"finally watching the sequel to my favorite pixar, on the same old projector that projected its first movie in 04,"
48,861421167139209216,TheEllenShow  my little nephew loves his #findingnemo bouncer chair
49,861391462151409664,"\""I am a nice shark, not a mindless eating machine.....except for when it comes to this delicious roll."
50,861390459234643968,"When you spell escape \""s-cop-ae\""  #FindingNemo"
51,861376851070943233,"I like my new shirt. #Mine #UniqloPixar #FindingNemo  Cerritos, California"
52,861332363233697792,Disney Themed Nails
53,861315588794318849,Interesting Facts About Finding Nemo
54,861302166744682496,Found Nemo!
55,861252205340381184,I need a baby pet jellyfish who I can name squishy! #findingNemo
56,861246169577537536,ALERT: we found Nemo #breakingnews #instamoment #banter #findingnemo #nemo  Europe/London
57,861244084995985413,SugarGretel HashtagRoundup The platter spectacular of
58,861235408079904768,"The #EPCOT I once knew of #TheLivingSeas, #ElRiodelTiempo and #Maelstrom has been replaced by #FindingNemo, #TheThreeCaballeros and"
59,861215297365266434,Calling all #Pixar experts to #DisneyMovie #Trivia Slatterys111 on Weds 5/10 at 8pm!
60,861213297823145989,"So sweet, just love it!"
61,861208788300316673,Finding Nemo #galabakery #findingnemo #wheresdory
62,861195885216120832,"Hi,Dory! #Findingnemo#Findingdory#Disney"
63,861156868915421184,Interesting Facts About Finding Nemo
64,861112085874397184,Finding Nemo / Finding Dory cakes
65,861089862476234752,Interesting Facts About Finding Nemo
66,861058145027796993,My Blue Tang:) #taptapfishDownload:
67,861023147230973952,Finding Nemo (2003) Download Full Movie HDDownload Link:
68,860974841041526784,"Ok, ok, so I took advantage of the fact that he was completely #captivated by #findingnemo and"
69,860960307396608006,A really beautiful moment in #FindingNemo that nobody talks about is when Nemo goes to school for the first time &amp; is automatically accepted
70,860918096025927680,Someone loves to jump!! #cameronalexander #nephew #boomerang #findingnemo #happybaby  Sharpe
71,860915726760255492,Interesting Facts About Finding Nemo
72,860913322853634048,Calling all #Pixar experts to #DisneyMovie #Trivia Slatterys111 on Weds 5/10 at 8pm!
73,860907655338106882,"Repost from dancing.earth  -  #repost natlulu15 \""Fellow #FindingNemo in #Navajo cast member #ErnestDavidTsosie..."
74,860891606374895616,Interesting Facts About Finding Nemo
75,860868342072188929,"Looking good, Bruce!"
76,860861002698678273,"Looking good, Bruce!"
77,860854521999839233,Interesting Facts About Finding Nemo
78,860845106760261633,Have watched 3 movies tonight. #evildead #findingnemo (request by the little fella) and
79,860842672508076034,Watch Finding Nemo (2003) on FlixanoStart Free Trial:
80,860834830090719232,"Looking good, Bruce!"
81,860823233238630400,Watch Finding Nemo (2003) Free Online Link:
82,860793276076634112,"aslidivyakumar neetimohan18 LOL, NIMO? Youre violating PMs trademark!!Shouldnt it be NEMO? As in #FindingNemo?"
83,860761609014300672,Totalllyyyyy (for the #FindingNemo fans)
84,860747132902543361,Interesting Facts About Finding Nemo
85,860746669914304512,Cause I love #EllenDegeneres &amp; #FindingNemo  as well.#musicallyindia #musicallycombat
86,860746059282354178,Interesting Facts About Finding Nemo
87,860744909103517699,Interesting Facts About Finding Nemo
88,860744720678617088,Interesting Facts About Finding Nemo
89,860744716299767808,Interesting Facts About Finding Nemo
90,860744052681183233,Interesting Facts About Finding Nemo
91,860743822980112385,Interesting Facts About Finding Nemo
92,860742067919695873,Interesting Facts About Finding Nemo
93,860741753728643072,Interesting Facts About Finding Nemo
94,860741585692176384,Interesting Facts About Finding Nemo
95,860681339342905344,"Finding Nemo (2003) on #VidimovieTrailers, Clips &amp; Reviews:"
96,860653686439194624,It's a big blue world!
97,860627976580472833,"Looking good, Bruce!"
98,860605245726105600,Stream Finding Nemo (2003) on GeekerMoviesWatch Now:
99,860593292463013888,Day 15- First movie I saw in theaters: #FindingNemo (I didn't go to theaters when I was a kid)
100,860580297670307840,Dead.
101,860569359567253504,"\""Just keep swimming....\"""
102,860557505268781058,Favorite Films: #FindingNemo (2003) I promised him Id never let anything happen to him. Huh. Thats a fun...
103,860546178454364160,"Looking good, Bruce!"
104,860509843978846211,#DailyCssImages 5 - #Dory from #FindingNemo  ... via CodePen dailycssimages
105,860506959719608321,Watch Finding Nemo (2003) on #NowTV (14-Day Free Trial)Watch right now:
106,860497659165110272,Just keep swimming; just keep swimming...
107,860496447543934976,toyseekcom Our little girl loves #FindingDory #FindingNemo I'd get lots of daddy brownie points if I won this for her.
108,860486800854405120,Calling all #Pixar experts to #DisneyMovie #Trivia Slatterys111 on Weds 5/10 at 8pm!
109,860485557645922305,It's a full moon folks!
110,860476961503707136,Interesting Facts About Finding Nemo
111,860470004759834624,Stream Finding Nemo (2003) Full HD MovieWatch Now:
112,860453046572257280,You can speak whale??? I wish I could speak whale.
113,860406259530555392,Also Mr Bungee
114,860387311925723137,The scene where Nemo hears about how brave his father Marlin has become in order to save him makes me cry no matter where I am.
115,860336312553021441,Buscando a Nemo #Epcot #FindingNemo #PicOfTheDay #DisneyWorld  Epcot - Walt Disney World
116,860325411451920384,"\""Friends are food, not fish.\"" Right joveerrs ? #WordsOfWisdom #rainyday #Orlando #disneyworld #findingnemo"
117,860324438138642432,Disney Themed Nails
118,860279210912468992,"happy sweet 16 to my bestie!!! i love you so much, enjoy your day (: #findingnemo #polarexpress #grinch sarah_1504"
119,860263363804356608,Just Keep Swimming!
120,860259039988637696,"Looking good, Bruce!"
121,860242261237522436,"When life gets you down,you know what you gotta do(Dory voice)Just keep swimmingJust keep swimmingJust keep swimming"
122,860208368664932352,#Tbt found this lurking in a closet w/ a Comcast box circa 2005 that I'm still paying for.... #Blockbuster
123,860199087269957632,"Our 2017 #BMIFilmTVAwards Icon, Alan Silvestri, did not compose music for #FindingNemo. SilvestriMusic Stay tuned"
124,860135981546172418,"Looking good, Bruce!"
125,860124363953197056,Calling all #Pixar experts to #DisneyMovie #Trivia Slatterys111 on Weds 5/10 at 8pm!
126,860089886463971328,Love the view..#trip-let#bukitkluang#pulaurhu#findingnemo  Trip
127,860076042903531520,Show me a happier newlywed couple... #IllWait #LoveTheseTwo #FindingNemo
128,860004979658166272,My little desk- shrine :3
129,859979511340949505,EVR_Marlins Everesportsgg Just keep swimming just keep swimming lol
130,859920052266688516,Interesting Facts About Finding Nemo
131,859918944940957696,When I text pam_es to go workout I feel like this is what I sound like lol
132,859909184539680769,"Casting the #FindingNemo family as clownfish was no accident; they're \""a paragon of fatherly love.\"" physorg_com"
133,859905606173511680,If only Nemo would of had this 3D technology #luckyfin #Findingnemo TheEllenShow
134,859864711663198208,Escap!!! Funny its spelled just like the word escape  #FindingNemo
135,859858063976792065,"Literally only just understood Marlin's \""With fronds like these, who needs anemones?\"" joke..."
136,859854201828106240,Anemonefish dads further fathering research:  Photos by L. Brian Stauffer #FindingNemo Vide
137,859848395124551680,I only have till 10pm to finish
138,859834889864171520,Auty 1 has a new obsession...#FindingNemo ...Cute.. but for how long
139,859825140326166528,RyanCummins12 JackDawkinsAD SkyNews timfarron Lol. Finding a Tory to punch? They all uniformed bruv with balacl
140,859825040900186114,#FindingNemo themed family
141,859821605383532544,One of the best signs at ScienceMarchDC
142,859816535237447680,When you have spent years trying to find nemo and you finally find #nemo!! #FindingNemo at the
143,859808988279562240,"Gill and Nemo's cousin, Jester! Lol   #Gill #Nemo #findingnemo"
144,859808015389790209,TheEllenShow can you confirm in whale
145,859782399089160192,"Looking good, Bruce!"
146,859782113268297728,Cutest nemo about !!
147,859778243817295872,"Looking good, Bruce!"
148,859754577314422784,"Give a queen voice to reality, speak whale !"
149,859747930890260484,"\""Just keep swimming....\"""
150,859734318381445121,"Fandom: #FindingNemo /Dory Dory was going for a walk, her high heels crushing the pitiful coral beneath he..."
151,859730453347086337,"Dory, you're the cutest!"
152,859723429569757184,emmadnn explaining Tetrapod communities through #findingNemo characters. Along with all our #PhD's who are crushin
153,859679633616363522,"When life gets you down, you know what you gotta do? Just keep swimming!"
154,859676348683563008,Great way to kick off the dayOneQuestionConf ! Can't wait! #pixar #findingnemo #trustintech #disruptivetech
155,859671685754212352,Finding Nemo (2003) Download Full Movie HDDownload Link:
156,859657938750668800,Under the sea  . #maldives #snorkelling #herefishyfishy #findingnemo #beachlife #resort #tanlines #wanderlust
157,859617738138038274,The most accurate thing I've seen today
158,859604094616350721,"My planet Nemo, tonight. View from above."
159,859601855118049282,AmazedByAnimals the teacher from
160,859584014369386500,Iggy enjoying his new toy! #tenmonthsold #bigboy #babyiggy #babyboy #clownfish #findingnemo
161,859569458863644672,At the aquarium today identifying the fish by Finding Nemo characters
162,859566751687856129,"Finding Nemo (2003) on #VidimovieTrailers, Clips &amp; Reviews:"
163,859529225346461698,"Looking good, Bruce!"
164,859484149807288320,"There's an address for 42 Wallaby Way in Brampton, I wonder how many people go there &amp; make fun of them? Haha #FindingNemo"
165,859467733913620480,mktoon EricRogersLA joshhaber RealGDT Well that's a change from a few years ago. #findingnemo
166,859467581308227585,Mermay day 2 is a Dory fish! #mermay #mermay2017 #mermaid #dory #findingnemo #drawing #cute
167,859460750695436288,MehcadBrooks Well just keep swimming. To Sydney.  remember fish are friends not food. Ya #findingnemo reference there. Lol
168,859436469202677760,Good morning! The sun is shining the tanks are clean! ?
169,859435995300757504,Watch Finding Nemo (2003) on FlixanoStart Free Trial:
170,859414777629732864,Watch Finding Nemo (2003) on #NOWTV (14-Day Free Trial)Here's the link:
171,859391874062307328,Finding Nemo #throwback #nemo #findingnemo #scubadiving #scubadiver #seaworld #letsgetwet
172,859376928863727616,Found!! #findingnemo #Westbengal #bong
173,859371206587412482,Watch Finding Nemo (2003) Free Online Link:
174,859367375417688064,Crab#1:Hey.Crab#2:Hey.Crab#1:Hey.Crab#2:Hey.
175,859304284193796096,Interesting Facts About Finding Nemo
176,859288335600173057,"Just ride the wave, dude.  #findingnemo #crush #grabshelldude #qotd #aboutlife"
