,tweet_id,text
0,862345905319673857,"#ForrestGump in 2017 Life is like a Twitter timeline, it just goes and you make your tweets and it just keeps on going. I like your shoes."
1,862344745431027713,Quote of the week
2,862338516684025856,Ver Forrest Gump (1994) Online Gratis Link:
3,862338474774601728,Regarder Forrest Gump (1994) Gratuit en Ligne Link:
4,862338256192536576,Watch Forrest Gump (1994) Free Online Link:
5,862334432161796097,BrookeLeiaFlood Can't wait to see it
6,862333480717479937,.TheAcademy Awards. Global/Nat'l preserved best. AlabamaFTBL recognized in #ForrestGump. Global top .0000001% HISTORY ABC BBC CBS NBC
7,862324148605005825,#ForrestGump #MovieTime #Life #BoxOfChocolates with tomhanks
8,862323685524373505,Best movie! U got me crying
9,862321643284070401,Since it's #NationalShrimpDay is it also #ForrestGump day?
10,862303119048310784,RICHIE: According to a new survey #ForrestGump is the most 're-watchable' movie of all time. What's YOUR most re-wa
11,862300099095015426,"#NationalShrimpDay I would accept #ForrestGump over #Trump as our president right now! \""Stupid is as stupid does\"""
12,862285150872383488,"We need a 30-minute featurette exploring how the kid on the bus (with the Yankee accent) ended up in Greenbow, Alabama."
13,862281321242124288,Forrest Gump (1994) - Blue Ridge Parkway
14,862273073160093696,daltonorwig CassieFambro WhatTheFredSay the reason fmtalk1065 keeps rewatching #ForrestGump is because he sees it as his biography!
15,862236267622391808,"Looking back at photos of the start of the \""Forrest Gump Run\"" runroblarun"
16,862212727980163072,"\""I'm pretty tired... #iThink I'll go #home now\"" - #ForrestGump ~ 1994 ~ tomhanks ~"
17,862204746190290945,#ForrestGump  what a beautiful movie  incredible acting by tomhanks &amp; lieutenant GarySinise every time I watch this movie I feel alive
18,862189958026502145,"#ForrestGump \""You can't just run away from your problems\""Me:"
19,862187616505962497,Forrest Gumps Road to Discovery!
20,862140601562804225,"\""But you ain't got no legs Lieutenant Dan\"""
21,862134590189834240,Jenny was high as fuck at the Lincoln memorial. She's having a whole lot of trouble walking through ankle high water.
22,862132531428306944,I always forget how good the soundtrack is though.
23,862129565489147904,showstoppervir TheGabbieShow Right in the buttocks
