,tweet_id,text
0,862367859502194688,Tomorrow night! #funnygirl #comedy #standup #actress #hollywood #casting #blonde #jokes  The
1,862365020440723465,"brumhippodrome Sheridansmith1 saw #funnygirl today, blown away by Sheridansmith1 perfection"
2,862351532125151232,Find out what AlisonNorton made of #FunnyGirl at brumhippodrome last night:
3,862346505147101184,Check out our review of FunnyGirl_UK at brumhippodrome
4,862346504564068352,Check out our review of FunnyGirl_UK at brumhippodrome
5,862345581305397249,Sheridansmith1 absolutely brilliant performance and cast this afternoon #funnygirl x
6,862340736678850560,Wow...#SheridanSmith is sensational in #FunnyGirl. What a performance!  #DariusCampbell is very good too &amp; as dishy as ever.brumhippodrome
7,862315717668089856,Check out my review of FunnyGirl_UK at brumhippodrome!
8,862313586542202885,Check out our review of FunnyGirl_UK at brumhippodrome
9,862313585866887168,Check out our review of FunnyGirl_UK at brumhippodrome
10,862310578227904513,On the blog today is a review of the incredible #funnygirl  funnygirluk starring the magnificent
11,862307181336698880,.jadehubner goes behind the curtain at TheFugard to meet the cast of #FunnyGirl! Join in the fun this Thursday at
12,862298073472610304,"Today is the one day that you can look at #FunnyGirl and say, \""What, were you born yesterday?\"" penguinkids"
13,862284338410405890,Find out what we thought of #FunnyGirl at brumhippodrome here:
14,862268580905222145,"Must watch \""Funny Indian Girl Dancing - 2017\"""
15,862267559051231232,#FunnyGirl Just Incredible At The BrumHippodrome Sheridansmith1 DariusCampbell Brumisbrill  via fashion_mommyWM
16,862260807677202432,See what AlisonNorton thought of #FunnyGirl at brumhippodrome here:
17,862230493076508672,"All I'm getting at dinner is silence punctuated by random chuckles, snorts and slurps of soup. #FunnyGirl edited by"
18,862212827666427904,"#THEATRE #REVIEW Funny Girl -  brumhippodrome \""A night of memorable performances\"""
19,862118674785857537,This was fun to write. #caniberichnow in bio.#personalblog #personalfinance #comedy #funnygirl #money #wordpress
20,862072688818475009,Had the best time seeing and reviewing #FunnyGirl tonight at brumhippodrome  Such an
21,862071380401115141,Just WOW! Sheridansmith1 was absolutely incredible in #FunnyGirl at brumhippodrome tonight  what an amazing show!
22,862055104580661248,Sheridan Smith as Fanny Bryce is so good!
23,862038061764530176,#wiwt #ootd for the #pressnight of #funnygirl brumhippodrome. Dress nextofficial shoes
24,862035318337400833,Loving #SheridanSmith in #funnygirl brumhippodrome
25,862033852478484480,"Sheridan Smith is wow, just wow brumhippodrome"
26,862031628800991232,johnzxjones TillyPud Nataliejato anyone I'm at hippodrome #funnygirl sorry
27,862024421338488832,Drinks on the rooftop in the light of the full moon and then seeing the stars in #FunnyGirl TheFugard
28,862024390019600384,But only if amyignatow blesses you with Photoshop. Hey! #FUNNYGIRL is out today! Chock fulla funny stories!
29,862018671736221696,I end this tweet storm w 3 reminders. (1) #FunnyGirl is out TODAY!  (2) It rules! (3) I'm doing #giveaways ALL MONTH!
30,862017166840823809,"Lo and behold, it's the #FunnyGirl mastermind herself, FuseEight!! Our fearless leader."
31,862016935684427776,"Drilling window holes in tortoises is all the rage now, cuz Jenni L. Holm &amp; Meghan McCarthy are doing it!"
32,862016375992315905,Who's off to the Space Oscars? Obviously it's Mackenzie Yeager &amp; Delaney Yeager. #SpaceOscars #FunnyGirl
33,862016043656650757,No one has ever looked classier riding a narwhal through space than lisabrowndraws. #FACT #FunnyGirl
34,862015724126162945,You know CeceBellBooks always wears her best gowns to ride giraffes.
35,862015506538266625,"Who WOULDN'T want to zoom through space w Deborah Underwood, lenorelook Alison DeCamp &amp; kellydipucchio?"
36,862014829988589569,"And of course a little Raina Telgemeier &amp; SophieBlackall, chilling in the moon. #FunnyGirl #FunnyMoon"
37,862014540850094082,"Then you've got Ursula Vernon, LeilaSalesBooks, libbabray &amp; Carmen Agra Deedy. #FunnyGirl #FunnyFlowers"
38,862014113089810432,Wise words from a decent man.
39,862013950619250690,"Next, one of my personal faves, Shannon Hale &amp; Adrianne Chalepah. (Green narwhal?? Amazing!) #FunnyGirl"
40,862013228016177152,"Shall we take a closer look at the beautiful insanity, hmm? Here's MitaliPerkins &amp; Christine Mari Inzer."
41,862011397466664960,"For the record, this is all true and jenniholm does live in a flying turtle piloted by meghanauthor. #FunnyGirl"
42,862004379171389441,How many hilarious authorladies can you fit in a bathtub? #FunnyGirl penguinkids lisagraff AkilahObviously
43,862002153463963649,did you know #FunnyGirl edited by FuseEight has a piece in it by AkilahObviously?!!!!!!!!!!!!!!
44,862002010438201344,Press night #funnygirl brumhippodrome Sheridansmith1 businessdeskwm bethantrolley
45,862001910424928258,I'm at the brumhippodrome to review #FunnyGirl  look out for my write up on businessdeskwm tomorrow
46,862001415098597377,We are at the brumhippodrome to review #FunnyGirl  looking forward to seeing the very talented Sheridan Smith on
47,861989648876412928,Working with hilarious women who happily send you their photos is THE FUNNEST. #FunnyGirl #PubDay penguinrandom
48,861970900694044673,MULTICOLORED FUNNY GIRLS ON SPACE CLOUDS! #FunnyGirl #AlienCloud DelaneyYeager
49,861959961861132288,Loving this space-themed montage of #FunnyGirl contributors by amyignatow! Spot anyone you know?
50,861957080672083969,Hooray! #FunnyGirl is finally here!!
51,861953024629108736,"WOMEN CAN BE BEAUTIFUL SPACE FLOWERS, TOO. #FunnyGirl UrsulaV libbabray LeilaSalesBooks"
52,861934181357694980,FUNNY GIRLS!
53,861918539699113992,"You guys, women totally can't be funny. #FunnyGirl #PubDay #SpaceMadness FuseEight"
54,861918185930543104,"Happy Pub Day to #FunnyGirl! So proud to be in this hilarious anthology:  Also, expect a lot of space madness today."
55,861906125771427840,"Must watch \""Funny Indian Girl Dancing - 2017\"""
56,861870149246365697,Sheridansmith1 Looking forward to seeing you on Saturday in #funnygirl at the brumhippodrome
57,861865086276816896,Can't wait to see Sheridansmith1 tonight brumhippodrome in FunnyGirl_UK
58,861857908765728768,VickiElleryJ Today's Sheridan Day! AAARRRRGGGGGHHHH  Roll on Funny Girl brumhippodrome later! #Sheridan
59,861833964574695424,Im a bagel on a plate full of onion rolls!
60,861812906169696257,Absolutely fantastic performance from Sheridansmith1 in #FunnyGirl at brumhippodrome   Great voice and really owned the stage. Loved it
61,861753786494312448,#Audition notice for our summer production of #FUNNYGIRL! #HemlockTheatreCo #HTC2017
62,861752355800449025,Only time I will listen...#funnygirl #wilf #writer #editing #books #bringiton
63,861733565754621952,#Role: Fanny Brice\r#Movie: Funny Girl (1968)\r#Actress: Barbra Streisand\r
64,861714740237787137,VickiMichelle21 &amp; I just saw FunnyGirl_UK staring Sheridansmith1 who was absolutely astounding as Fanny Brice. S
65,861714323881807872,I'm so cool! Make sure you are following me on musicallyapp  Sara_Darian_Dancer #musically #funnygirl #dancer
66,861702079689011200,Love being #silly
67,861697392630009858,Didn't think it was possible to love Sheridansmith1 any more. I was wrong! What an amazing performance
68,861695767198793728,Funnygirl was truly amazing! What a performance from the amazing #sheridansmith Best birthday ever!
69,861694869907099648,Privileged to see the super talented Sheridansmith1 in #funnygirl brumhippodrome Fabulous show
70,861676741907165188,Fell asleep mid paddy haha
71,861673437961609218,#FunnyGirl brumhippodrome  is just PHENOMENAL! Thanks
72,861644693184155652,My girls' sense of humour is amazing. I have face ache from laughing so much. #socheeky #funnygirl #getsitfromme
73,861643137122541568,"Again, a little Mimi Hines. A born entertainer."
74,861632383514099712,"I'm thecomedystore this Friday, May 12th, 7:30PM, Belly Room! $10 tixs, 21+, 2 drink minimum.  #comedian"
75,861627383056654336,"On my way brumhippodrome  to enjoy #FunnyGirl , thanks to BrumHour . Hubby is rediculously excited to see Sheridansmith1"
76,861625667997270016,#musical Opening night #funnygirl with sheridanhotel cannot contain my excitement!  Birmingham
77,861589394142244865,"#MondayMotivation: \""People who need people are the luckiest people in the world\"" BarbraStreisand #FunnyGirl"
78,861568243919618052,Now on sale theatre programme from FUNNY GIRL - MARLOWE THEATRE CANTERBURY - NATASHA BARNES - DARIUS CAMPBELL
79,861567002707623938,Retweeted Made You Smile (wemadeyousmile):Look at this on eBay  #funnygirl #funnylady...
80,861561002592219136,"Hi Iris Virus....My laughter dose, miss you girl!! .....#funnygirl #backstage #pout"
81,861543732642029568,"Must watch \""Funny Indian Girl Dancing - 2017\"""
82,861390528721567744,"Maybe it was just acting, but I know that secretly we all want this #funnygirl #barbrastreisand #greatestmovie"
83,861379645152874496,My sidekick today. Played with heart &amp;  spent the afternoon helping close out the tournament while entertaining our
84,861325383865696258,Birthday celebrations #someonesbirthday #turning19 #funnygirl
85,861310118016815105,Look at this on eBay
86,861247475780386816,oh them two &lt;3
87,861239678749605889,oh look how glorious Omar Sherif Looked!!!!!!
88,861238117336064000,LOL look at her go hahhah
89,861235050871914497,That one #auntie #goodmorning  #latenightearlymorning #letmeclearmythroat  #funnygirl
90,861181325046419457,"Must watch \""Funny Indian Girl Dancing - 2017\"""
91,861122294843924481,"Streisand still killing \""Don't Rain On My Parade\"" #barclayscenter #barbrastreisand #funnygirl"
92,861078588338077696,The only word that can describe how I felt here was ELATED. LeaMichele #FunnyGirl GLEEonFOX
93,861064191859470336,From watching #NHLPLAYOFFS to #CenterStage...I am a woman with many interests.
94,861051407893450754,Will I be good? Will I be bad?
95,861003689779240966,She is easily entertained lol #goldenretriever #puppy #shesthebest #loveher #goldens #funnygirl
96,860983646282534913,ShoshanaBean Something that pays homage to #fanny perhaps #FunnyGirl although I'm madly in love with
97,860957266366935041,".FunnyGirl_UK JenniMHarding marlowetheatre There'll be a review on my blog soon. In the meantime, it's back to m"
98,860956468232761345,Oh and also I bumped into DariusCampbell at the stage door: he was really brilliant as Nick Arnstein!
99,860944893056880644,One of the #FunnyGirl evening gowns worn by #BarbraStreisand is on display at #TheGreatMovieRide at #DHS. Don't rain on my parade!
100,860921152046157824,A two-show fanny has never brought me more pleasure;)
101,860898198256328704,AshleighHarvey7 you were beautiful in FugardTheatre's #FunnyGirl. Such GUTS and vulnerability in your performance! Thank you
102,860884315491749888,Tribeca BarbraStreisand the best movie!! #FunnyGirl #Babs #DontRainOnMyParade #IGottaFlyOnceIGottaTryOnce
103,860882544178450432,Now that I got through it without crying for my grandpa I can't stop watching
104,860870945225023488,this lady! Beautiful &amp; Funny
105,860867465546317825,#funnygirl #queenie #ariel #disneyprincess #disney #tiara  Brighton Festival
106,860818966398324736,"Must watch \""Funny Indian Girl Dancing - 2017\"""
107,860658459984965635,Next Tuesday 9pm Karma Lounge. #funnygirl #standup #comedy #lol #funny #freeshow  Karma Lounge
108,860645421936386050,Theatre..... #highsociety #view. #cantbuythis #likeforlike #showstopper #funnygirl
109,860641711957172224,Jordan being a good
110,860634493828435969,"If I find myself at an aquarium again, I plan on accidentally falling in. You have been fair warned"
111,860559096306479104,#barbrastreisand #dontrainonmyparade #people #funnygirl  NYCB Live
112,860540123724877824,MissKatiePrice Lol oh Katie ur so funi. I get ur humor  love ya
113,860532501529473027,Looking forward to seeing this with the Mother in a few weeks time mayflower Sheridansmith1  #motherdaughter
114,860527897970397185,Looking forward to seeing natashajbarnes in FunnyGirl_UK today
115,860496390727897089,To celebrate ALL MY NEW MAY-RELEASE BOOKS (#GreatTreehouseWar #FunnyGirl #ClatterOfJars pb) I'm giving away stuff all month! Stay tuned!!
116,860490205941440512,TODAYshow TheEllenShow MLauer Ellen is the real deal. She's so inspiring.
117,860456570198601728,"Must watch \""Funny Indian Girl Dancing - 2017\"""
118,860270913102786561,A view from seat L28.
119,860195525169225728,"What's so damn funny, girl? #funnygirl #allsmiles #ilivetolaugh"
120,860191250594410496,Sometimes I get dressed....
121,860138971128639490,#photooftheday #sideeye Kayla is going to be #famous for her infamous #impersonation #funnypic #funnygirl #funny #
122,860094192395190273,"Must watch \""Funny Indian Girl Dancing - 2017\"""
123,860067978058096640,Mother City Acting Up! | Live on Stage  contributions from TheatreSceneCpt TheFugard
124,859772467602214912,Our fashionista #lina #crazyreceptionist #eshkloveshair #funnygirl #shehasperfectskin #eshk #eshkhair
125,859731800196886528,"Must watch \""Funny Indian Girl Dancing - 2017\"""
126,859711458472591360,Just one of the glowing reviews for
127,859686848112799745,I was born to play this role...... #funnygirl #fannybrice #hellogorgeous #followyourdreams
128,859639616407818241,Still watching #FunnyGirl just to get to Bed.
129,859632974752612352,My Fav Song
130,859624698086391809,Violet loves being Rapunzel! #funnygirl #rapunzel #tangled #disney #disneylove #doglover #dogmom
131,859583281897103360,I'm watching #Funnygirl on #Hulu tonight.  She's like Buttah.
132,859541643556466688,Fab Show FunnyGirl_UK &amp; natashajbarnes outstanding a well deserved standing ovation marlowetheatre #funnygirl
