,tweet_id,text
0,862363734613872640,"RT FastFurious: Congratulations to #Furious7 for winning Favorite Collaboration for \""See You Again\"" - Wiz Khalifa"
1,862347301989359616,RT GuiltyMovieGuys: 75% isn't that guilty... but we've bent the rules several times before #Furious7 has a 79% afterall... &amp; in light of r\u2026
2,862317267140440066,RT Furious8Movie: ''No matter where you are... You'll always be with me. And you'll always be my brother.''
3,862281069088976896,"RT Variety: Box office: #Furious7 outruns \""Paul Blart 2,\"" \""Unfriended\"""
4,862250149174800384,Watch Furious 7 (2015) Free Online \nLink:  \n
5,862236529917403136,RT MikeOBrienXOXO: This group of friends have killed thousands of humans.
6,862226897719218176,RT MikeOBrienXOXO: This group of friends have killed thousands of humans.
7,862214799991738368,"Finishing #Furious7 this morning and I've started bubbling already at Brian saying goodbye to Mia. I know he survives, but poor Paul Walker."
8,862212218082934785,Paul w running up the bus as it went over the cliff is genuinely the coolest thing I've ever seen.
9,862210003830054912,This group of friends have killed thousands of humans.
10,862208444102725632,Can parachutes stop cars that are falling from the sky? Asking for a friend. He's a mumbling idiot named vin diesel.
11,862205539031293952,Vin diesel just basically admitted he's got a side deal with corona during all these.
12,862197722656292864,Just started 7. Saw both Ronda rousey and Kurt Russell in the opening credits. We are blessed. #Furious7. PS Letty still got amnesia \ud83d\ude22
13,862197586140086272,75% isn't that guilty... but we've bent the rules several times before #Furious7 has a 79% afterall... &amp; in light o\u2026
14,862175314209669120,"How the hell is \""Kiss Jack for me\"" a less of a goodbye than an \""I love you\""???"
15,862137638043750404,RT madison_marrie: \u201cRealPaulWalker: Family is forever... #Furious7 - #TeamPW\n omgggg\ud83d\ude0d\ud83d\ude0d\ud83d\ude0d\ud83d\ude29\ud83d\ude29\ud83d\ude29
16,862113774609858564,Furious 7 (2015) Full Movie HD\nDownload Now:
17,862082807669153796,"\""Did you bring the Calvary?\"" \""Woman, I am the Calvary!\"" Rewatching #Furious7 and the Rock just cracks me up! Love his line most of all! \ud83d\ude0b\ud83d\ude0b\ud83d\ude0b\ud83d\ude0b"
18,862076097390944257,"Today's choice: \""Furious Seven\"". #HollywoodCiak\n#FuriousSeven\n#FastAndFurious7 #Furious7\u2026"
19,862037886757109766,TheRock Hey after watching #Furious7 for the 20th time. I noticed when you were in the hospital you were watching highlights of yourself \ud83d\udc4d\ud83c\udffb
20,861886693099614209,"Netflix knows the way to a girl's heart. #Furious7 recently added. It's 2015, I'm nearly caught up. Let's go. Ride or die, remember?"
21,861789030232588288,"\""YOU CAN'T TELL SOMEONE THEY LOVE YOU\"" - DT"
22,861729450257522690,Furious 7 (2015) Watch FREE Online\nVidimovie Link:
23,861708561864421381,"Due to his commitments to #Parker, Jason Statham couldn't accept a role in #FastAndFurious6 but went on to play Dec\u2026"
24,861696409732603904,RT legcoug29: KING5Evening He was good in #Furious7 #Furi&amp; #fateofthefurious too!
25,861634777312628736,RT RealPaulWalker: #Furious7 Super Bowl spot is just a day away. Check out Paul getting his stunt on!  - #TeamPW htt\u2026
26,861634704713363456,RT RealPaulWalker: #Furious7 is just 7 days away! Reminisce with NYTimes on Paul's career highlights:  - #TeamPW ht\u2026
27,861634580968857604,RT RealPaulWalker: #Furious7 is out on Digital HD today. What scene will you watch on repeat?  - #TeamPW\n
28,861612178373308418,One of us is bound to #CRAWL under the others skin.\nDragon Age: Space Edition - #MassEffectAndromeda\nGotta go fast\u2026
29,861558490346786816,RT OGDarKShoT: From were it started in 2001 to were it finished off in 2015
30,861534905515347968,Watch Furious 7 (2015) on Flixano\nStart Free Trial:
31,861525318338830337,RT Wezeepipes: Just put that on my weekend to do list
32,861462218986094592,Furious 7 (2015) Download Full Movie HD\nDownload Link:
33,861398345826410496,Did they bring some of the old characters back for this one?!
34,861395750323965954,Finally about to watch #Furious7 ....
35,861312531134128130,RT three_cube: How I Would Build the God's Eye from Furious 7 #godseye #furious7 #surveillancestate #cybersecurity\n\n
