,tweet_id,text
0,862363618515582980,"RT nationallampoon: I\u2019m the #Ghost of a Non-Energy Efficient Home, and I Can\u2019t Haunt This House for Shit ~ by TheyBredRaptors"
1,862363028276350976,15% Off The
2,862362903927820288,#dog #lovers here is #ghost #pug\n#follow #retweet #youtube #subscribe #pugs #dogs #funny 7\n
3,862362851314466828,RT PoliticsGhost: #JamesComey boards private jet moments after being fired by POTUS. Who's paying for that plane?
4,862361382997692416,"RT JGrabietz70: \ud83d\udd0a\ud83c\udfb8\u26a1\ufe0f\ud83c\uddeb\ud83c\uddf7\nA #Ritual\n#No1 #ghost #metalcore by beyondtheStyx.\nBeyond The Styx - \""SanctuarINK\"" Official Music Video"
5,862361359937282048,RT ClaraZaynn: What is the secret of Rm.1426? The Passionate Possession in Room 1426 #erotic #LPRTG #Erotic #ghost #SSRTG #EARTG\n
6,862360371541278722,#dog #lovers here is #ghost #pug\n#follow #retweet #youtube #subscribe #pugs #dogs #funny 6\n
7,862359767452274688,"RT nationallampoon: I\u2019m the #Ghost of a Non-Energy Efficient Home, and I Can\u2019t Haunt This House for Shit ~ by TheyBredRaptors"
8,862359393035268100,"RT nationallampoon: I\u2019m the #Ghost of a Non-Energy Efficient Home, and I Can\u2019t Haunt This House for Shit ~ by TheyBredRaptors"
9,862359384390860802,"\""Ghost On Sunset Strip\"" by The Suicide Machines"
10,862359325288923152,"RT nationallampoon: I\u2019m the #Ghost of a Non-Energy Efficient Home, and I Can\u2019t Haunt This House for Shit ~ by TheyBredRaptors"
11,862359192421773312,"RT nationallampoon: I\u2019m the #Ghost of a Non-Energy Efficient Home, and I Can\u2019t Haunt This House for Shit ~ by TheyBredRaptors"
12,862358848434315265,"RT nationallampoon: I\u2019m the #Ghost of a Non-Energy Efficient Home, and I Can\u2019t Haunt This House for Shit ~ by TheyBredRaptors"
13,862358799566462976,"RT nationallampoon: I\u2019m the #Ghost of a Non-Energy Efficient Home, and I Can\u2019t Haunt This House for Shit ~ by TheyBredRaptors"
14,862358431096868865,"RT nationallampoon: I\u2019m the #Ghost of a Non-Energy Efficient Home, and I Can\u2019t Haunt This House for Shit ~ by TheyBredRaptors"
15,862358418052587524,RT YZER_Motors: Perfect collection of chrome-blue \ud83d\udc99\ud83d\udc99\ud83d\udc99\n#bentley #bugatti #rollsroyce\n#yzer #yzermotors #continental #veyron #wraith #ghost\u2026
16,862358396380598273,RT YZER_Motors: Which one would you choose? \n#ferrari #mercedes #G63 #bentley #bentayga #rollsroyce #ghost\n
17,862358379095744512,"RT nationallampoon: I\u2019m the #Ghost of a Non-Energy Efficient Home, and I Can\u2019t Haunt This House for Shit ~ by TheyBredRaptors"
18,862358378605150209,"RT nationallampoon: I\u2019m the #Ghost of a Non-Energy Efficient Home, and I Can\u2019t Haunt This House for Shit ~ by TheyBredRaptors"
19,862358141626982400,"I\u2019m the #Ghost of a Non-Energy Efficient Home, and I Can\u2019t Haunt This House for Shit ~ by TheyBredRaptors\u2026"
20,862357857135710208,#dog #lovers here is #ghost #pug\n#follow #retweet #youtube #subscribe #pugs #dogs #funny 5\n
21,862357744388628480,RT PoliticsGhost: Exchange in Japan to offer interest payments on #Bitcoin! The future of #cryptocurrency is NOW!
22,862357726193647616,JohnRSee mooneychan It was such a boring presentation wasn't it?? Cc
23,862357622586044420,RT iloveweirdtweet: Anyone else see a ghost flexing its muscles? \ud83d\udc7b
24,862357601429757953,Mother's Day SALE! Get Paranormal - Gamasutra
25,862357177746501632,RT JonAustinjourn1: #Paranormal investigator claims he filmed this in his home after setting 'black eyed' #ghost trap:\n
26,862356289090985984,RT iloveweirdtweet: Anyone else see a ghost flexing its muscles? \ud83d\udc7b
27,862356030889615362,"Have you got a #Ghost #Story you would like to share? DM or EMail me so I can add it to my website, thanks :)"
28,862355333842440192,#dog #lovers here is #ghost #pug\n#follow #retweet #youtube #subscribe #pugs #dogs #funny 4\n
29,862355227193868289,RT JonAustinjourn1: #Paranormal investigator claims he filmed this in his home after setting 'black eyed' #ghost trap:\n
30,862355110327975941,RT iloveweirdtweet: Anyone else see a ghost flexing its muscles? \ud83d\udc7b
31,862354676997648384,Downloaded all the old therealstylesp last night - refreshed my mind brought me back to those days.. Salute to the OG
32,862354078055055361,RT photo_wiker: The #Ghost of Rosalie Moller\n\n
33,862353747124637697,At the gym and I noticed I am scratched by a ghostcat?\ud83e\udd14 #donthaveacat #ghost #scratch #earlyhalloween #creep\u2026
34,862352871563689985,#dog #lovers here is #ghost #pug\n#follow #retweet #youtube #subscribe #pugs #dogs #funny 3\n
35,862352797060268034,"Curious is best selling, content-focused &amp; easy to set up #Ghost theme for writers -&gt;"
36,862351565226745857,Sometimes you should say no to a dare.\n~Truth or Dare~\n
37,862351553700786180,Why did that guy you're dating #Ghost? He probably did you a favor!
38,862351401023938562,RT NLGidsLonden: Fab \ud83d\udc7b tour with KaggyGol. #lovelondon #ghost  #charity  Ghost sightings not guaranteed! #20in20 #\u2026
39,862351134211682304,RT ProsserMorgan: Going to watch #ghost Andventures now ##love it Zak_Bagans so fine
40,862350819122872321,RT RobZombie: Tonight! Come on down! #robzombie #ghost #porto alegre
41,862350693029601280,Check Out The Cavanaugh House By Elizabeth Meyette # Mystery #Giveaway #Ghost #Romance #haunted via CinnamonHollow
42,862350594413146112,RT iloveweirdtweet: This pebble looks like a ghost \ud83d\udc7b
43,862350290305114112,#dog #lovers here is #ghost #pug\n#follow #retweet #youtube #subscribe #pugs #dogs #funny 2\n
44,862350213897482240,How have I not found POWER before now
45,862350091990048768,RT PoliticsGhost: #JamesComey boards private jet moments after being fired by POTUS. Who's paying for that plane?
46,862348564906823684,RT garwar2010: #dog #lovers here is #ghost #pug\n#follow #retweet #youtube #subscribe #pugs #dogs #funny 1\n
47,862347768790228992,#dog #lovers here is #ghost #pug\n#follow #retweet #youtube #subscribe #pugs #dogs #funny 1\n
48,862346909939314688,RT RobZombie: Tonight! Come on down! #robzombie #ghost #porto alegre
49,862346755177758720,Visit Our Store! (click the link)
50,862346465468981249,Real UFO With Aliens Caught On Camera | UFO Sightings - #scaryvideos# #DevilVideos #Ghost #GhostAdventures -\u2026
51,862346291031834625,"RT MadeleineRosca: Rise From Ashes, updated weekly!"
52,862346284404953088,RT lyndondraws: Working on commissions. theGHOSTISLAND \n#illustrator #illustration #comics #commissions #drawing #pencil #ghost #sketch h\u2026
53,862346194139439104,"RT MadeleineRosca: Rise From Ashes, updated weekly!"
54,862346094780526592,RT dadriverspain: Ghost \n#dadriver\n#RollsRoyce #Ghost \nrollsroycecars
55,862346081635414016,"Rise From Ashes, updated weekly!"
56,862345917646520321,RT RavennaYoung: How foolish they had been...never for a\nsecond considering...
57,862345903667064832,Impress your friends with Magenta #Ghost #Invitation  unique
58,862343355614810115,"RT RobertDaws: Never miss out on upcoming news, books and even a #free #eBook  #fiction #crime #thriller #ghost #st\u2026"
59,862343308999348225,RT PoliticsGhost: Exchange in Japan to offer interest payments on #Bitcoin! The future of #cryptocurrency is NOW!
60,862341817299120129,\u3010ShibuyaHalloween \u3011
61,862341795480563712,More #Oilers nicknames:\nKlefBom #rock\nLarrson #hardplace\n(Don't get caught between them)\nTalbot #thewall\nMaroon #bigrig\nEberle
62,862340958054109184,Scared by ghosts? Then don\u2019t read NIGHT OF THE SHADE!\n\n
63,862340452195946496,RT AMZ0NE MAGEL'S DAUGHTER. A  darkly humorous #ghost story.  \u27a1
64,862338398580862977,RT MikeRicksecker: The new ENCOUNTERS WITH THE PARANORMAL: VOLUME 2! Almost Everyone Has A #Ghost\rStory.
65,862338379064770560,RT pjb0025: I felt something touch my leg but i looked down and nothing was there #ghost #isnorthhaunted?! \ud83e\udd24
66,862338048822042625,"RT PoliticsGhost: Your \""man of the People!\"" The psychopathic, soulless bureaucrat BarackObama!"
