,tweet_id,text
0,862355318784761857,You can't make this stuff up.
1,862355158436503552,RT TFAW: It's #NCBD! Pick up the silly IDWPublishing #Ghostbusters #FunkoPOP issue!
2,862354945751830530,It's #NCBD! Pick up the silly IDWPublishing #Ghostbusters #FunkoPOP issue!
3,862352214739869696,"RT MesozoicMuse: There is no Dana, only Zuul! ROMPalaeo"
4,862349963208118272,#LOL Trump the Carpathian
5,862348734788653056,It's #nerdwednesday with a bunch of new series including a new #Funko #Pop #Ghostbusters one-shot and #MisfitCity (\u2026
6,862348690194878464,RT BruceMemes: Better keep a good grip on that pencil.
7,862348636335869952,"RT TeenyTinyCanvas: #vigothecarpathian #minicanvas\n#ghostbusters #ghostbusters2  #venkman #slimer #vigo #collectibles\nGet yours, here!\nhtt\u2026"
8,862345653397196800,RT paleeoguy: THERE IS NO DINO ONLY ZUUL! \n\nBRAND NEW genus of #ankylosaur named for infamous servant of #Gozer! #Ghostbusters \n\n
9,862343972303327236,RT Russellsbitch: #Ghostbusters #KeithAndPaddy this Sat! 9.20pm ITV \ud83d\udc7b\ud83c\udfa5\ud83c\udfac\ud83d\udc7b\ud83c\udfa5\ud83c\udfac lemontwittor LeighFrancis PaddyMcGuinness yassssssss! Xx ht\u2026
10,862342068647206913,"RT MesozoicMuse: There is no Dana, only Zuul! ROMPalaeo"
11,862341384589647872,"RT dexshirts: Ernie Hudson, Harold Ramis, Ivan Reitman, Dan Arkroyd &amp; Bill Murray behind the scenes on"
12,862340548048297984,"RT MesozoicMuse: There is no Dana, only Zuul! ROMPalaeo"
13,862339141601767424,the found Dinozuul check it out #newdinosaur #zuul #ghostbusters \ud83d\ude24\n
14,862338850173091840,"\""What's Zuul?\"" Thanks to ROMPalaeo we know! Watch #Ghostbusters now on TheMovieNetwork TMN GO!\u2026"
15,862337174271905795,RT LadyNaturalist: VictoriaArbour DavidEvans_ROM ROMPalaeo ROMtoronto BEST. #DINOSAUR. EVER. #ghostbusters #omg #isthisreallife #there\u2026
16,862336938442993664,RT paleeoguy: THERE IS NO DINO ONLY ZUUL! \n\nBRAND NEW genus of #ankylosaur named for infamous servant of #Gozer! #Ghostbusters \n\n
17,862336642220253185,A new species of dinosaur has been discovered that bears a striking resemblance to a #Ghostbusters villain.\u2026
18,862336365115080704,"RT MesozoicMuse: There is no Dana, only Zuul! ROMPalaeo"
19,862335056873783296,"There is no Dana, only Zuul!"
20,862334969133371392,RT SonyMoviesSA: .KhanyaMkangisa Got a ghost challenge? Call the #Ghostbusters. Got a life challenge- #WhoYouGonnaCall?
21,862331879630004224,'I ain't afraid of no #ankylosaurus': #Dinosaur named after #Ghostbusters villain
22,862331511441420288,Dinosaur named for #Ghostbusters creature found in Montana 75 million years after its death  via latimes
23,862331509197484033,"RT GhostbustersNet: .IDWPublishing's #Ghostbusters #Funko Universe, illustrated by crashtesterX w/ colors by Luis Antonio Delgado, hits\u2026"
24,862330425947045889,RT paleeoguy: THERE IS NO DINO ONLY ZUUL! \n\nBRAND NEW genus of #ankylosaur named for infamous servant of #Gozer! #Ghostbusters \n\n
25,862328635197411329,#UofT and ROMtoronto scientists name new dinosaur species after #Ghostbusters villain
26,862328614934781954,New Dinosaur Named After 'Ghostbusters' Villain
27,862327280286277633,RT CCGhostbusters: Check your local comic shop today for #Ghostbusters OriginalFunko Universe from IDWPublishing! Should be a fun read!\u2026
28,862326801590308864,RT CCGhostbusters: Check your local comic shop today for #Ghostbusters OriginalFunko Universe from IDWPublishing! Should be a fun read!\u2026
29,862325445794177026,"RT dexshirts: Ernie Hudson, Harold Ramis, Ivan Reitman, Dan Arkroyd &amp; Bill Murray behind the scenes on"
30,862324355824361472,"AWESOME! New ankylosaur...ZUUL!! Congrats VictoriaArbour DavidEvans_ROM #Ghostbusters dan_aykroyd \""approved\"""
31,862322790891913217,"RT MesozoicMuse: There is no Dana, only Zuul! ROMPalaeo"
32,862322195510546433,"RT dexshirts: Ernie Hudson, Harold Ramis, Ivan Reitman, Dan Arkroyd &amp; Bill Murray behind the scenes on"
33,862320328156073985,How It Stacks  you might like it? Maybe? #whatever #oldschool #ghostbusters #80s #90s\u2026
34,862320145146032128,"RT MesozoicMuse: There is no Dana, only Zuul! ROMPalaeo"
35,862320100023697408,Check your local comic shop today for #Ghostbusters OriginalFunko Universe from IDWPublishing! Should be a fun re\u2026
36,862319733164482560,Check out our patch it's in the top row at Ghost Corps.
37,862319490004111360,RT paleeoguy: THERE IS NO DINO ONLY ZUUL! \n\nBRAND NEW genus of #ankylosaur named for infamous servant of #Gozer! #Ghostbusters \n\n
38,862318940315242497,"They names a dinosaur \""Zuul.\""\nMy life is complete."
39,862317890749562880,RT paleeoguy: THERE IS NO DINO ONLY ZUUL! \n\nBRAND NEW genus of #ankylosaur named for infamous servant of #Gozer! #Ghostbusters \n\n
40,862317755076198400,RT GBUniverseNews: A new dinosaur species has been named for #Zuul due to its striking similarities!
41,862317712609071104,RT paleeoguy: THERE IS NO DINO ONLY ZUUL! \n\nBRAND NEW genus of #ankylosaur named for infamous servant of #Gozer! #Ghostbusters \n\n
42,862314707818078213,RT paleeoguy: THERE IS NO DINO ONLY ZUUL! \n\nBRAND NEW genus of #ankylosaur named for infamous servant of #Gozer! #Ghostbusters \n\n
43,862314647277502464,"For #fossil geeks: New #dinosaur species named after #Ghostbusters villain Zuul\"""
44,862314602650116097,Awesome
45,862314527660158976,PlaymobilUK #Ghostbusters new toys
46,862312601094684673,"RT MesozoicMuse: There is no Dana, only Zuul! ROMPalaeo"
47,862311887622602752,RT paleeoguy: THERE IS NO DINO ONLY ZUUL! \n\nBRAND NEW genus of #ankylosaur named for infamous servant of #Gozer! #Ghostbusters \n\n
48,862311690641317888,RT paleeoguy: THERE IS NO DINO ONLY ZUUL! \n\nBRAND NEW genus of #ankylosaur named for infamous servant of #Gozer! #Ghostbusters \n\n
49,862311126872326145,"RT dexshirts: Ernie Hudson, Harold Ramis, Ivan Reitman, Dan Arkroyd &amp; Bill Murray behind the scenes on"
50,862310460313534465,"RT MesozoicMuse: There is no Dana, only Zuul! ROMPalaeo"
51,862309877749829632,RT LadyNaturalist: VictoriaArbour DavidEvans_ROM ROMPalaeo ROMtoronto BEST. #DINOSAUR. EVER. #ghostbusters #omg #isthisreallife #there\u2026
