,tweet_id,text
0,862355440935591936,"Tell me about it, Spud"
1,862355227969814529,RT Samandollar: What is wrong with this gender?! \n
2,862353926183682052,What is wrong with this gender?! \n
3,862353505612333061,"Forgets her at the dance, lies about his past, semi rapes her in a PUBLIC place... Sings about how miserable he is\u2026"
4,862351594351984644,HER logic: his ring = his respect \n \nHIS logic: his ring = her pussy\n\nSmh
5,862351537976291329,Did you know that #WD40 Specialist has a new line of Greases? Let us know how you use #grease on the job.\u2026
6,862349940424458244,RT biancaa0310: Blessing your timeline
7,862349499737485313,GaryMartinVox already booked #Baywatch #Grease #StarWars #Voiceovers this week! What a legend!\n
8,862348881883017216,I need a guy to explain to me how this is OK.
9,862348365153136643,Dany Zako just totally forgot about Sandy as soon as Cha Cha stared dancing with him. What a pig. \n
10,862348181539098624,Grease (1978) Download Full Movie HD\nDownload Link:
11,862346912837627905,Love an Old School Diner #HappyDays #coolkids #lunch #grease #stella #lit #workflow #foodie\u2026
12,862342338026156032,7 days of grease commences in....
13,862332405188874240,"(12 #Simple #Fixes for #Stubborn #Stains, #From #Grease to #Grass)\n \n"
14,862325774103314432,#RADIO #70s #juice Now Playing #Grease #Frankie Valli #APPS Apple  Google
15,862325668838744068,"RT QDocFilm: Don't miss allancarrmovie Sat, May 20  9pm! Dir. SchwarzJeffrey in attendance!  #AllanCarr #Grease\u2026"
16,862322483042668545,"SMShow SM,what Salient Media\""OUTRAGE\""went ByeBye when t/#unpresidented threw Dir.Comey N2t/#Grease?&amp;U r rgt,t/\""K\""Kids$.5Mil EB5Visa Auction"
17,862310112987316225,RT ChemodexLimited: View our full range of AEROSOLS on our online store here //  // #aerosol #grease #penol #wd #in\u2026
18,862309900487188480,"RT protectpipes: Prevent damage to your home and community pipes--keep #fats, #oils, #grease, and #wipes out of sinks and toilets."
19,862277902645243910,"RT hellomag: .TheLunaCinema are showing all your favourite classics, including #NottingHill, #TopGun, #Grease, #Jaws and more!"
20,862274789863456768,".TheLunaCinema are showing all your favourite classics, including #NottingHill, #TopGun, #Grease, #Jaws and more!\u2026"
21,862264589538512898,Why is it 40 da #grease out rn
22,862260944604409856,#Dirtykitchen = #Grease build up = blocked ventilation = overheating = #firerisk = invalid insurance Visit
23,862257672287997952,Sprayon T.F.E. Dry Lube S00708
24,862253929584873472,AntonioDeVecchi DanieleTaverna MutiCarla And glad you like.the pic - a rare one of me in Girly Mode for\u2026
25,862250591929630720,RT lelulovexo: Super tired. So been watching #Grease until bed time \ud83d\ude01 went to garden of the gods today. It was so pretty \ud83d\ude0d
26,862249458901422080,RT AlisonACA: Student Development #notquitethepinkladies #Grease Gloscol PeterWhite_GC nusuk Gloscol_SU
27,862241360535064580,RT AlexisLoizon: Today's mood... \ud83c\udfb6\ud83c\udfb5\ngreaselemusical #johntravolta #dannyzuko #comediemusicale #excited #blessed #Grease #mercredi #wednes\u2026
28,862235550480293889,Never know what the cause of a blockage could be. Call #MetroRod on 0800 66 88 00 for all your drainage needs\u2026
29,862231881303109634,RT AlexisLoizon: Today's mood... \ud83c\udfb6\ud83c\udfb5\ngreaselemusical #johntravolta #dannyzuko #comediemusicale #excited #blessed #Grease #mercredi #wednes\u2026
30,862229700298539008,RT AlexisLoizon: Today's mood... \ud83c\udfb6\ud83c\udfb5\ngreaselemusical #johntravolta #dannyzuko #comediemusicale #excited #blessed #Grease #mercredi #wednes\u2026
31,862226276945457152,RT AlexisLoizon: Today's mood... \ud83c\udfb6\ud83c\udfb5\ngreaselemusical #johntravolta #dannyzuko #comediemusicale #excited #blessed #Grease #mercredi #wednes\u2026
32,862226239242854400,Today's mood... \ud83c\udfb6\ud83c\udfb5\ngreaselemusical #johntravolta #dannyzuko #comediemusicale #excited #blessed #Grease #mercredi\u2026
33,862225013130182656,RT lelulovexo: Super tired. So been watching #Grease until bed time \ud83d\ude01 went to garden of the gods today. It was so pretty \ud83d\ude0d
34,862206358850072578,"#ayrshire #Wednesday\n10am #preschool #fitness Hamilton, South\n1.15 #zumbini RAPA Glasgow\n3pm #grease Stewarton..."
35,862205164899512321,I just realized High School Musical is just my generation's version of Grease.
36,862194485333307393,RT lelulovexo: Super tired. So been watching #Grease until bed time \ud83d\ude01 went to garden of the gods today. It was so pretty \ud83d\ude0d
37,862194394681585668,Super tired. So been watching #Grease until bed time \ud83d\ude01 went to garden of the gods today. It was so pretty \ud83d\ude0d
38,862183929121431555,Greetings from Vegas.\u263a Also trying out my new #zenniglasses! Can I live in #grease yet?\u2026
39,862167051409833984,I can't wait to go to Santa Fe this weekend to see my girl in a role she was born to play.
40,862162433288413184,Day 09 - A movie I know pretty much every word to is #Grease - Growing up I wanted to be everything it represented\u2026
41,862152228148137984,"\""Turn in ur teasing comb and go back to high school.\"""
42,862150893189292032,"\""I had a little trouble in tinting class.\"" #Frenchy #Grease."
43,862150318695395328,"\""There's more to u than just fat.\"" #Grease. LOL."
44,862148740815007744,RT BayAlden: Just read a theory that #Grease is really the dying vision of a drowning Danny and/or Sandy. WHY YALL SO DOWN ON ANYTHING JOY\u2026
45,862148332608565249,Watching #Grease with my daughter. I forgot how much innuendo there is in it. Wow it was ahead of its time for 1979.
46,862137003097378816,\u266b Grease - Frankie Valli / Grease (Reprise) #Grease Listen now!
47,862133109499850753,"You see #dirt and #grease, I see a #hard days #work, well #night lol! #workflow! #me, I #always\u2026"
48,862132290108960768,"You see #dirt and #grease, I see a #hard days #work, well #night lol! #workflow! #me, I #always\u2026"
49,862116628078764036,simple t-shirt design
50,862115910315855872,"summer dreams, ripped at the seams\ud83c\udf34\ud83c\udf3a -\n#love #cute #summer #school #grease #sunset #sun #swimsuit #bikini #bodypos\u2026\u2026"
51,862111904420024321,Sometimes a smile says more tan words \ud83d\ude02\ud83d\ude02 \n\n
52,862102704620920832,Only 2 spots left for this event! Have you reserved your parking spot?  #airdrie\u2026
53,862101348594073600,"summer dreams, ripped at the seams\ud83c\udf34\ud83c\udf3a \n-\n#love #cute #summer #school #grease #sunset #sun #swimsuit #bikini..."
54,862101335923085312,"summer dreams, ripped at the seams\ud83c\udf34\ud83c\udf3a \n-\n#love #cute #summer #school #grease #sunset #sun\u2026"
55,862094311202205696,RT BplNorthPier: Sunset #Cinema comes to North Pier #Blackpool Fri 23/6 Fri 21/7 ! Watch #Jaws &amp; #Grease in the open air! BOOK NOW at
56,862088829397815297,That was one hell of a ride. Grease went off without a hitch. Still one more performance in July.\n#musical\u2026
