,tweet_id,text
0,862364121743806465,RT MeisterShake: Not so fast Gizmo! You're on a diet!  NECA_TOYS
1,862363003810971649,RT MeisterShake: Not so fast Gizmo! You're on a diet!  NECA_TOYS
2,862362673731833856,RT MeisterShake: Not so fast Gizmo! You're on a diet!  NECA_TOYS
3,862362097845403649,RT MeisterShake: Not so fast Gizmo! You're on a diet!  NECA_TOYS
4,862358210778451969,Not so fast Gizmo! You're on a diet!  NECA_TOYS
5,862345759542435841,RT MILTECH1: #auvsiXPO: #Gremlins in the Air; Launching &amp; Retrieving volleys of low-cost reusable #UAS  Dynetics \u2026
6,862341153026211840,RT MILTECH1: #auvsiXPO: #Gremlins in the Air; Launching &amp; Retrieving volleys of low-cost reusable #UAS  Dynetics \u2026
7,862317199184322562,RT MILTECH1: #auvsiXPO: #Gremlins in the Air; Launching &amp; Retrieving volleys of low-cost reusable #UAS  Dynetics \u2026
8,862317112949436417,RT DeadAirMovie: The cast of #DeadAirMovie needs you!\nGet volvi DavidCSchaal &amp; QuirkyDanPalmer on the plane battling
9,862314951532318723,RT DeadAirMovie: The cast of #DeadAirMovie needs you!\nGet volvi DavidCSchaal &amp; QuirkyDanPalmer on the plane battling
10,862313128369037314,RT MILTECH1: #auvsiXPO: #Gremlins in the Air; Launching &amp; Retrieving volleys of low-cost reusable #UAS  Dynetics \u2026
11,862312654010032128,"RT zwgman: Hey Giz, we're on #netflix now!  Isn't that awesome?!\n\nRT this if you'd like a proper sequel!\n\n#gremlins 3 ? #GizmoLovesYouAlwa\u2026"
12,862310545659228164,The cast of #DeadAirMovie needs you!\nGet volvi DavidCSchaal &amp; QuirkyDanPalmer on the plane battling
13,862303047090917376,RT MILTECH1: #auvsiXPO: #Gremlins in the Air; Launching &amp; Retrieving volleys of low-cost reusable #UAS  Dynetics \u2026
14,862302152592633856,#auvsiXPO: #Gremlins in the Air; Launching &amp; Retrieving volleys of low-cost reusable
15,862286961012350976,"Ok, NOW today's #writingprompt for #storyaday is working. #gremlins  SarahCain78"
16,862240388232466433,Lifesize Gremlins bust! \u00a3100. #gremlins #horror #stripe #blastfromthepastderby #derbyuk  Blast\u2026
17,862231115473408000,My handsome little dude
18,862206593362014208,RT satgallery: How to care for watercolours (and other artworks on paper)? Treat them like Gremlins.  #gremlins #mo\u2026
19,862204347396091904,RT FigurelandUK: Stock arriving tomorrow for the new NECA_TOYS #Gremlins Ultimate Gizmo! Orders can be placed.  ht\u2026
20,862200682698375168,RT BigBadToyStore: NECA #Gremlins Restocks
21,862197864574971904,Back to #80s with
22,862194581907152896,"RT DeadAirMovie: Continue your day in style, back #rockers v #gremlins at 30,000 feet in"
23,862194495907131392,"RT zwgman: Hey Giz! If you're excited that it's #MogwaiMonday, blink your eyes!\n\nRT this if you want him in the sequel!\n\n#gremlins 3 ? #Gi\u2026"
24,862169622325415939,"RT zwgman: Hey Giz! If you're excited that it's #MogwaiMonday, blink your eyes!\n\nRT this if you want him in the sequel!\n\n#gremlins 3 ? #Gi\u2026"
25,862168527402348546,Stock arriving tomorrow for the new NECA_TOYS #Gremlins Ultimate Gizmo! Orders can be placed.\u2026
26,862167619243319296,"NECA_TOYS new #Gremlins 30\"" Prop Replica created from original film used stunt puppet! Due September 2017! Pre-ord\u2026"
27,862139443087425536,I myself love the haters....we keep it #Gremlin free over here. #Gremlins troling out TL this very second
28,862134881236770817,"RT DeadAirMovie: Wanna see female #punks fight #gremlins at 30,000 feet?\nBetter back #DeadAirMovie on indiegogo right now!"
29,862117705960181760,"Director #JoeDante talks about #filmmaking, interview by HenrickVLA |"
30,862102820824141824,GalileoMoon That definitely reminds me of #gremlins the movie
31,862079799535075329,"RT zwgman: Hey Giz, we're on #netflix now!  Isn't that awesome?!\n\nRT this if you'd like a proper sequel!\n\n#gremlins 3 ? #GizmoLovesYouAlwa\u2026"
32,862078588455194624,RT DeadAirMovie: Imagine being on a flight w/ these guys.\nPoor #gremlins\n#donate DeadAirMovie pls help them to feast
33,862072863901315072,jackiebwatson williamlegate #TuesdayNightMassacre \nit's a matter of time because pissed off #republicans can be l\u2026
34,862069515655548929,RT DeadAirMovie: Surrounded by #gremlins QuirkyDanPalmer has nowhere to hide 30000ft in the air\n#donate DeadAirMovie
