,tweet_id,text
0,862375701328125954,RT neiltyson: Must allow audible space explosions in #GuardiansOfTheGalaxy because I accept the artillery-wielding bipedal talking Raccoon.
1,862375572755939329,Tried to squeeze a bit more Pratt into that Starlord sketch. #guardiansofthegalaxy #chrispratt\u2026
2,862375319113654273,RT RDJlock: Be with you
3,862375292630843392,"RT SuperheroPOLL: If you could have #Deadpool partner with a #GuardiansOfTheGalaxy character(s) in a road/space trip, buddy movie, who'd y\u2026"
4,862374733299548177,SuperWeenieHtJr its only a matter of time! #GuardiansoftheGalaxy Mission - Take out!
5,862374669156057098,davegandy What is #GuardiansOfTheGalaxy?
6,862374614579769344,RT neiltyson: Must allow audible space explosions in #GuardiansOfTheGalaxy because I accept the artillery-wielding bipedal talking Raccoon.
7,862373761391230985,Enter to win a #GuardiansOfTheGalaxy Vol.2 Prize Pack worth over $250!
8,862373584215441409,"Say no more, fam... #GuardiansOfTheGalaxy #thesovereign #donaldtrump #Trump #marvel #potus #Orange #gold #weird #J\u2026\u2026"
9,862372998182862848,"RT moviepilotnews: In the comics, Iron_Man ran with the #GuardiansOfTheGalaxy for a while AND had a fling with"
10,862372567897821189,We're All Ravagers Tonight! Here's our Guardians ...\n\n #Chris_Pratt #GuardiansOfTheGalaxy #Marvel_Studios  ...
11,862372530627026945,RT Edgyarmo: Don't be jealous. \ud83d\ude18\ud83d\ude1c #kurtrussell #guardiansofthegalaxy #jackburton #snakeplissken #captainron #wyattearp #stuntmanmike #elvi\u2026
12,862372526277767169,"Just got done seeing Guardians Vol. 2, loved it as much as the first! #guardiansofthegalaxyvol2\u2026"
13,862371760930521102,RT DailySuperHero: #Groot as seen in the #GuardiansOfTheGalaxy Vol. 2 end credits is coming soon as a #FunkoPOP figure -
14,862371683696508928,RT RDJlock: Be with you
15,862371393618542594,RT TheFwoosh: Hasbro: Guardians of the Galaxy Vol. 2 Legends Star-Lord (Long Coat)\u2026  #GuardiansoftheGalaxy #Hasbro\u2026
16,862370688958517248,RT moviepilotnews: Watch Chris prattprattpratt and DaveBautista in their #GuardiansOfTheGalaxy screen test\n\n
17,862370513515151369,'I-am-Spidergroot' idea my daughter suggested to me #jamesgunn #guardiansofthegalaxy #vindiesel\u2026
18,862370479977496588,We're counting down to Middle School Movie Night on Friday! Here we come #GuardiansoftheGalaxy Volume 2. Don't...
19,862370019878948865,Having a look at telltalegames #GuardiansOfTheGalaxy demo. So far...pretty damn good. Visuals are lush! #PS4share\u2026
20,862369156431306753,Follow gb_reviews &amp; enter for your chance to WIN the #GuardiansoftheGalaxy Giveaway! #GotGVol2 Click here to enter:
21,862369102765191169,"Coloring in progress, \n#guardiansofthegalaxy #starlord #marvel #fanart #inkart #color\u2026"
22,862368288713658368,RT BillRosemann: It exists...and it's beautiful! MarvelGames telltalegames
23,862368169683337217,Don't be jealous. \ud83d\ude18\ud83d\ude1c #kurtrussell #guardiansofthegalaxy #jackburton #snakeplissken #captainron #wyattearp\u2026
24,862368062250643456,I am....Karen Summerton \ud83d\udc3a\u2764\ud83c\udf3f\n\n#iamgroot #losangeles #guardiansofthegalaxy\u2026
25,862367694653468675,RT RDJlock: Be with you
26,862367662227283970,RT RDJlock: Be with you
27,862367442026336256,RT ToylabHQ: The final #easteregg in #GuardiansOfTheGalaxy 1 has been found and what a doozy\n\n
28,862366719129649154,"\""On the inside\"": my new design insipred by Drax of #GuardiansoftheGalaxy \ud83d\ude01\n"
29,862366694790103044,Have you seen #GotG2 yet? Here is what we thought!
30,862366488631664640,RT RDJlock: Be with you
31,862366079343099912,The final #easteregg in #GuardiansOfTheGalaxy 1 has been found and what a doozy\n\n
32,862365810899243008,RT RDJlock: Be with you
33,862365783564976131,"RT JenATX: Did anyone totally cry during #GuardiansoftheGalaxy? Yeah, me neither. \ud83d\ude33\ud83d\ude2d"
34,862365457231347715,"Peter Quill: Sometimes, the thing you've been looking for your whole life is right there beside you all along.\n"
35,862365342366138368,Have 'Hooked On a Feeling' by Blue Suede in my head right now....always reminds me of
36,862365219330437122,Retweeted Neil deGrasse Tyson (neiltyson):\n\nMust allow audible space explosions in #GuardiansOfTheGalaxy because...
37,862365202238636032,RT neiltyson: Must allow audible space explosions in #GuardiansOfTheGalaxy because I accept the artillery-wielding bipedal talking Raccoon.
38,862364488065966080,RT LucianoVecchio: All-New Star-Lord #starlord #GuardiansoftheGalaxyVol2 #GuardiansOfTheGalaxy #peterquill #allnewguardiansofthegalaxy #ma\u2026
39,862364261485604864,RT FamTable: Galaxy bark perfect for
40,862364176827564032,RT neiltyson: Must allow audible space explosions in #GuardiansOfTheGalaxy because I accept the artillery-wielding bipedal talking Raccoon.
41,862364164676878338,RT RDJlock: Be with you
42,862363799772418053,i m groot \ud83d\ude02\ud83d\ude02\ud83d\ude02\n#GuardiansOfTheGalaxy \nwatchable \ud83d\udc4d
43,862363749180637184,RT RDJlock: Be with you
44,862363736958316544,"RT SuperheroPOLL: If you could have #Deadpool partner with a #GuardiansOfTheGalaxy character(s) in a road/space trip, buddy movie, who'd y\u2026"
45,862363135629561857,"Peter Quill: Hell yeah, he's cool.\nYondu: I'm Mary Poppins, ya'll!\n"
46,862363113936617473,"RT moviepilotnews: In the comics, Iron_Man ran with the #GuardiansOfTheGalaxy for a while AND had a fling with"
47,862363047620464640,RT neiltyson: Must allow audible space explosions in #GuardiansOfTheGalaxy because I accept the artillery-wielding bipedal talking Raccoon.
48,862362974425681920,Are U
49,862362445259702276,"RT SuperheroPOLL: If you could have #Deadpool partner with a #GuardiansOfTheGalaxy character(s) in a road/space trip, buddy movie, who'd y\u2026"
50,862362313604464640,"We review #guardiansofthegalaxy \nCheck it out in itunes, stitcher or via youtube under \""Comics\u2026"
51,862362049095114752,Enter to win a #GuardiansOfTheGalaxy Vol.2 Prize Pack worth over $250!
52,862361989875728391,RT neiltyson: Must allow audible space explosions in #GuardiansOfTheGalaxy because I accept the artillery-wielding bipedal talking Raccoon.
53,862361892651749377,Drawing #Mantis from the mobile game #AvengersAcademy last night.\n
54,862361761667842051,Peter Quill: You look like Mary Poppins.\nYondu: Is he cool?\n
