,tweet_id,text
0,862319948638584832,#HarryPotterAndTheChamberOfSecrets (2002) = 8/10 Dans and 8/10 Arrons
1,861940794198032385,The vanishing cabinet &amp; necklace of opals at Borgin and Burkes first mentioned in jk_rowling's\u2026
2,861803853771091969,#HarryPotterAndTheChamberOfSecrets (2002) on #Vidimovie\nWatch Videos:
3,861791341101056002,And the marathon continues!\u26a1\ufe0f
4,861274627414380544,Stream #HarryPotterAndTheChamberOfSecrets (2002) on GeekerMovies\nWatch Now:
5,861099062602473472,Harry Potter and the Chamber of Secrets (2002) Full Movie HD\nDownload Now:
6,860916344216326151,Watch Harry Potter and the Chamber of Secrets (2002) Free Online \nLink:  \n
7,860874645737787392,"Everytime you go back, \nYou find something to chuckle about \ud83d\ude02 \n\n"
8,860698987380305926,#HarryPotterAndTheChamberOfSecrets (2002) on #Vidimovie\nWatch Videos:
9,860688266730885120,RT: Watch #HarryPotterAndTheChamberOfSecrets (2002) on Flixano\nStart Free Trial:...
10,860561215910805505,globalreadathon My book would be an owl because of all the owl letters!
11,860512208270360576,#HarryPotterAndTheChamberOfSecrets (2002) Full Movie\nDownload Link:
12,860492534988111873,Harry Potter and the Chamber of Secrets (2002) Watch Full Movie HD\nWatch Now:
13,860465967142387713,The biggest suspension of disbelief in #harrypotterandthechamberofsecrets is the idea that Hermione would tear a page out of a book.
14,860462415321866240,RT pauliemerciadez: He's practically talking to someone that wants to kill him... #creepy #harrypotterandthechamberofsecrets #harrypotter\u2026
15,860462310334144512,RT pauliemerciadez: He's practically talking to someone that wants to kill him... #creepy #harrypotterandthechamberofsecrets #harrypotter\u2026
16,860456704592322560,He's practically talking to someone that wants to kill him... #creepy #harrypotterandthechamberofsecrets\u2026
17,860412118763307008,"\""Harry Potter and the Chamber of Secrets\"" starts in an hour on 9Go!.  jk_rowling"
18,860265192164380673,#HarryPotterAndTheChamberOfSecrets read. Think I'll start #PrizonerOfAzkaban  tomorrow \n\nEasily my favourite book series. Time just flies \ud83e\udd13
19,860190885098790914,Watch #HarryPotterAndTheChamberOfSecrets (2002) on Flixano\nStart Free Trial:
20,860018959906521088,Now done with #HarryPotterAndTheChamberofSecrets audio book! Onto the next!!! #longcommutes \ud83d\ude97\ud83d\ude97\ud83d\ude97
21,859464339492937729,Watch Harry Potter and the Chamber of Secrets (2002) Free Online \nLink:  \n
