,tweet_id,text
0,862344019409596418,Stream Harry Potter and the Goblet of Fire (2005) on GeekerMovies\nWatch Now:
1,862083308150288386,#HarryPotterAndTheGobletOfFire (2005) on #Vidimovie\nWatch Videos:
2,861931017187319810,A bit of light reading to start my day. \ud83e\udd13 #harrypotterandthegobletoffire #potterhead\u2026
3,861737270696718336,I LITTERALLY cry every single time that Cedric is killed!!!
4,861633720150880256,RT Mog17: This is getting a tad boring! My child doesn't speak anymore!
5,861407429837369345,#HarryPotterAndTheGobletOfFire Book Project
6,861389454631620608,Watching #HarryPotterAndTheGobletOfFire\n
7,861369464134275078,When Wormtail drops Voldemort into the cauldron.
8,861282635372474369,This is getting a tad boring! My child doesn't speak anymore!
9,861261123189960709,Watch Harry Potter and the Goblet of Fire (2005) Free Online \nLink:  \n
10,861256101756588032,Harry Potter and the Goblet of Fire (2005) Full Movie HD\nDownload Now:
11,861211544625065987,His; hers; theirs part 3. Gotta get a big head start on
12,861179123603034114,Harry Potter and the Goblet of Fire (2005) Download Full Movie HD\nDownload Link:
13,861148788668411906,"CinemaWinner Everything great about \""#HarryPotterAndTheGobletOfFire\"":  v\u00eda YouTube"
14,860975858936418304,#HarryPotterAndTheGobletOfFire (2005) on #Vidimovie\nWatch Videos:
15,860961128477855745,Watch Harry Potter and the Goblet of Fire (2005) on Flixano\nStart Free Trial:
16,860888393286373376,Everything GREAT About #HarryPotterandTheGobletofFire! #BrendanGleeson #OutroMusic...
17,860883277015658501,RT neveroutofpuns: Voldy was the original GLO UP!!
18,860586924708376576,Robert Pattinson as Cedric Diggory is the epitome of attractiveness
19,860320732504629248,Stream Harry Potter and the Goblet of Fire (2005) on GeekerMovies\nWatch Now:
20,859858542240690176,#HarryPotterAndTheGobletOfFire (2005) on #Vidimovie\nWatch Videos:
21,859841921266712576,The twists &amp; turns. The obstacles. The riddles. The third task in #HarryPotterandtheGobletofFire was actually a Home Goods!!
22,859809115970957312,Watch Harry Potter and the Goblet of Fire (2005) Free Online \nLink:  \n
23,859414769387917312,RT neveroutofpuns: Voldy was the original GLO UP!!
24,859380398496690180,when DanRad was still cute trololol
25,859230407497314305,RT neveroutofpuns: Voldy was the original GLO UP!!
26,859230239381180416,RT neveroutofpuns: Voldy was the original GLO UP!!
27,859230026570616832,Voldy was the original GLO UP!!
28,859141065709932545,Harry Potter and the Goblet of Fire (2005) Watch Full Movie HD\nWatch Now:
