,tweet_id,text
0,862131660854349824,But I love #houseOfWax. In the new one we get to watch Paris Hilton die violently.
1,862086689015115776,My favorite scene from #HouseOfWax #horror It's also available on netflix Good watch!!!
2,861494878546612224,Strange Brew: Madame Tussauds biggest nightmare...
3,861429551871741952,Ulixee_Hilton ParisHilton I love the movie #HouseOfWax Yas
4,861389041324834817,12th Anniversary of my favorite horror movie #HouseOfWax with my fav ParisHilton
5,861277944890765312,"ParisHilton it also gave this epic #HouseOfWax reference/scene on #Supernatural with you, JensenAckles and jarpad"
6,861238054916194304,"Today is the 12 year anniversary of \""House of Wax.\"""
7,861224691272486912,"ParisHilton I love the movie, congratulations baby #houseofwax Yas"
8,861223657703698432,ParisHilton Happy 12 years anniversary of the #HouseOfWax!!
9,861192148229775360,"[VIDEO] Today is the 12 year anniversary of #HouseOfWax! Paris Hilton's iconic scene won best \""Scream Scene\"" at the"
10,861185056525737988,Read with caution ParisHilton Today is the 12 year anniversary of the #HouseOfWax Loved being a part of this film
11,861164773085523968,ParisHilton LOVE #houseofwax &lt;3
12,861158973889691648,1. ParisHilton: Today is the 12 year anniversary of the #HouseOfWax. Loved being a part of this film. I love
13,861157964291469313,Today is the 12 year anniversary of the #HouseOfWax. Loved being a part of this film. I love scary movies &amp; my dea
14,861157955886034944,Today is the 12 year anniversary of the #HouseOfWax. Loved being a part of this film. I love scary movies &amp; my dea
15,861152969198374912,12 years of #HouseOfWax   A #Halloween tradition for me  I remember when it was made on the
16,861149044193841154,Retweeted Paris Hilton (ParisHilton):Today is the 12 year anniversary of the #HouseOfWax. Loved being a part...
17,861148852543422464,Today is the 12 year anniversary of the #HouseOfWax. Loved being a part of this film. I love
18,861081693662433282,"MOVIE HISTORY: 12 years ago today, May 6, 2005, the movie 'House of Wax' opened in theaters!#HouseOfWax"
19,860765532823445504,#OTD in 2005 House of Wax was released theatrically
20,859845839392358400,#Creepybabies #wtf #horror #houseofwax #freakshow  House of Wax Bar
21,859843548828413952,After looking at this I NEED a drink. #goregasm #houseofwax #themedbar #horrorshow #horror
