,tweet_id,text
0,862372149155201028,Watching #InsideOut for the first time
1,862368118756081664,The Pitt might look a little different tonight! \ud83d\ude33\ud83d\ude2c Let's just say we are a little excited for SUMMER! \ud83d\ude0d\ud83d\ude0e\ud83d\ude4c\ud83c\udffc\u2600\ufe0f\u2026
2,862367375378796544,"RT AnthonyWatson: The #movie I Executive Produced :) #HookedProject \ud83c\udfa5, premiers May 27th at #InsideOut #Toronto #LGBT #Film Festival"
3,862365508028334080,"RT insideoutauthor: lynnthompson8 \""the plot left me guessing to the end\"" #InsideOut\n   \""The characters are all so\u2026"
4,862360673124319236,On the quest for Healthy Skin from the inside thank you janescrivner for the recipe \ud83d\ude0a\n
5,862359567828733953,"RT AnthonyWatson: The #movie I Executive Produced :) #HookedProject \ud83c\udfa5, premiers May 27th at #InsideOut #Toronto #LGBT #Film Festival"
6,862358971926978560,"The #movie I Executive Produced :) #HookedProject \ud83c\udfa5, premiers May 27th at #InsideOut #Toronto #LGBT #Film Festival"
7,862348757471567873,RT JohnCenaVines: Thinking about JOHN CENA
8,862348292390342656,Spring has sprung &amp; we're busy prepping for new #InSideOut partnerships &amp; events. Get the latest from JoeEhrmann76\u2026
9,862340331030929408,Do you want to grow in love? Me too! Here's how.
10,862337620638126080,Your brain live in Na na land Land \ud83d\ude4f\ud83c\udffb\ud83d\ude02\n\n#distracted #animation #studying #insideout #brain #9gag\u2026
11,862335211677167617,samofsorts Thks 4 the LIKE  I now have a fantastic video to promote my novel #Insideout   please ck it out
12,862334806599680000,"AbileneVegeta \""something different to what I\u2019ve read before\"" #Insideout\n   \""My favorite end\u2026"
13,862334460989014016,"elena_bowes \""something different to what I\u2019ve read before\"" #Insideout \n  \""My favorite endin\u2026"
14,862334051734048768,"outfortune \""something different to what I\u2019ve read before\"" #Insideout\n   \""My favorite ending\u2026"
15,862332956395929600,RT juryscardiff: Booking a ticket? Why not make a weekend out of it and stay with juryscardiff  #insideout #festiv\u2026
16,862316031607492608,\ud83d\udd0ayour brain lives in Na Na land.\nFollow 9gag\n-\n-\n\ud83d\udcf9johnroderickpaine\n-\n#9gag\n#brain #studying #relatable #distracted\u2026
17,862309196662005765,Everything you need from
18,862309017552642049,Laugh &amp; smile. Dance &amp; be positively disruptive. Assert your energy from the #insideout.\n\n
19,862308112308592642,Watch Inside Out (2015) Free Online \nLink:  \n
20,862295409389170689,RT juryscardiff: Booking a ticket? Why not make a weekend out of it and stay with juryscardiff  #insideout #festiv\u2026
21,862292588006658052,RT sarahllelogram: Nothing like a morning cry to make the day better
22,862292525142474753,Nothing like a morning cry to make the day better
23,862286576918962176,RT mentalmarketer: I'd argue #employeejourney is a must do before even #customerjourney ; #insideout is clearly where execution gaps lie.\u2026
24,862286462720585728,#You decide 'why' it happened; #choose a #why that #serves you. #consciousevolution #insideout #spirituality\u2026
25,862276836155428864,RT mentalmarketer: I'd argue #employeejourney is a must do before even #customerjourney ; #insideout is clearly where execution gaps lie.\u2026
26,862274555108306944,RT juryscardiff: Booking a ticket? Why not make a weekend out of it and stay with juryscardiff  #insideout #festiv\u2026
27,862271932699430913,#WomanCrushWednesday LindaThompsonLT #TheRealJenner #76 When America Was Beautiful #InsideOut\u2026
28,862271552565297153,Just watched #InsideOut Such a wonderful film!!! I think my joy need to hurry up to headquarters(Lol)\ud83d\ude02\ud83d\ude02
29,862269754589007873,RT juryscardiff: Booking a ticket? Why not make a weekend out of it and stay with juryscardiff  #insideout #festiv\u2026
30,862267018774548480,RT MummyFever: 5 approaches to #skincare  #insideout LQLiquidHealth
31,862265416705609728,RT juryscardiff: Booking a ticket? Why not make a weekend out of it and stay with juryscardiff  #insideout #festiv\u2026
32,862265283515473921,RT juryscardiff: Booking a ticket? Why not make a weekend out of it and stay with juryscardiff  #insideout #festiv\u2026
33,862265246530121728,Nothing is hidden from him who overcomes himself. \n
34,862261422247510016,Booking a ticket? Why not make a weekend out of it and stay with juryscardiff  #insideout\u2026
35,862245630189686784,Paul Gascoigne: Macho players must tackle mental health issues' | via telegraph  Understand Yr MentalLife
36,862239672776503296,RT TruSparticus: 4 out of the 5 emotions in #insideout are from NBC. amypoehler__ haderonline mindykaling
37,862239228486311936,I need to get in side
38,862227132281495552,Celebration
39,862193340913131520,Filter out #outsidein #trends don't suffer #analysisparalysis instead focus #insideout #CX and take small bites
40,862193056392519680,I'd argue #employeejourney is a must do before even #customerjourney ; #insideout is clearly where execution gaps lie.
41,862184964300972033,"If 1Queenlegs personality equals her looks, then she'll reach #sainthood by next week."
42,862181547314642944,Colourful brush strokes on wheel thrown bowl silkyshapes \n.\n#instyle #insideout #interior\u2026
43,862178168169541632,Watch Inside Out (2015) on #NowTV (14-Day Free Trial)\nGo watch it:
44,862169297786982400,Inside | Out
45,862154048807596032,RT raisingwhasians: From the Archives:: Free Disney Pixar Inside Out Holiday Printables
46,862152806408388609,From the Archives:: Free Disney Pixar Inside Out Holiday Printables
47,862134241504641024,"samofsorts \""This novel is as heartfelt as it is daring, nothing short of exciting\"" 5* #Insideout\u2026"
48,862133900377694208,"BSCorbettLLC \""This novel is as heartfelt as it is daring, nothing short of exciting\"" 5* #Insideout\u2026"
49,862130887567319040,RT JailChap: This has been so good\n
50,862123910644498432,RT JailChap: This has been so good\n
51,862120163369463812,This has been so good\n
52,862093364551983106,Flicks of different colours on this white wheel thrown cup silkyshapes \n.\n#interior #insideout\u2026
53,862091160256380928,5 approaches to #skincare  #insideout LQLiquidHealth
54,862067233639583744,A fresh #cosplay for
55,862064931423780866,A fresh #cosplay for
56,862044582602833923,#NowPlaying #InsideOut de The Chainsmokers \u266b
57,862044202959589377,RT TheJustGroupOrg: Another brilliant day with NorthLivAcademy today thanks so much for being so welcoming as a school \ud83d\ude4c\ud83c\udffc #insideout #Hat\u2026
58,862037044012437505,#truth #insideout #insideoutunderstanding \u30c4 Trying to Separate Yourself from Negative People? Read This
59,862036397074505728,"Twee, but if it reminds me of a great Pixar movie, I\u2019m good with it. #learnfromeverything #insideout\n\n(Via\u2026"
60,862034943538548736,Watch #OscarWinners PeteDocter &amp; #JonasRivera discuss Mystery of #Emotions &amp; #InsideOut VIDEO  via AutismGuardianA
61,862034943479828480,Watch #OscarWinners PeteDocter &amp; #JonasRivera discuss Mystery of #Emotions &amp; #InsideOut VIDEO  via AutismGuardianA
62,862029735102210048,Violence and natural disasters mean greater potential for communicable diseases. Which ones? Learn from #InsideOut\u2026
63,862029728441663489,RT vinnieandco: Got the inside out ear thing going on here
64,862023319486201856,"TLLGangsterBook \""A gem from a gifted writer\"" 5* AmzUK #InsideOut\n  \""A Gritty Look at Injust\u2026"
65,862022746292707328,SaVonniYestanti Thks 4 the LIKE I now have a fantastic video to promote my novel #Insideout   please ck it out
66,862021790771499008,"ravichahar27 \""the plot left me guessing to the end\"" #InsideOut \n  \""The characters are all s\u2026"
67,862021521568485376,"BooksBeerBgfoot \""the plot left me guessing to the end\"" #InsideOut \n  \""The characters are al\u2026"
68,862021178671616000,"RealDrewTolbert \""the plot left me guessing to the end\"" #InsideOut\n   \""The characters are al\u2026"
69,862020896130686976,"DrJamesFrazee \""the plot left me guessing to the end\"" #InsideOut \n  \""The characters are all\u2026"
70,862020636197048320,"arisytner \""the plot left me guessing to the end\"" 5* #InsideOut   \""The characters are all so\u2026"
71,862020329987653632,"grammaticartist \""the plot left me guessing to the end\"" 5* #InsideOut \n  \""The characters are\u2026"
72,862019946825396226,"lynnthompson8 \""the plot left me guessing to the end\"" #InsideOut\n   \""The characters are all\u2026"
73,862019226135134208,What if feelings had feelings #disgust #sadness #anger #fear #insideout themoodcards via moodcards
74,862016763831107585,Chocolate time!! \ud83c\udf6b #yummy #milkshake #farm #chocolate #eeuu #sadness #insideout #vscocam\u2026
75,862013759052820480,MomTalkRadio popsecret #insideout party snack! #disneykids MomSelectLiz
76,862012629027627008,"\""Inside Out\"" by Ellie Lawson  #InsideOut #EllieLawson Lyrics RT\u21ba"
77,861980372669804544,Not quite enough rainbow power...
78,861969177623625729,Realization is the awareness and inner knowing that my prayers will be answered.
79,861966711091867648,RT OrchardEnt: We're bringing you #InsideOut w/ headliner AnnieMac at Bute Park on the 30th of Sept. Tix:
80,861966233704464384,RT OrchardEnt: We're bringing you #InsideOut w/ headliner AnnieMac at Bute Park on the 30th of Sept. Tix:
81,861959485170102272,RT andreajoymusic: Wonderful times in Toronto at the Ignite Conference at Harvest Christian Church. Miss it already. \ud83d\udc9c #insideout #toronto\u2026
82,861944743147827201,RT tebogo_mere: PraiseMakhubele bushiri_m I'm Obsessed with her beauty!!!
83,861941345639968768,Accidental #disneybound is my favorite kind. Looking' like Joy \ud83d\udc81\ud83c\udffc#insideout #feelingood  AMLI\u2026
84,861930966083829760,The #listeningPost is space held in coffee shops and public spaces by coaches for the public
85,861927552465739777,SPIRIT or FLESH ruled? Romans 8. #LivingFromtheInsideOut.
86,861920818821046272,#Thoughts underlie #emotions: Do your #beliefs serve you? #consciousevolution #insideout #spirituality #namast\u00e9
87,861918075708469248,Disgust
88,861917052625330177,Frozen Songs Bingo Song with Elsa by Kids Songs
89,861890587125047297,RT ella084: Watching #insideout with a friend. Turns out the aim isn't to point out every Psychological accuracy. Love all the effort put\u2026
90,861890103354044416,RT vinnieandco: Got the inside out ear thing going on here
91,861886361934213121,#insideout #2017\u2728 Checkout my understanding of Art in a conversation in #spain\ud83c\uddea\ud83c\uddf8 #DanceArtBCN \u270c\ud83c\udffe\ufe0f\ud83c\udf1f
92,861885943732731905,Everything you need from
93,861877167080210432,Realise that your revved up state of mind is not caused by a lack of time. It's caused by how you're thinking about time.
94,861855589835689984,RT vinnieandco: Got the inside out ear thing going on here
95,861828116934778880,RT paulinescott222: This chart is great never seen before. A wonderful film thats helpful for all ages 2 understand #emotions #insideout #\u2026
96,861826842411622400,First the Hawaiians then San Franciscans
97,861824794836299776,This chart is great never seen before. A wonderful film thats helpful for all ages 2 understand #emotions\u2026
98,861806217085276160,"Inside Out (2015) on #Vidimovie\nTrailers, Clips &amp; Reviews:"
99,861791446155833345,I bet when they made my emotion people in my head they made a few extra angry people
