,tweet_id,text
0,862350940728434692,"jimrome 'Coach McElwain, you're going to need a bigger alibi.\"" - Sheriff Martin Brody \ud83e\udd88 #Jaws - Allen in Manitoba, Twitter fisherman"
1,862348332257214464,Almost losing the tail on a cutback at #jaws Photo: jimmie4art neilprydewind jp_australia_com mysticboarding...
2,862346580338364419,Today's scores compliments of #supertunes in #westmount #yeg #moviemadness #jaws #chuckberry\u2026
3,862345620455030785,RT rj_paterson: Gunna Need a Bigger Boat! Im going to have these 18x24 #screenprinted #jaws maps at thedrakehotel Thursday Night #illustr\u2026
4,862345392020758528,Gunna Need a Bigger Boat! Im going to have these 18x24 #screenprinted #jaws maps at thedrakehotel Thursday Night\u2026
5,862345266787221504,RT robotnicc: #tunatuesday 06:  We're gonna need a bigger boat! \ud83d\udea3
6,862345164030787584,"#ClimateChangeIn5Words \""gonna need a bigger boat.\"""
7,862344889945739265,RT LASTEXITshirts: RT for the chance to WIN this #Jaws inspired baseball shirt before we release it. View all our baseball shirts here: ht\u2026
8,862340765829263361,RT robotnicc: #tunatuesday 06:  We're gonna need a bigger boat! \ud83d\udea3
9,862339993251008513,RT robotnicc: #tunatuesday 06:  We're gonna need a bigger boat! \ud83d\udea3
10,862329652441784324,RT robotnicc: #tunatuesday 06:  We're gonna need a bigger boat! \ud83d\udea3
11,862329570644676609,RT robotnicc: #tunatuesday 06:  We're gonna need a bigger boat! \ud83d\udea3
12,862329510884237316,Riding the #Bonecrushers at
13,862328143633416193,RT robotnicc: #tunatuesday 06:  We're gonna need a bigger boat! \ud83d\udea3
14,862327769744670720,RT robotnicc: #tunatuesday 06:  We're gonna need a bigger boat! \ud83d\udea3
15,862326864714518528,RT robotnicc: #tunatuesday 06:  We're gonna need a bigger boat! \ud83d\udea3
16,862326032208203777,RT robotnicc: #tunatuesday 06:  We're gonna need a bigger boat! \ud83d\udea3
17,862325890356740098,RT robotnicc: #tunatuesday 06:  We're gonna need a bigger boat! \ud83d\udea3
18,862325314264879108,RT robotnicc: #tunatuesday 06:  We're gonna need a bigger boat! \ud83d\udea3
19,862317813989605380,RT thedailyjaws: Describe JAWS in an acronym e.g....\nJust Another Wayward Shark \ud83e\udd14
20,862316861781921792,Jaws!! universalorl
21,862313597627707393,Glad to see Amity Island has a long tradition of keeping the beaches open!
22,862301001717612544,RT jawscast75: FUN FACT: The pond is for old ladies.
23,862294775139008512,jawscast75 And notice how Mike's thick NY accent suddenly deserted him when he said this line. \ud83e\udd14
24,862292544176238594,My #SpideySense is tingling - #Jaws reboot? With the #fukushima waste in oceans why not have a titan-sized shark?\u2026
25,862279390767570944,We keep stock of #jaws for all global #chuck of #CNC machines.
26,862277902645243910,"RT hellomag: .TheLunaCinema are showing all your favourite classics, including #NottingHill, #TopGun, #Grease, #Jaws and more!"
27,862274789863456768,".TheLunaCinema are showing all your favourite classics, including #NottingHill, #TopGun, #Grease, #Jaws and more!\u2026"
28,862272755223248896,"RT thedailyjaws: Bruce the shark revealing his secrets, #MarthasVineyard 1974 \ud83c\udfac"
29,862263553964691456,'You're going to need a bigger boat!' \n#Jaws is part of the #hmvessentials collection instore now
30,862237620138647552,RT robotnicc: #tunatuesday 06:  We're gonna need a bigger boat! \ud83d\udea3
31,862234169191141377,RT thedailyjaws: Peter (and wife Wendy) Benchley went on to become a great supporter of shark conservation #jaws #happybirthday #shark #sa\u2026
32,862232611074306048,RT RickySpurs101: Brody wasnt joking. They really did need a bigger boat. #BTS #Spielberg #Jaws thedailyjaws
33,862229502486876160,RT thedailyjaws: Peter (and wife Wendy) Benchley went on to become a great supporter of shark conservation #jaws #happybirthday #shark #sa\u2026
34,862228241213423616,"\""You've got city hands, Mr Hooper, been counting money all your life.\""\n And selling me milk."
35,862216902315311104,RT robotnicc: #tunatuesday 06:  We're gonna need a bigger boat! \ud83d\udea3
36,862212996730241024,RT robotnicc: #tunatuesday 06:  We're gonna need a bigger boat! \ud83d\udea3
37,862212024469671936,RT robotnicc: #tunatuesday 06:  We're gonna need a bigger boat! \ud83d\udea3
38,862210779617128449,#tunatuesday 06:  We're gonna need a bigger boat! \ud83d\udea3
39,862194693634961412,RT jawscast75: FUN FACT: The pond is for old ladies.
40,862190824972484608,RT jawscast75: FUN FACT: The pond is for old ladies.
41,862182505188704256,RT thedailyjaws: Which of Peter Benchley's other books are your favourite? \ud83d\udcda\ud83e\udd14
42,862182043597250560,"RT thedailyjaws: #HappyBirthday to the creator of #Jaws, Peter Benchley who would have been 77 today \ud83c\udf82#shark #book #novel #writer #author\u2026"
43,862178913002409986,Watching #Jaws 2 love this movie SHARK MOVIES ARE THE BEST \ud83d\ude46\ud83c\udf0a
44,862178363628277760,RT thedailyjaws: 43 years ago today principal photography began on the greatest film ever made #Jaws \ud83c\udfac
45,862152106580561920,RT IFS_news: INTERNATIONAL: 14 Times Video Games Continued the Stories of Movies (Photos)
46,862146054002704384,"If Altman's Popeye is \""re-imagined\"" Wimpy will make love to a hamburger.\n\nNow, a musical #Jaws re-imagining -\nI got\u2026"
47,862143555971588098,RT thedailyjaws: Peter (and wife Wendy) Benchley went on to become a great supporter of shark conservation #jaws #happybirthday #shark #sa\u2026
48,862143511109304321,RT thedailyjaws: Peter (and wife Wendy) Benchley went on to become a great supporter of shark conservation #jaws #happybirthday #shark #sa\u2026
49,862143375876784129,RT thedailyjaws: Peter (and wife Wendy) Benchley went on to become a great supporter of shark conservation #jaws #happybirthday #shark #sa\u2026
