,tweet_id,text
0,862348057874059264,#JurassicPark Jurassic Park Mini Dinosaurs for Kenner 1993 Lot of 14
1,862344126628601856,#LEGO Jurassic World 100% Guide #6 \n#LEGOJurassicWorld #LEGOJurassicPark #JurassicPark #JurassicWorld...
2,862343644480757761,\ud83d\udc46\ud83c\udffc#TRex #jurassicpark  Universal Studios Island Of Adventures- Jurassic Park River Adventure
3,862340752940032001,"#Dinosaur #Jurassic: 1997 The Lost World #JurassicPark Nick Van Owen Video Expert 4.5\"" Action Figure\u2026"
4,862338898650832896,#JurassicPark Jurassic Park Dinosaurs Tyrannosaurs Rex Figure Loose Hasbro 2004 Kaybee Toys
5,862338462715977730,RT sophbav: Been humming the theme song all day lol
6,862337795821621250,RT sophbav: Been humming the theme song all day lol
7,862337088984928256,RT Get2thePodcast: Jeff Goldblum returning in #JurassicWorld2. Listen here!  #JeffGoldblum #JurassicPark #Podcast #\u2026
8,862334239571947520,.Logic301 rattpack til my pulse flat #flex #lit #jurassicpark #Everybody #rattpack ft. Clayclark_
9,862334171552808960,Jeff Goldblum returning in #JurassicWorld2. Listen here!  #JeffGoldblum #JurassicPark\u2026
10,862334043697942529,RT handsomejacks_: This Sunday see's the return of our Bar Takeovers! This week will be hosted by our own Fitz with his #JurassicPark them\u2026
11,862332400113557505,"RT edSiomacco: My five year old loves drawing dinosaurs, even made up ones. \n\n"
12,862331885418012672,"My five year old loves drawing dinosaurs, even made up ones. \n\n"
13,862331349721600000,RT bigbenmoore: Amazing shot over the no-doubt electrified fence of the #jurassicworld2 set in Yateley! #jurassicpark #clevergirl (courtes\u2026
14,862330243608068096,#JurassicPark Jurassic Park 4-Movie Collection New BLU-RAY Set Lost World III Jurassic World\u2026
15,862327608750616576,RT JurassicJune: What a deal!
16,862326179407245312,RT prevostscifi: #BetterCallSaul Love the fish joke. Reminded me of Jeff Goldblum's dinosaur skirt reference on
17,862325667077038080,#JurassicPark Jurassic park toys vintage lot
18,862324284391215104,#Dinosaur #Jurassic: #JurassicPark 4-Movie Collection New BLU-RAY Set Lost World III Jurassic World\u2026
19,862316286243594243,#JurassicPark Jurassic Park Series 2 Evil Raiders Strike Cycle Vehicle w/ Firing Capture Claw\u2026
20,862316276076617728,#Dinosaur #Jurassic: #JurassicPark The Lost World Tyrannosaurus Rex T-Rex Statue NEW with Tag\u2026
21,862312495746228225,#JurassicPark Jurassic Park - 2 CD's
22,862308247323148289,RT Austin83Young: Can't get over these 2 pics.
23,862308096848183297,#JurassicPark Jurassic Park The Lost World Tyrannosaurus Rex T-Rex Statue NEW with Tag
24,862307502716841988,Jurassic World 2: Jeff Goldblum Talks #IanMalcolm's Return\n
25,862303804175273988,#JurassicPark Jurassic Park III Die Cast Vehicle Lot Helicopter &amp; Transport Truck Complete
26,862299651923337216,#JurassicPark Jurassic Park Backpack Wallet &amp; Fanny Pack Set New (Opened) Collectible Set RARE\u2026
27,862299612203302913,#Dinosaur #Jurassic: #JurassicPark Series 2 Evil Raiders Strike Cycle Vehicle w/ Firing Capture Claw\u2026
28,862295714017169409,#JurassicPark Jurassic Park; Robert Muldoon Complete w/ Raptor Hatchling &amp; All Gear (Series 2\u2026
29,862295476573306882,Hi I'm David and I like dinosaurs. #JurassicPark #universal #orlando #Florida #themepark\u2026
30,862295388476375040,RT handsomejacks_: This Sunday see's the return of our Bar Takeovers! This week will be hosted by our own Fitz with his #JurassicPark them\u2026
31,862293585995190272,RT handsomejacks_: This Sunday see's the return of our Bar Takeovers! This week will be hosted by our own Fitz with his #JurassicPark them\u2026
32,862293066660663297,This Sunday see's the return of our Bar Takeovers! This week will be hosted by our own Fitz with his #JurassicPark\u2026
33,862292043132882945,RT ACrazy_boy: In theatres to watch #Baahubali2 \nagain and My Grandfather has also come. His last film in theatres was #jurassicpark in 19\u2026
34,862291461303185408,#Dinosaur #Jurassic: #JurassicPark; Robert Muldoon Complete w/ Raptor Hatchling &amp; All Gear (Series 2\u2026
35,862291349021831169,"Chris Pratt, Bryce Dallas Howard Brighten Up London Children\u2019s Hospital  via ew"
36,862291161691680770,RT ACrazy_boy: In theatres to watch #Baahubali2 \nagain and My Grandfather has also come. His last film in theatres was #jurassicpark in 19\u2026
37,862290593937899520,RT ACrazy_boy: In theatres to watch #Baahubali2 \nagain and My Grandfather has also come. His last film in theatres was #jurassicpark in 19\u2026
38,862290365713403906,RT ACrazy_boy: In theatres to watch #Baahubali2 \nagain and My Grandfather has also come. His last film in theatres was #jurassicpark in 19\u2026
39,862289885587275776,RT ACrazy_boy: In theatres to watch #Baahubali2 \nagain and My Grandfather has also come. His last film in theatres was #jurassicpark in 19\u2026
40,862288981387616257,RT JurassicJune: Weekend Vibes
41,862287547312906241,#JurassicPark Jurassic Park Series 2 SGT. T-Rex Turner Dino Tracker Complete w/ Gear Kenner
42,862287109461331969,"RT SWinstonSchool: Baby #TRex from The Lost World: #JurassicPark, created by #StanWinstonStudio based on Joey Orosco's concept art in the\u2026"
43,862286680262180864,RT JurassicJune: What a deal!
44,862283863485239296,Can't get over these 2 pics.
45,862283620614103040,"#JurassicPark (1993) #Trivia atwood_ny Monday, #May 22 at 7:30pm. RSVP at;"
46,862283492146597889,#JurassicPark Jurassic Park III Action Figure &amp; Dinosaur Lot Alan Grant Raptor Spino Hasbro
47,862283463818330112,#Dinosaur #Jurassic: #JurassicPark III Action Figure &amp; Dinosaur Lot Alan Grant Raptor Spino Hasbro\u2026
48,862283252958187520,What a deal! #jurassicpark #jurassicworld2 #jurassicworld #jw2 #jurassicjune #jurassicpark3 #spinosaurus\u2026
49,862282162464325634,This Jeep owner is clearly a big fan of Jurassic Park. #jeepwrangler #jurassicpark #jeep \u2026
50,862279469507244033,RT ACrazy_boy: In theatres to watch #Baahubali2 \nagain and My Grandfather has also come. His last film in theatres was #jurassicpark in 19\u2026
51,862274751732961280,#Dinosaur #Jurassic: #JurassicPark Series I Capture Copter Helicopter Vehicle Kenner SHW B2
52,862273903812542464,Choose a job you love and you'll never work a day in your life. \n\ud83d\udcf8: lcy76low \n#jurassicpark\u2026
53,862272553498402816,1005FreshRadio I agree with all of the list except for #PrincessBride and #JurassicPark. #ShawshankRedemption is my all time favourite!
54,862271697730318336,Jurassic Park is out!  Stories via yapmovies MCG_RAD
55,862270563821043712,#JurassicPark Jurassic Park Series I Capture Copter Helicopter Vehicle Kenner SHW B2
56,862269880804024321,RT bigbenmoore: Amazing shot over the no-doubt electrified fence of the #jurassicworld2 set in Yateley! #jurassicpark #clevergirl (courtes\u2026
57,862266555761020929,"#JurassicPark Jurassic Park Collection: (#DVD, 2015, 4-#DVD Set) Includes All 4 Movies!"
58,862266540296556544,"#Dinosaur #Jurassic: #JurassicPark Collection: (#DVD, 2015, 4-#DVD Set) Includes All 4 Movies!\u2026"
59,862265691239587840,Just heard #jurassicpark was #5 on the top 10 most re-watched movies babygirl_0906. Wonder if #JurassicWorld will\u2026
60,862265238909071360,16 years ago Jurassic Park 3 came out in 2001. Also in 2001 T-Rex fight scene T-Rex die.
