,tweet_id,text
0,862344126628601856,#LEGO Jurassic World 100% Guide #6 #LEGOJurassicWorld #LEGOJurassicPark #JurassicPark #JurassicWorld...
1,862337241275826176,Look whos back for #JurassicWorld 2.
2,862331885418012672,"My five year old loves drawing dinosaurs, even made up ones."
3,862322597975007232,New #JurassicWorld2 #SetPhoto Teases #JeffGoldblum's Return
4,862310236895330304,Easily the funniest part of this movie
5,862305106015944709,. I think this is the first time one of my articles has shown up organically in a forum. #JurassicWorld.
6,862299135713718274,Chills.
7,862295702914953216,Why use a boring bandaid when I can use velociraptor one?! prattprattpratt would Owen Grady approve??
8,862287129732198402,JurassicWorld FilmBayona How amazing it would be to work on the upcoming sequel of #JurassicWorld I've loved JP s
9,862283863485239296,Can't get over these 2 pics.
10,862283252958187520,What a deal! #jurassicpark #jurassicworld2 #jurassicworld #jw2 #jurassicjune #jurassicpark3 #spinosaurus
11,862277598872817664,Jurassic T-Shirts -Available Amazon 25 Designs  DNR_CREW YTRetweets CalzhyRTs
12,862265691239587840,Just heard #jurassicpark was #5 on the top 10 most re-watched movies babygirl_0906. Wonder if #JurassicWorld will
13,862260247641174016,"Yeah, Meh, Nah Movie Reaction: #JurassicWorld (2015)YeahTrailer:"
14,862230978365882368,407 days till #JurassicWorld2 JurassicPark #JurassicPark  #JurassicWorld UniversalEnt
15,862230977946558464,407 days till #JurassicWorld2 JurassicPark #JurassicPark  #JurassicWorld UniversalEnt
16,862226729078853632,Planning a dinosaur themed birthday party #dinosaurs #JurassicWorld #partyplanning #birthday
17,862209386256773121,Jurassic T-Shirts - Available Amazon 25 Designs  DNR_CREW HyperRTs RegalRetweet
18,862188028315316224,"Probably gonna wake up to Ted Nugent or Chachi running the FBI, what have I got to lose?"
19,862169605749342209,.joejonas SophieT UPDATE!Chris Pratt &amp; Bryce Howard took a break from filming #JurassicWorld to visit a childre
20,862151459630075904,"Jeff Goldblum says Ian Malcolm is \""Saucy\"" in 'Jurassic World 2' #JeffGoldblum #JURASSICWORLD #JurassicWorld2"
21,862144453074726912,Jurassic T-Shirts - Available Amazon 25 Designs  DNR_CREW HyperRTs RegalRetweet
22,862134897456152577,prattprattpratt Have you ever fired a lever action rifle prior to filming #JurassicWorld ?
23,862131850172653570,We've come so far since InGeneral Ep. 49.5 WE DID IT BOYS. That's a hashtag Jurassic WORLD.
24,862120319284240385,Chris Pratt and Bryce Dallas Howard took a break from filming #JurassicWorld to visit a childrens hospital today!
25,862119684539371520,New #Disney  #Pixar #Cars3 #Unboxing Vehicles Lightning Mcqueen &amp; Mater #JurassicWorld..  via YouTube
26,862105713388261377,Anyone want to join Rexxy and Myself in an epic Jurassic Park day? #jurassicpark #jurassicworld
27,862090489876578304,JurassicWorld FilmBayona Happy birthday - Feliz Cumpleaos
28,862088877028237313,Happy birthday to FilmBayona who is (hopefully) giving a T-Rex his motivation as we speak. #JurassicWorld
29,862088619753955328,Jurassic T-Shirts - Available Amazon 25 Designs -&gt;  FameRTs HyperRTs
30,862079794157977601,#JurassicWorld's #prattprattpratt and #BryceDHoward are showing some dinosaur-sized love to a few special fans.
31,862075966641897472,#JurassicWorld's prattprattpratt and BryceDHoward are showing some dinosaur-sized love to a few special fans.
32,862075454408273921,Watch Jurassic World (2015) on #NOWTV (14-Day Free Trial)Watch it now:
33,862072756367638528,Did you notice Ian? #dinosaurs #actors #actress#monster #film #movie #easteregg #jurassicworld #ianmalcolm
34,862070619898347521,Eyes went STRAIGHT to that logo. . This '#JurassicWorld sequel' business is starting to feel like a running joke.
35,862068426856181762,.jeffreygoldblum teases his return in #jurassicworld 2 as Ian Malcolm
36,862067493887778818,Make sure to wish #JurassicWorld 2 director FilmBayona a happy birthday!
37,862067144783044608,"Wishing a very happy birthday to FilmBayona, Director of the upcoming #JurassicWorld sequel."
38,862062746304733186,Even Aloy partakes in a little 'Pratting' from time to time! #HZDPhotoMode #aloy #pratting #JurassicWorld
39,862045542393819137,Planning a dinosaur themed birthday party #dinosaurs #JurassicWorld #partyplanning #birthday
40,862041615485083648,Ver Jurassic World (2015) Online Gratis Link:
41,862041514612068353,Regarder Jurassic World (2015) Gratuit en Ligne Link:
42,862041329026641920,Watch Jurassic World (2015) Free Online Link:
43,862038013920018434,Getting there... still got the two brats at the front to finish yet though
44,862015266338869253,"#TrilobiteTuesday that's 3 in the bag, will soon make a start on the 4th #monsterclay design #JurassicPark"
45,862013424078860288,My thoughts exactly...Repost: from We Heart It
46,862007318522867712,#JeffGoldblum Joins #JurassicWorld Sequel -
47,862006809929728001,Everyone is going crazy about prattprattpratt in Guardians. And I'm over here anxious for Jurassic World 2!
48,862003770452062209,prattprattpratt Currently waiting on my local cinema graffiti rating before making up my mind. #GotGVol2
49,862003117059186691,One of my life goals to ride all the #jurassicpark rides UniStudios has to offer!
50,861996693935448064,We're looking forward to the #JurassicWorld exhibit opening FieldMuseum May 26!
51,861996611811069953,prattprattpratt I loved you in #GuardiansOfTheGalaxy2 but my all time favorite role of yours is Owen Grady from
52,861982579934756868,We wouldn't expect anything less.
53,861972955059724289,.#JurassicWorld 2: Jeff Goldblum Talks Ian Malcolms Return
54,861972613459054593,When the badass giant chickens ruled the earth. (Beibeilong sinensis by Zhao Chuang) #dinosaurs #dinosaur
55,861969540741287937,Jeff Goldblum Talks Returning as Dr. Ian Malcom  #JeffGoldblum #JurassicWorld #JurassicPark
56,861967113983885312,i got mini heart attack on this movie! done watching
57,861966613838520320,BREAKING: Jeff Goldblum discuss his return as Ian Malcolm for Jurassic World 2! #JurassicWorld2 #JurassicWorld
58,861959091677089793,New from our Fan Expo line up!  The #Dino detector!  #Dinosaur #jurassicworld #jurassicpark
59,861948646576750592,Back for part 2 of my
60,861948455413063682,Two months to go
61,861944237990064130,What happens when you unleash a massive T-Rex army?! WATCH HERE!
62,861934250458841089,"Ian Malcolm will be a saucy, sassy man in #JurassicWorld Sequel"
63,861926164482457600,"I even feel a bit sorry for the Indominous...I mean, it's not her fault after all she doesn't understand how the world works"
64,861924995483619328,"So is #TheLostWorldJurassicPark 20 years old in 20 days? If so, I'll watch it then!"
65,861924982867329026,Am I the only one whose heart breaks when the velociraptors fight th death to save those stupid humans?
66,861916685896478728,Jeff Goldblum Teases The Return Of Dr. Ian Malcolm...#IanMalcolm #JurassicPark #JurassicWorld #JurassicWorld2
67,861880807870398464,Jurassic World
68,861880451744575488,"#JurassicWorld 2 : Jeff Goldblum annonce un retour \""impertinent\"""
69,861880312296591360,Ian Malcolm's Return Teased By Jeff Goldblum! #JurassicWorld2 #JurassicPark #JurassicWorld  via po_st
70,861868633638809600,408 days till #JurassicWorld2 JurassicPark #JurassicPark  #JurassicWorld UniversalEnt
71,861868633441660933,408 days till #JurassicWorld2 JurassicPark #JurassicPark  #JurassicWorld UniversalEnt
72,861864513959800832,Planning a dinosaur themed birthday party #dinosaurs #JurassicWorld #partyplanning #birthday
73,861847043664465920,Jurassic T-Shirts - Available Amazon 25 Designs  DNR_CREW HyperRTs RegalRetweet
74,861845890310578177,Yall realized that TheCWSupergirl Lena Luthor is the chick that got attacked by #pterodactyls &amp; ate up by the #Mosasaurus in
75,861834215809265664,#JeffGoldblum Teases Ian Malcolm's #Return in #JurassicWorld 2
76,861832661433823232,Jurassic T-Shirts - Available Amazon 25 Designs  DNR_CREW HyperRTs RegalRetweet AlienRTs
77,861795966629933056,Watch Jurassic World (2015) Online on #FlixanoStart Free Trial:
78,861782434307874816,"Does it bug anyone else that his name is Blue?The others are named Charlie, Delta &amp; Echo? Obvi his name shoulda been Bravo!"
79,861778067039059969,Jurassic T-Shirts - Available Amazon 25 Designs  DNR_CREW HyperRTs RegalRetweet
80,861767008156872704,#Repost prattprattpratt you have made it my dude #JurassicWorld #TheLegoMovie #StarLord #GotGVol2 Success is in th
81,861754961390178305,Prediction: #FastandFurious and #JurassicWorld will eventually crossover. UniversalPics
82,861754407288950785,Self made.#jurassicpark #JURASSICWORLD #JurassicWorld2 #JurassicPark5JurassicWorld BryceDHoward
83,861754128753733632,New #MineCraft  Toys Super Unboxing Hunting #JurassicWorld  Dinosaurs #Mattel #Surprise #Unboxing...  via YouTube
84,861726203635519489,Jurassic T-Shirts - Available Amazon 25 Designs -&gt;  FameRTs HyperRTs
