,tweet_id,text
0,862334843899793408,Bushy Lady and the Tramp near Italy Pavilion. #ladyandthetramp #italypavilion #epcot
1,862295121613774848,TheSnowSpirit Happy Wednesday!
2,862253807207673856,Interesting Facts About Lady And The Tramp
3,862213728095412225,Interesting Facts About Lady And The Tramp
4,862198863335219203,Last night's #LadyandtheTramp moment.
5,862126531950383105,Interesting Facts About Lady And The Tramp
6,862106128880197633,Interesting Facts About Lady And The Tramp
7,862093135932817408,This girl loves the tramp!
8,862071250843164672,"#LadyandTheTramp #Dog #Plush #tramp Stuffed Animal 14\"" Toy factory #Lovey #Disney  via eBay"
9,862070069680984064,#LadyandTheTramp #DisneyStore #Puppy Dog Stuffed Animal Plush Toy #Lovey #DisneyParks #Disney  via eBay
10,862033958493618176,Family film time. #ladyandthetramp #homemade tent
11,862022770691014656,Vintage Lady And The Tramp Plush Lady Dog Authentic Walt Disney
12,861982608967782400,Interesting Facts About Lady And The Tramp
13,861875227533258753,The Lady Is A Tramp #LadyAndTheTramp #MelaniaTrump #DonaldTrump realDonaldTrump POTUS
14,861674422473814016,Interesting Facts About Lady And The Tramp
15,861657106642087938,#zombies falling in #love just like #ladyandthetramp#comics
16,861590866678484993,Vintage Lady And The Tramp Plush Lady Dog Authentic Walt Disney
17,861389805573332992,It's a #LadyandtheTramp kinda night and loving it. #LJandKory  Mercato Trattoria
18,861367458896252929,"//Looking for mains from #LadyAndTheTramp.#RT, please?"
19,861328892522405888,#pacificpark with my little #ladyandthetramp  #fashionblogger #hollywood  Pacific Park
20,861303761641369600,Just like a Disney movie...
21,861257495599304705,Vintage Lady And The Tramp Plush Lady Dog
22,861089831904059393,"\""Is that a hot dog?\"" - Bailey"
23,860914517798256640,AmandaHolden Still in love after all those years
24,860913746398642176,Mum and Dad! #ladyandthetramp
25,860896903067832325,Sometimes you just share a drink with your best friend
26,860854704103882753,"Once you hear the Tramp saying 'bitch' instead of 'pidge' in #LadyandtheTramp, it cannot be unheard."
27,860689908767354883,Interesting Facts About Lady And The Tramp
28,860636704973221889,Interesting Facts About Lady And The Tramp
29,860600407340580864,Interesting Facts About Lady And The Tramp
30,860573825938870272,RebelWatt #Ladyandthetramp for #KH3! When we getting Dog Sora SquareEnix
31,860436537934307334,Lady and the Tramp!
32,860382221550714880,Interesting Facts About Lady And The Tramp
33,860344663244406784,Interesting Facts About Lady And The Tramp
34,860343595735425024,Interesting Facts About Lady And The Tramp
35,860342007721578497,Interesting Facts About Lady And The Tramp
36,860342003648925696,Interesting Facts About Lady And The Tramp
37,860339134321315840,Interesting Facts About Lady And The Tramp
38,860339107440078849,Interesting Facts About Lady And The Tramp
39,860338903303245828,Interesting Facts About Lady And The Tramp
40,860334790075133953,Interesting Facts About Lady And The Tramp
41,860281845501632512,Btw this is fucking adorable AllTimeLow riandawson AlexAllTimeLow
42,860126892078370816,Sharing a bowl of spaghetti brains.
43,860036437605011456,Dickie in #SexyComedy midnight
44,860020773578170368,My grandma gives her dog whatever we have for dinner
45,860018832504651776,This made me giggle  #ladyandthetramp #topiary #gardeninggenius
46,859840704176107521,My Ben &amp; Sam #cockerspaniels #Doglovers #Cockers #Ladyandthetramp BorrowMyDoggy
47,859738701370470402,Interesting Facts About Lady And The Tramp
48,859622202794278912,Interesting Facts About Lady And The Tramp
49,859576237018279938,Two sexy #lesbians lady and the tramping a slice of #pizza .#drawing #ladyandthetramp Made
50,859505784941670400,"Possibly the most iconic, and undoubtedly most romantic, food moments in film #LadyandtheTramp #disney"
51,859335507188342784,Interesting Facts About Lady And The Tramp
52,859154664972931072,Spaghetti for dinner tonight?
53,859147695587446784,#LadyandTheTramp #DisneyStore Puppy Dog Stuffed Animal Plush Toy Parks #lovey #Disney  via eBay
