,tweet_id,text
0,862286846776291329,RT DorsetMuseum: Article: #Dorset Echo - Want to find out more about the life of 'reluctant hero' #LawrenceofArabia? Here's your...
1,862271369362513920,#Filmmakers: #LawrenceOfArabia (1962)\nCinematographer: #FreddieYoung\nAspect Ratio: 2.20:1\nDirector:
2,862251144881594368,Three-time cinema goer last week #LawrenceofArabia #MadMaxFuryRoad #GuardiansoftheGalaxyVol2 keep up!
3,862230007766294528,I love and hate this film at the same time.  RafiMrGreen16 monsoonsoldier
4,862215343095373824,Article: #Dorset Echo - Want to find out more about the life of 'reluctant hero' #LawrenceofArabia? Here's your...
5,862145037584408577,#Role: T. E. Lawrence\r#Movie: Lawrence of Arabia (1962)\r#Actor: Peter O'Toole\r
6,862144479414947840,"Right now, watching #LawrenceOfArabia while reading WheresAndrew tweets about desert walking. Life is pretty great right now from my sofa."
7,862076534172991489,RT MillarMatthews: Peter O\u2019Toole Archive Acqui  #film #lawrenceofarabia #news #peterotoole #CelebrityNews #News #Wo\u2026
8,862067516276854784,amrosario I've always thought of movies as photography school :-)
9,861974239582326789,A Bullet Proof Ghost.
10,861722282531713027,Peter O\u2019Toole Archive Acqui
11,861645276917800960,"RT CelluloidCinema: \""The trick is not minding that it hurts.\"" #PeterOToole #LawrenceOfArabia \ud83c\udf05"
12,861275974696030208,...  #AlecGuinness #AnthonyQuinn #AudaabuTayi #faisal #lawrenceofarabia #OmarSharif #PeterO'Toole
13,860893460504625152,"\""Big things have small beginnings...\"" - #LawrenceOfArabia\n\n"
14,860694832309612544,mattzollerseitz I have long wanted to see a 3D-converted #LawrenceofArabia. #Prometheus actually gives us a taste\u2026
15,860447958545944580,#Filmmakers: #LawrenceOfArabia (1962)\nCinematographer: #FreddieYoung\nAspect Ratio: 2.20:1\nDirector:
16,860410193921880064,On the train to #London with woodymsi and pilgrimscharity to visit the IWM_Centenary exhibitions to research\u2026
17,860398351984013312,#LawrenceOfArabia in a glorious #8Bit cover!
18,860314956000002050,My genius movie remake idea. bradpitt = Lawrence!
19,859862407153422336,FHF1419 kindamuslim jk_rowling What is up with #RudyardKipling #CSLewis #LawrenceOfArabia or the original JRR #Tolkien?
20,859831334310748163,"Everyone digs #ChisosBasin-try camping desert next trip 2 BigBendNPS. As #LawrenceofArabia said: \""It's clean.\""\u2026"
21,859549466650652674,Just saw #LawrenceOfArabia &amp; couldn't stop imagining Nawazuddin_S as Sherif Ali.
22,859483236803776512,RT sebcoulthard: Just received this little beauty in the post! 1916 Verner's Pattern Prismatic Compass. #LawrenceOfArabia #expedition #WW1\u2026
23,859479658026471424,Peter O\u2019Toole Archive Acqui
24,859423279886598149,Just received this little beauty in the post! 1916 Verner's Pattern Prismatic Compass. #LawrenceOfArabia\u2026
25,859397997024747522,"RT sebcoulthard: Great to have you on a camel KAugello riding alongside sebcoulthard &amp; woodymsi. 4 blokes, 5 camels. #LawrenceofArabia\u2026"
26,859396098225557504,"RT sebcoulthard: Great to have you on a camel KAugello riding alongside sebcoulthard &amp; woodymsi. 4 blokes, 5 camels. #LawrenceofArabia\u2026"
27,859393468208230401,"Great to have you on a camel KAugello riding alongside sebcoulthard &amp; woodymsi. 4 blokes, 5 camels.\u2026"
28,859173308461461504,#burata #lawrenceofarabia louisvuitton #pinkburqa #iodormocos\u00ec #rosellina #pink \ud83d\udc97  Viale\u2026
29,859126214535106562,...  #AlecGuinness #AnthonyQuinn #AudaabuTayi #faisal #lawrenceofarabia #OmarSharif #PeterO'Toole
30,859086361424527361,"As a fan of all film genres, especially historical sweeping epics; I just can't seem to never get into"
