,tweet_id,text
0,862352710112235521,RT costoff_shop: FightingTechniques of the Medieval World AD 500-1500\n#AmazonShopping #OnlineShopping #LoveStory #KidsStory #Learning\n
1,862350270495207424,Will their love go the distance? THE ENGLISHMAN is now #free to read. #Navy #Romance #Lovestory\u2026
2,862350081760124928,RT iamnaren_mondal: [PICS EDIT 3]\n[RT]\n#Lovestory \nVarun-Alia\ud83d\udc83\nSid-Shraddha\ud83d\udc83\n\nTmrw Shraddha's Bday\n8Days to #BKD \n19th May #HalfGirlfriend\u2026
3,862349340643393539,Too fucking accurate! #Taurus vs
4,862348677557256192,"RT AuthorLTaylor: \""This book had a positive message for me.\"" MOMENT BY MOMENT"
5,862348624868651008,RT RedDirt_Roots: Texas Couple Married for 62 Years Passes Away While Holding Hands -  #LoveStory #TrueLove #Romanc\u2026
6,862348037473144833,Texas Couple Married for 62 Years Passes Away While Holding Hands -
7,862346349408391169,Archive: Photos: Brokenhearted lesbian jumps off building after heated argume
8,862345205185482752,"City of stars, are you shining just for me? #LALALAND #Lovestory #cinema #film #Singing #spotify #listen #pictures\u2026"
9,862344523728531456,RT UviPoznansky: Uvi \ud83c\udf38 Choked me like a lump of unshed tears\n#Review #WWII #LoveStory\n \u2026
10,862344202201518080,\ud83d\udc2f A Grrr8  #SignUp4U! \ud83d\udc2f\n#TheSteamTycoon by onefuriousfotog\n#May22nd #LoveStory #SteamPunk\nTheNextStepPR \u2192\u2026
11,862344115513675776,Christmas with a cowboy from the past. God help her. A Cowboy for Christmas
12,862341197855174658,"I just published \""Exclusive \"" of my story \""He Came In With The Rain \""."
13,862337106324140033,"Don't make me cry. Please, don't make me beg.... Harry's Love Letters Hacked!"
14,862336467342897152,Angelica will light up your #kindle\n UK
15,862333619439906816,RT TheNextStepPR: \ud83d\udc2f A Grrr8  #SignUp4U! \ud83d\udc2f\n#TheSteamTycoon by onefuriousfotog\n#May22nd #LoveStory #SteamPunk\nTheNextStepPR \u2192
16,862331649161383936,RT UviPoznansky: Uvi \ud83c\udf77 A lover\u2019s cocktail\n#WWII #LoveStory #Series\n
17,862330576350609408,RT UviPoznansky: Uvi \ud83c\udf38 Choked me like a lump of unshed tears\n#Review #WWII #LoveStory\n \u2026
18,862327105295708161,RT BellaEmyWrites: A Minor Happy Ending Shaan_Ranae
19,862326761220169729,RT BellaEmyWrites: Newest teaser!\nA Minor Happy Ending Shaan_Ranae  #steamyreads #fiction #romance #amreading #lovestory #sexy #hot #stea\u2026
20,862326718782214146,RT BellaEmyWrites: A Minor Happy Ending Shaan_Ranae #lovestory #romance #fiction #steamyreads #steamy #hot #sexy #amreading #goodbook htt\u2026
21,862322848014184448,RT notsomaverick: Enter to win a print copy SPARE ME THE DRAMA #books #lovestory #mothersday #giveaway #contest #free #asmsg\n
22,862321705901072384,Enter to win a print copy SPARE ME THE DRAMA #books #lovestory #mothersday #giveaway #contest #free #asmsg\u2026
23,862320854012768256,RT TheStoryOfRed13: #LoveStory is now playing \ud83d\ude2d
24,862317101024980992,Quote Scrapbook Album
25,862316166613581824,RT UviPoznansky: Uvi \ud83c\udf77 A lover\u2019s cocktail\n#WWII #LoveStory #Series\n
26,862315786991521793,RT UviPoznansky: Uvi \ud83c\udf38 Choked me like a lump of unshed tears\n#Review #WWII #LoveStory\n \u2026
27,862315292373901314,#AcrosstheBlueHorizon Part 13- Muted Conversations is now published on #wattpad #poetry #sad #lovestory #pain \ud83d\udcf7ctto
28,862315039138603009,RT Tytracktytrackk: Get a guy that holds you the way Deok Hwa is holding me--I mean his precious credit card.
29,862312723903860740,#LoveStory is now playing \ud83d\ude2d
30,862312514431971328,RT UviPoznansky: Uvi \ud83c\udf38 Choked me like a lump of unshed tears\n#Review #WWII #LoveStory\n \u2026
31,862310513308557312,RT mckbirdbks: #LoveStory Within My Heart\n
32,862308513409880064,RT UviPoznansky: Uvi \ud83c\udf77 A lover\u2019s cocktail\n#WWII #LoveStory #Series\n
33,862305843542454272,RT mckbirdbks: #LoveStory Within My Heart\n
34,862304981516464128,#LoveStory Within My Heart\n
35,862304606629629956,"ItsACatParty Well, you may enjoy the book CHIPPED BLACK NAIL POLISH\n#TrueStory #LoveStory #PunkRock #PostPunk\u2026"
36,862303215735500800,Risky\nRakish\nReckless...\nPIRATES!\n#RomanceReaders #kindleunlimited #Amazon #Readers #read #indiedev #UK #fairytale\u2026
37,862301203476205568,"#LoveStory Emerald Wells Caf\u00e9 &amp; Pear Blossom Lane. Poetry, Pastry and some tears \n  \n"
