,tweet_id,text
0,862362644040355844,M.A.S.H.
1,862362577480941577,M.A.S.H
2,862357120762687488,"Stay clean, stay fresh and smell good.i a m k i n g m a s h"
3,862357116144758784,M.A.S.H. browns
4,862356524810862596,Anyone got M.A.S.H.?
5,862354388798631939,#potatomovies        S*M*A*S*H
6,862350299301908480,#PotatoMovies   M*A*S*H*ed
7,862349738263314432,S.M.A.S.H
8,862348924237086720,M.A.S.H
9,862347235324985344,S*M*A*S*H
10,862346573509939200,Feature number two: M*A*S*H
11,862339370208153601,[costume party]BF: *in drag* Did I nail it?ME: Perfect!BF: So I look just like Princess Dia-ME: Klinger from M*A*S*H
12,862338593997631488,siscakid Did you like Klinger on M*A*S*H? I'd been looking for this episode for a long time. #hilarious
13,862337460914835456,"From \""M*A*S*H\"" titled The Trial of Henry Blake (1973). Funny clip where Klinger (Jamie Farr) tries to paraglide hom"
14,862336964552527872,S M A S H!!!
15,862335360897957888,S.MA.S.H. S.M.A.S.H. S.M.A.S.H.
16,862334737431617537,"JoeNBC gee trump will say ...look at the money we saved...Trump is General Steele on that old M*A*S*H episode..''waste waste waste,\"" lol"
17,862332933314576384,HazelwoodDan alas M*A*S*H was never my show
18,862332726401216514,#potatomoviesM*A*S*H .. oh wait lol
19,862330435082354688,"JohnJHarwood You never saw the reruns? \""horse hockey\"" was Col Potter's swear word on M*A*S*H"
20,862330342128201729,#potatomovies M.A.S.H.
21,862324150542774276,M*A*S*H(must have been done already!)
22,862323277301035010,laurakfillault M*A*S*H Rules! Top 5 TV Shows Ever!!
23,862323132434198528,M.A.S.H.ed
24,862322544942215168,2lockSports conforto tight hamstring...M*A*S*H* the tv show live at Citi Field.
25,862320987202891776,Loretta Swit says she still gets fan mail for 'M*A*S*H'
26,862319563651911680,a bit obvious but M*A*S*H ed
27,862318114922541057,#potatomoviesl M*A*S*H
28,862318039097724928,"b e c k y ,  l e m m e  s m a s h"
29,862317458056593408,S*M*A*S*H
30,862316992140906500,#potatomovies M*A*S*H
31,862315266390282241,M*A*S*H
32,862315234668761090,S.M.A.S.H  remember to always drive safe
33,862311434188967936,KSekouM LeighMLorentz we are going to get  s'M.A.S.H.'ed.
34,862308928520060928,SM: IMDb lists 605 movies re. Vietnam War; cf also TV (M*A*S*H) and theatre (Miss Saigon)
35,862303892012511232,"Of 'M*A*S*H' and 'Enter the Dragon', which is more sexist?"
36,862303883720368128,'M*A*S*H' (1972 - 83) was a television series by Richard Hooker.
37,862298680295960576,M*A*S*H*  as part of our 'Cinematic Jukebox' seasonMon 12th June 18:20Tickets -&gt;
