,tweet_id,text
0,862349810103406592,This needs to be a #funko at some point! \n#marypoppins #yondu #immarypoppinsyall\u2026
1,862345178794807296,"\""In every job that must be done, there is an element of fun. Find the fun and SNAP, the job's a game\"""
2,862335446558310401,RT FiresideCrew: We are Mary Poppins #yondu #marypoppins #guardiansofthegalaxy #gotg #mcu #marvelcinematicuniverse #disney #comics \u2026
3,862330174850834432,RT Chantellecyr87: Watching #MaryPoppins bc obviously Im 6. \u2764 #julieandrews JulieAndrews
4,862329917446475776,Great #GuardiansoftheGalaxyVol2 art from WoodenPlankST
5,862325897881427968,RT RecruitJigsaw: Ah- we love a recruitment happy ending here at RecruitJigsaw  It worked for #MaryPoppins too!
6,862321895697506304,"RT WoodenPlankST: \""IS HE COOL?!\"" #GuardiansoftheGalaxyVol2 #GuardiansOfTheGalaxy #Marvel #fanart #disney #MaryPoppins #iamgroot #immarypop\u2026"
7,862321406796869632,"RT WoodenPlankST: \""IS HE COOL?!\"" #GuardiansoftheGalaxyVol2 #GuardiansOfTheGalaxy #Marvel #fanart #disney #MaryPoppins #iamgroot #immarypop\u2026"
8,862321199187099648,"RT WoodenPlankST: \""IS HE COOL?!\"" #GuardiansoftheGalaxyVol2 #GuardiansOfTheGalaxy #Marvel #fanart #disney #MaryPoppins #iamgroot #immarypop\u2026"
9,862320751814352896,"\""IS HE COOL?!\"" #GuardiansoftheGalaxyVol2 #GuardiansOfTheGalaxy #Marvel #fanart #disney #MaryPoppins #iamgroot\u2026"
10,862313432590286849,RT FiresideCrew: We are Mary Poppins #yondu #marypoppins #guardiansofthegalaxy #gotg #mcu #marvelcinematicuniverse #disney #comics \u2026
11,862302305487642625,Ah- we love a recruitment happy ending here at RecruitJigsaw  It worked for #MaryPoppins too!
12,862299013474856960,Supercalifragilisticexpialidocious!\nUm-diddle-iddle-iddle-um-diddle-ay\nUm-diddle-iddle-iddle-um-diddle-ay\n
13,862283917663100933,The Coolest Space Nanny and Pirate #gotgvol2 #yondu #marypoppins #guardiansofthegalaxy #gotg2 #mashup #tshirt #sti\u2026\u2026
14,862282681312321536,RT declan_casey1: RookerOnline Guardians prattprattpratt love the movie and love this too
15,862280797411311616,"RT Atthetop_tweets: She's magical, she's musical, she's #MaryPoppins At the Top!"
16,862277696742719488,"Staff Spotlight #6 blog's up. This month it's Ian, manager of the #Bath shop talking #fudge #beer &amp; #MaryPoppins(?!\u2026"
17,862277236686168064,This scene makes me cry!!\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\u2728\n
18,862264767221813249,#Songs of #Disney NumberTwenty2_ May 25th. Dinner &amp; Show. \nStarring BrianGilligan \n U #love #Marypoppins like us?\n
19,862231840844894209,I'm 'supercalifraglustically' excited to be going to see #MaryPoppins again at the DubaiOpera\ud83c\udf02#dubaioperahouse #mydubai #dubai visitdubai
20,862217938643935232,Mary Poppins (1964) Full Movie HD\nDownload Now:
21,862214769130000385,Interesting Facts About Mary Poppins
22,862211201140482048,RT almiraborzilova: The best!\ud83d\ude04\ud83d\ude4c #Starlord #Gamora #Nebula\ud83d\udc99 #Pomantis\ud83d\udc1b#Drax and  #MaryPoppins\u2602\ufe0f\ud83d\ude02
23,862196719928344576,RT SouthernFriedGG: YASS- One of my favorite lines in the movie.\n\n
24,862189691914911744,RT GulfNewsTabloid: Check out #MaryPoppins (Zizi Strallen) take a break from her DubaiOpera show and fly high at Atthetop_tweets at the\u2026
25,862189564336762880,"RT Atthetop_tweets: She's magical, she's musical, she's #MaryPoppins At the Top!"
26,862186725359181824,"DubaiOpera such a fantastic production and stunning venue, step-in-time certainly a highlight!"
27,862179198366035972,"Some kid after the #gotg2 movie:\n\n\""Who is this Mary Poppins guy?\"" \ud83e\udd14\n\n"
28,862164380217208834,RT GulfNewsTabloid: Check out #MaryPoppins (Zizi Strallen) take a break from her DubaiOpera show and fly high at Atthetop_tweets at the\u2026
29,862163596436004867,RT MyleneGomera: Pure magic! Ravishing production! Grateful DubaiOpera
30,862162856799764480,Guardians vol 2 was hilariously fantastic. Enjoyed every minute.
31,862158285381799936,"RT burnthewitchiii: \ud83d\ude02\ud83d\udda4\ud83e\udd18 Two of my faves, but who wore it better?"
32,862156824073478144,RT rosiepavlou: DisneyChris73 #SisterSuffragette \ud83c\udfb6 from the 1964\n#MaryPoppins \u2602\ufe0fSoundtrack.\n#GlynisJohns #ShermanBrothers\n#Disney\ud83d\udcabDisney\u2026
33,862156194588372996,RT rosiepavlou: DisneyChris73 #SisterSuffragette \ud83c\udfb6 from the 1964\n#MaryPoppins \u2602\ufe0fSoundtrack.\n#GlynisJohns #ShermanBrothers\n#Disney\ud83d\udcabDisney\u2026
34,862155090777559040,"\ud83d\ude02\ud83d\udda4\ud83e\udd18 Two of my faves, but who wore it better?"
35,862153856297390081,#GuardiansoftheGalaxyVol2 was awesome!  So fun...\ud83d\udc4d\ud83c\udffc\n
36,862144082293817344,I \u2764\ufe0f Mary Poppins #marypoppins #julieandrews #hollywoodboulevard #hollywoodwalkoffame \u2026
37,862136692328857600,DisneyChris73 #SisterSuffragette \ud83c\udfb6 from the 1964\n#MaryPoppins \u2602\ufe0fSoundtrack.\n#GlynisJohns #ShermanBrothers\n#Disney\ud83d\udcab\u2026
38,862130473270734849,Mary Poppins (1964) Download Full Movie HD\nDownload Link:
39,862119336562917377,Watching #MaryPoppins bc obviously Im 6. \u2764 #julieandrews JulieAndrews
40,862117336177754112,Yes! It went great! Love my job.
41,862114630134505472,Tangara's production of #MaryPoppins was simply spectacular! Well done to our staff &amp; students. Check out the photos
42,862100615647739904,RT Kenneth_Coombs_: What a ride. \ud83d\ude05\u2764\ufe0f
43,862099884178120705,"Lauren R., Mary Poppins is heading your way, thank you. #marypoppins #quote #jewellery #jewelry..."
44,862097915237605376,"RT TheRoyalFootman: Here is some more stills of Emily Blunt as #MaryPoppins in 'Mary Poppins Returns,' the new sequel to Disney\u2019s 1964 fil\u2026"
