,tweet_id,text
0,862379859099738112,\u26a0\ufe0fPSA for the #Bitcoin community\u26a0\ufe0f\n\n#Minions cannot be owned or bought! Minions show up and follow only villainous\u2026
1,862377146714554373,Minions (2015) Download Full Movie HD\nDownload Link:
2,862377134261760000,RT BandisGrand: When you wanna trombone but you're really a minion. #trombone #band EPPenguins
3,862371515119095812,"RT claranellist: This came up when I searched for GIFs of CERN. I don't know where it's from, but it's cool!"
4,862367733069086723,"\""Exercise? I thought you said extra fries!\"" LOL!"
5,862367191135657984,Yupppp  :p\n.\n#anime #meme #minions #trap #quotes #minionsquotes #despicableme #notmyedit\u2026
6,862366582504390660,"RT claranellist: This came up when I searched for GIFs of CERN. I don't know where it's from, but it's cool!"
7,862366356846641155,Too Late For Coffee Too Early For Alcohol\n\nVIDEO:
8,862363140444618756,Minions Bob Interacts with Teddy Bear $22.99 via  tags \u2665 #minions #despicableme\u2026
9,862362157387718657,RT namkook_daily: the cutest #minions rule the world
10,862361455273881604,"This came up when I searched for GIFs of CERN. I don't know where it's from, but it's cool!"
11,862355382852825088,#Minion #Party #CustomBanner Garland #HappyBirthday  #Etsy #kidsbirthday #birthday #minions\u2026
12,862355265374605312,RT kburton_25: .Minions are always waking me up ... but I can never stay mad at them ! \ud83d\ude02 #MischievousMinions #Minions \ud83c\udf4c
13,862351867308908544,"RT TrendingNowGift: Despicable Me #MINIONS Vampire Buddy Gone Batty Stuffed 5.5\"" #PlushToy Doll NWT   via eBay"
14,862348592895414272,"\""Exercise? I thought you said extra fries!\"" LOL!"
15,862348585626734592,Minions Wind-Action Bopping Along Bob Fun Action $8.99 via  tags \u2665 #minions #despicableme\u2026
16,862347512526643200,Minions Official Trailer #2 (2015) - Despicable Me Prequel HD\nMinions (2015)\nWatch:
17,862346772236165125,I guess I should be #FLATTERED that these #MINIONS put so much #emotional &amp; #financial #effort in trying to #KILL ME! #BoostMyEgo LMAO
18,862344585791627267,"RT GravitateSol: Our Director of Sales, jbohi, is making new friends left and right at digi_now #diginow #minions UniStudios"
19,862342969608855553,RT Minions: Make way for the #Minions.
20,862341487241162752,RT Fiction_Fan: NATIONAL STATIONERY WEEK #GIVEAWAY\n#Minions bundle!\nFollow &amp; RT to enter\n\nEnds 21st May 2017\nUK entrants only\n48 hours to\u2026
21,862341458610860032,Plz #remove these #putin #representatives including realdonaldtRUMP &amp; #minions from our #WhiteHouse &amp; #fumigate 2\u2026
22,862340808908963840,RT lifewithheidig: Despicable Me 3 in theaters June 30 villainy runs in the family Watch the trailer 4
23,862340578587144196,"Our Director of Sales, jbohi, is making new friends left and right at digi_now #diginow #minions UniStudios"
24,862340120569098240,Lark. It's beautiful. Thank you. \ud83c\udf19
25,862339719123927042,TrueFactsStated ndylan1 And his whole gang of
26,862337180873744386,#Unbelieveable &amp; realdonaldtRUMP his family &amp; #minions demonstrate their belief they R #AboveTheLaw &amp; #entitled\u2026
27,862335563533361154,"Despicable Me MINION 14\"" Pillow Pal Buddy Plush Stuffed Toy Super Cuddly Soft $4.99 via  t\u2026"
28,862333609298067456,Despicable Me 3 in theaters June 30 villainy runs in the family Watch the trailer 4 #DespicableMe3 #Minions\u2026
29,862333340606767104,I can't wait to see this. I love the
30,862331364238123008,Star Trek Logo and Ship Geo Black: Backpack/tote #geekery #minions #drwho #pokemon #unique #backpack #enterprise...
31,862331357808271360,Star Trek Logo and Ship Geo Black: Backpack/tote
32,862327323491680256,RT Fiction_Fan: NATIONAL STATIONERY WEEK #GIVEAWAY\n#Minions bundle!\nFollow &amp; RT to enter\n\nEnds 21st May 2017\nUK entrants only\n48 hours to\u2026
33,862324290800287744,RT TtotheBo: We recruited some new members for the CinemaAnalytics team! #minions #KINO2017 \ud83c\udde9\ud83c\uddea
34,862321980506353668,We recruited some new members for the CinemaAnalytics team! #minions #KINO2017 \ud83c\udde9\ud83c\uddea
35,862320478362492928,MINION BOB Interacts with Teddy Bear Despicable Me Minions Movie Talking Toy NEW $24.99 via
36,862315687259275264,MINIONS Interactive Talking STUART with Guitar Despicable Me Minion Toy Doll New $28.00 via
37,862313988247494657,30 Ways #Interns Are Just Like #Minions -  \n\n
38,862311651160326146,DIY #Minions Themed #Craft and Activities for Kids
39,862309552322207744,The #directors of #DespicableMe actually wrote a #language for the gibberish the #minions speak throughout the film.Each word has a meaning.
40,862306394762039298,ROFL!\n\n
41,862305432488087552,"HUGE MINION LOT - all new - blanket, yoyo, backpack, toys, Candy Despicable Me. $49.99 via"
42,862302622765559808,Ok once again for the #lemmings &amp; mindless #minions #repeat after us: Not the #Russians Not #Russia Not #Putin RT\u2026
43,862301905195630593,RT namkook_daily: the cutest #minions rule the world
44,862301558117199872,So many #minions jokes...
45,862300060008284160,RT UniversalIND: Sing along with the #Minions !
46,862299112032665600,And that's how #minions were created.
47,862296751482556416,5/6/17 Beach Minion! \ud83c\udf0a\ud83c\udf4c\n
48,862294799226896384,NixonLibrary ARFoodie Nixon was just like Obama. He controlled the Director of the FBI.
49,862291041197707264,RT Fiction_Fan: NATIONAL STATIONERY WEEK #GIVEAWAY\n#Minions bundle!\nFollow &amp; RT to enter\n\nEnds 21st May 2017\nUK entrants only\n48 hours to\u2026
50,862285516963811328,Star Wars Star Wars XWings and Millennium Falcon: Backpack/tote #minions #drwho #pokemon #unique #geekery\u2026
51,862281612515573761,RT: Watch Minions (2015) Online on #Flixano\nStart Free Trial:
52,862281017633198080,RT MINlONS: \u24d2 \u263a\ufe0f\u2728 Designed by herself!!! #hallscatering #hallstakesthecake #birthday #cake #cakes #volcano #minions #ninja #n...
53,862280588899823617,RT writingprompto: HAPPY BIRTHDAY kallojaths \n#minions \n#minions\n
54,862276246469844992,A #minions scene for today's
55,862273128537276416,Sing along with the #Minions !
56,862272911234748417,"outdoorfungears This is my last reply but for the sake of ur poon, please stop being a mindless turds. U can do be\u2026"
57,862272629947998209,"Despicable Me Movie Minions Stuart &amp; Maid 10\"" Soft Plush Stuffed Toys Lot of 2 $12.00 via"
58,862272465405399040,RT Fiction_Fan: NATIONAL STATIONERY WEEK #GIVEAWAY\n#Minions bundle!\nFollow &amp; RT to enter\n\nEnds 21st May 2017\nUK entrants only\n48 hours to\u2026
59,862270014761484288,"RT DespicableMe: This summer, villainy runs in the family. The new trailer for #DespicableMe3 is here."
60,862261369651032064,Carlina_May mackenziecarey THE CARLS
61,862259027182469120,RT UniversalPicsAU: The #Minions have something to celebrate... #DespicableMe3 lands in cinemas next month! Check out the trailer:
62,862247373891883008,Minions - Bob British Invasion Deluxe Action Figure (20195) by ... Free Shipping $37.93 via
63,862247363087400960,Minions Deluxe Action Figure - Bob with Teddy Bear Free Shipping $16.57 via  tags \u2665\u2026
64,862243534501548033,RT Minions: Make way for the #Minions.
65,862242395383107589,Good night twitter! \u2665 \n-- \n
66,862240977913880576,RT Craftyscienc1: Star Trek Blueprints ships blue: Backpack/tote
67,862240577282347012,Star Trek Blueprints ships blue: Backpack/tote
68,862238362731773952,RT Minions: Make way for the #Minions.
69,862233703765946375,Despicable Me 2 - Minion Ninja - Posable Figure by Thinkway Toys Free Shipping $10.38 via
70,862227549631459328,Its one of those days \ud83d\ude2c\ud83d\ude2c\ud83d\ude02\n
71,862222407993622528,"Sometimes all you need is #family, #guitar and a #good weather!\nEnjoy your #holidays wherever you are \ud83c\udf05 Like\u2026"
72,862211857775382529,"10 films that received bad reviews, but did well at the box office. #Minions and #Shrek appear:\u2026"
73,862207143839232000,RT Fiction_Fan: NATIONAL STATIONERY WEEK #GIVEAWAY\n#Minions bundle!\nFollow &amp; RT to enter\n\nEnds 21st May 2017\nUK entrants only\n48 hours to\u2026
74,862202313125089281,Watch Minions (2015) Free Online \nLink:  \n
75,862200532663980032,RT Fiction_Fan: NATIONAL STATIONERY WEEK #GIVEAWAY\n#Minions bundle!\nFollow &amp; RT to enter\n\nEnds 21st May 2017\nUK entrants only\n48 hours to\u2026
76,862199129539174400,Toaster alert! Toaster alert! Mindless #minions #liberal bots get w/ ur KeithOlbermann idiot kind &amp; get paid by\u2026
77,862195463356792832,RT TheCFTWatchers: Toaster alert! Toaster alert! Mindless #minions #liberal bots get w/ ur KeithOlbermann idiot kind &amp; get paid by #Georg\u2026
78,862195450111242240,Star Trek Enterprise:Backpack/tote
79,862195446227382272,Star Trek Enterprise:Backpack/tote
80,862194740841766912,Toaster alert! Toaster alert! Mindless #minions #liberal bots get w/ ur KeithOlbermann idiot kind &amp; get paid by\u2026
81,862194105497001984,RT SOFOlympiad: #Cartoon #Minions #CartoonCharacter#InterestingFacts #SOF #sofolympiadtrainer #sofolympiad #quiz \nConnect with us on
82,862188029787557888,RT Fiction_Fan: NATIONAL STATIONERY WEEK #GIVEAWAY\n#Minions bundle!\nFollow &amp; RT to enter\n\nEnds 21st May 2017\nUK entrants only\n48 hours to\u2026
83,862184537228361728,Toaster alert! Toaster alert! Mindless #minions #liberal bots get w/ ur KeithOlbermann idiot kind &amp; get paid by\u2026
84,862184146264670208,Toaster alert! Toaster alert! Mindless #minions #liberal bots get w/ ur KeithOlbermann idiot kind &amp; get paid by\u2026
85,862181619976634368,RT NoKingButJesus: Thank you POTUS\n4\nFIRING\n#JamesComey #TheWeasel #YoureFired\nINVESTIGATE\n#Barack\n#Hillary\n#GeorgeSoros\n&amp;\n#Minions\n4\n#Se\u2026
86,862178548366401538,RT OxAmOsxO: Check out #Minions Tub Time Activity New In Box #bathtime  via eBay
87,862176767783469056,Ok once again for the #lemmings &amp; mindless #minions #repeat after us: Not the #Russians Not #Russia Not #Putin RT\u2026
88,862176693880074240,RT nyoomiku: \u250f\u2513  \n\u2503\u2503\u2571\u2572 in this\n\u2503\u2571\u2571\u2572\u2572  house\n\u2571\u2571\u256d\u256e\u2572\u2572  we \n\u2594\u258f\u2517\u251b\u2595\u2594    love\n\u2571\u2594\u2594\u2594\u2594\u2594\u2594\u2594\u2594\u2594\u2594\u2572  \n           #Minions \n\u2571\u2571\u250f\u2533\u2513\u256d\u256e\u250f\u2533\u2513 \u2572\u2572 \n\u2594\u258f\u2517\u253b\u251b\u2503\u2503\u2517\u253b\u251b\u2595\u2594
89,862176200956956672,\u250f\u2513  \n\u2503\u2503\u2571\u2572 in this\n\u2503\u2571\u2571\u2572\u2572  house\n\u2571\u2571\u256d\u256e\u2572\u2572  we \n\u2594\u258f\u2517\u251b\u2595\u2594    love\n\u2571\u2594\u2594\u2594\u2594\u2594\u2594\u2594\u2594\u2594\u2594\u2572  \n           #Minions \n\u2571\u2571\u250f\u2533\u2513\u256d\u256e\u250f\u2533\u2513 \u2572\u2572 \n\u2594\u258f\u2517\u253b\u251b\u2503\u2503\u2517\u253b\u251b\u2595\u2594
90,862175591482748928,RT namkook_daily: the cutest #minions rule the world
91,862175250892587013,Human Turns Her Dogs Into Minions\n\nVIDEO:
92,862173262880665600,#Cartoon #Minions #CartoonCharacter#InterestingFacts #SOF #sofolympiadtrainer #sofolympiad #quiz \nConnect with us o\u2026
93,862172440235003905,RT OxAmOsxO: Check out #Minions Tub Time Activity New In Box #bathtime  via eBay
94,862169756287197184,RT NoKingButJesus: Thank you POTUS\n4\nFIRING\n#JamesComey #TheWeasel #YoureFired\nINVESTIGATE\n#Barack\n#Hillary\n#GeorgeSoros\n&amp;\n#Minions\n4\n#Se\u2026
95,862167670354886657,RT NoKingButJesus: Thank you POTUS\n4\nFIRING\n#JamesComey #TheWeasel #YoureFired\nINVESTIGATE\n#Barack\n#Hillary\n#GeorgeSoros\n&amp;\n#Minions\n4\n#Se\u2026
96,862167182548934657,RT NoKingButJesus: Thank you POTUS\n4\nFIRING\n#JamesComey #TheWeasel #YoureFired\nINVESTIGATE\n#Barack\n#Hillary\n#GeorgeSoros\n&amp;\n#Minions\n4\n#Se\u2026
97,862164330690826240,LOT of 12 Mega Bloks Despicable Me Easter Minion SEALED Blind Pack $34.99 via  tags \u2665\u2026
98,862161969775771648,"RT DespicableMe: This summer, villainy runs in the family. The new trailer for #DespicableMe3 is here."
99,862160905693417472,Time to start working on the detailed minion pages and rankings/statistics! What feature are you most looking forward to?
100,862156889219584001,HAPPY BIRTHDAY kallojaths \n#minions \n#minions\n
101,862156299768868865,#Minions Jingle Bells \n
102,862155656723406849,Funko Minions STUART w/ GUITAR Mystery Minis Vinyl Figure Movie Loose $3.99 via  tags \u2665\u2026
103,862153732427059200,RT OlgaKay: The #Minions are after me at UniversalORL \ud83d\ude44\ud83d\ude44\ud83d\ude44\nMore on my #Snapchat RealOlgaKay\n#PlaylistLiveatUniversal \n#UniversalMoments ht\u2026
104,862151379099369473,RT UniversalPicsAU: The #Minions have something to celebrate... #DespicableMe3 lands in cinemas next month! Check out the trailer:
105,862147787227574274,"\""Exercise? I thought you said extra fries!\"" LOL!"
106,862140108300070913,#Ultimate #Hippocrit trying 2 #Distract Us w/ #BS We don't #Trust or #Believe realdonaldtRUMP or his #lying\u2026
107,862139287617155072,RT HBHS_basebll: Proud of our fighting jv's.  Good work boys.
108,862138654872948738,Proud of our fighting jv's.  Good work boys.
109,862136753016229888,Check out #Minions Tub Time Activity New In Box #bathtime  via eBay
110,862135095754240002,RT namkook_daily: the cutest #minions rule the world
111,862132751713132544,"\""Exercise? I thought you said extra fries!\"" LOL!"
112,862129149791670274,"BRAND NEW POP MOVIES, \""DESPICABLE ME 3\"", TOURIST JERRY MINION, #419, FIGURE $10.99 via  ta\u2026"
113,862126645913821190,Despicable Me 2 Light Up Eye Talking Evil Minion $23.97 via  tags \u2665 #minions #despicableme\u2026
114,862120815051108358,HES SO FLUFFY.
115,862114791137128448,RT 3need_96: When  UR BFF know UR weakness \ud83d\ude02\ud83d\udc94 #Minions\u00a0 \ud83d\udc9b
116,862111596419719168,Putting a positive spin on things. \ud83d\ude01\ud83d\ude01\ud83d\ude01 #tickles #ticklesph #happinessallyearround #minions #trip\u2026
117,862111103312121856,29/366 :: Everyone is Oldest's Star Trek Gold Logo: Backpack/tote
118,862110917449965568,Fun kids games #SubwaySurfers Monaco vs Despicable ME #Minions Rush   YouTube
119,862107796594073600,RT UniversalPicsAU: The #Minions have something to celebrate... #DespicableMe3 lands in cinemas next month! Check out the trailer:
120,862107314299555840,A little birthday fun at
121,862106475170340864,"\""Exercise? I thought you said extra fries!\"" LOL!"
122,862105921572491265,Rt if you like #minions \ud83d\ude0d \nKeep scrolling if you believe in Jesus \ud83e\udd26\u200d\u2642\ufe0f\ud83d\ude02
123,862104092692234240,Star Trek Blue Logo: Backpack/tote
124,862103578516783104,"RT DespicableMe: This summer, villainy runs in the family. The new trailer for #DespicableMe3 is here."
125,862102721142370305,"Despicable Me #MINIONS Vampire Buddy Gone Batty Stuffed 5.5\"" #PlushToy Doll NWT   via eBay"
126,862097960389292034,Selfie \n\n#Minions \ud83d\udc9b
127,862097864033525760,Watch Minions (2015) Online on #Flixano\nStart Free Trial:
128,862096393447407616,#MinionsBananaFlavorCreamOreo w/pictures of #Minions and honey gramcracker flavored cookie.
129,862093180807692288,There is a person wearing a Minions meme t shirt on this train and I made this exact face when I saw it\u2026
130,862087410464677888,Thank you POTUS\n4\nFIRING\n#JamesComey #TheWeasel #YoureFired\nINVESTIGATE\n#Barack\n#Hillary\n#GeorgeSoros\n&amp;\n#Minions\n4\u2026
131,862086840207200256,"\""Exercise? I thought you said extra fries!\"" LOL!"
132,862082813658640384,theraveneffect hopefully you figured out who you really are \ud83d\ude02
133,862080819699093506,"Despicable Me Minion Made Agnes the Unicorn Plush Pillow toy 16\"" stuffed animal $10.00 via"
134,862080595546882049,When  UR BFF know UR weakness \ud83d\ude02\ud83d\udc94 #Minions\u00a0 \ud83d\udc9b
135,862079797249417217,How about you? \n
136,862078195331473408,Minions take over room 115! #amdonenowwhat #minions Minions
137,862077670204559361,Movie Tumblin' Stuart Minion Interactive Talking Figure Doll Thinkway NIB New $50.00 via
138,862073788195901444,Minions Movie Banana Kevin Action Despicable Me Cute Nib Toy Kids Talking Figure $48.00 via
139,862073625997746176,RT mallofamerica: Minion lovers assemble! Meet + greets with Kevin + Stuart are happening now until 3 p.m. at the Rotunda! \ud83d\udc9b #Minions Des\u2026
140,862067488686735361,"\""Exercise? I thought you said extra fries!\"" LOL!"
141,862065902983958528,RT UniversalPicsAU: The #Minions have something to celebrate... #DespicableMe3 lands in cinemas next month! Check out the trailer:
142,862063680569176064,Minions Despicable Me Plush Stuffed Figures Happy Meal Toys $12.50 via  tags \u2665 #minions\u2026
143,862061828792352768,Too Late For Coffee Too Early For Alcohol\n\nVIDEO:
144,862059281721544706,Win or Die  -  2 in 1 Backpack/tote cotton canvas Custom Print made to order #geekery #minions #drwho #pokemon...
145,862058633974218755,"Universal Studios Despicable Me Minion MOM 11\"" Plush Doll $19.99 via  tags \u2665 #minions\u2026"
146,862057307907260418,RT Fiction_Fan: NATIONAL STATIONERY WEEK #GIVEAWAY\n#Minions bundle!\nFollow &amp; RT to enter\n\nEnds 21st May 2017\nUK entrants only\n48 hours to\u2026
147,862055921647837187,"\""Exercise? I thought you said extra fries!\"" LOL!"
148,862048444088811520,mrsliligee smashing the shite out of #minions tonight in #penzance #cornwall #holidaytime \ud83d\ude02 \u2026
149,862046226866462720,RT _rebelyells: pegoryu \ud83d\ude25\ud83d\ude25\ud83d\ude25*sighs those kin stealing \ud83d\ude22 #Minions thieves.........
150,862046086319415296,pegoryu \ud83d\ude25\ud83d\ude25\ud83d\ude25*sighs those kin stealing \ud83d\ude22 #Minions thieves.........
151,862045733209460739,RT iamtoktoktoktok: enjoy your weekend\ud83d\ude09 #minions #streetphotography #streetphoto #Saitama #Japan #May #Spring #fujifilm #xpro2 #fujixs\u2026 ht\u2026
152,862044609316368384,"Number 17, just like Talaton itself, has to be a winner!\n\n"
153,862044086152384513,"\""Exercise? I thought you said extra fries!\"" LOL!"
154,862042716900921345,"A7. I use Kryptonite. Also I am finding #Minions particularly effective when deployed \""en masse\"""
155,862041003183702016,New Universal Studios Despicable Me Minion SIPPER Drink Cup Mug Bottle 24oz.++ $12.95 via
156,862033020383002628,"\""Exercise? I thought you said extra fries!\"" LOL!"
157,862030513976090626,RT Fiction_Fan: NATIONAL STATIONERY WEEK #GIVEAWAY\n#Minions bundle!\nFollow &amp; RT to enter\n\nEnds 21st May 2017\nUK entrants only\n48 hours to\u2026
158,862030190913781760,RT Fiction_Fan: NATIONAL STATIONERY WEEK #GIVEAWAY\n#Minions bundle!\nFollow &amp; RT to enter\n\nEnds 21st May 2017\nUK entrants only\n48 hours to\u2026
