,tweet_id,text
0,862002026699476992,#jarjarbinks working on his street cred
1,861890288490622976,JOwnsworth I can't believe you are making them wait so long for the exciting details of that trade agreement!!
2,861585615170699265,Maul stare off #darthmaul #maul #phantommenace #starwarsagalaxyfarfaraway
3,861532460349358080,Oh shit #starwars #thephantommenace #phantommenace #et #theextraterrestrial #yoda #georgelucas
4,861385637882204161,Ship just blew up...I think they know I'm a Jedi.
5,861356731649097729,Final #PhantomMenace question: has George Lucas apologised yet?
6,861353598441205760,"#PhantomMenace question 1,082: WHY AREN'T THEY AIMING FOR JARJAR"
7,861353154272784385,"#PhantomMenace \""This is tense!\"" Question, eh, 43(?!): is it?"
8,861350101356351489,"#PhantomMenace question... fuck it, I've lost track, I'm drunk. But is a damp motorboat the sign of a binding alliance?!"
9,861345647265538048,"#PhantomMenace \""Hard to see, the dark side is.\"" Has Yoda considered a torch?"
10,861345195991945216,"#PhantomMenace \""the situation has become complicated\"". I'll say. You kidnapped a child and left his mom enslaved mate."
11,861339471064780801,#PhantomMenace side note 2: I feel the introduction of sand people to motor racing could really spice up
12,861336472686919680,#PhantomMenace question 6: could Qui-Gon sound any more like a paedophile to that slave master?!
13,861334086912270336,#PhantomMenace question 5: how much time has the parts dealer spent in downtown New York?
14,861332378697990144,"#PhantomMenace Hi, I'm Anakin Skywalker, welcome to my crib"
15,861330139568906240,#PhantomMenace question 4: when does someone get taken and can it please be #JarJar for the love of god
16,861329027302400001,#PhantomMenace question 3: who was Ewan McGregor's dialect coach and is public whipping still legal?
17,861324315148660737,"#PhantomMenace question 2: why #JarJar exists. Just, why."
18,861323447401664514,#PhantomMenace question 1: why are they Japanese?!
19,861226360848699399,"Just finished #PhantomMenace, now on to"
20,861211176516149248,Dark troopers#starwars #yoda #phantommenace #darthmaul #anakinskywalker #credits #sith #jedi
21,861040137349844994,"Said it before, will say it again. Love #StarWars but #PhantomMenace isn't watchable &amp; that's the bombad truth"
22,860986739606732800,#darthmaul #maythesith #sith #phantommenace #starwars #starwarsweek  Berkley Riverfront Park
23,860986326778335232,Love this Lightsaber duel!Darth Maul vs Obi-Wan Kenobi (part 2)
24,860984835413864448,Love this Lightsaber Duel Darth Maul vs Obi-Wan Kenobi (part 1)
25,860930603373428736,People really waited 16 years with no #StarWars films for one about trade blockades and podracing? #PhantomMenace is SO slow and pointless.
26,860929055943688195,You know when one of your lead characters has to say 'this is tense' that really it's anything but...
27,860842418761064448,"I didn't know Chancellor Valorum was played by Terence Stamp (\""Zod\"") #StarWars #PhantomMenace TerenceStamp_"
28,860816474629439488,Are all the Star Wars movies this bad?
29,860705764884611072,The Darth Maul fight in Phantom Menace is still great.
30,860623697337622529,#HappySithDay  zitanacosplay as #DarthMaul from #PhantomMenace  Pic by nancy_napalm
31,860532445296427008,Regrann from wyrdamur - Happy #maytheforceday  #maytheforce #starwars #yoda #phantommenace #darthmaul
32,860481758986293248,"For a good #FridayFeeling, and to help exact #RevengeOfTheFifth, watch #PhantomMenace.  #DarthMaul #gonetoosoon"
33,860478119592984577,REVENGE OF THE FIFTH Happy Star Wars Day#starwars #yoda #phantommenace #darthmaul
34,860472422570524672,GET MORE 86 FRIENDS FREE   #suahour #PhantomMenace #Britishmade nada83302 AlanGh_02
35,860441542951141377,#RevengeOfThe5th WATCH IAMRayPark aka Darth Maul's thrilling debut in
36,860319236165599232,Why is there a child sized pilot helmet in the fighter Anakin hides in.
37,860315594557718529,Reasons why I want a double edge light saber.
