,tweet_id,text
0,862353388201287680,#ToryElectoralFraud The nose on that #Muppet #TheresaMay must have outgrown #Pinocchio's
1,862331173929922560,RT shwanpai: \u300e\uff30\u300f is for the #Pinocchio\n#\u7d75\u63cf\u304d\u3055\u3093\u3068\u7e4b\u304c\u308a\u305f\u3044 #\u3044\u3044\u306d\u3057\u3066\u304f\u308c\u305f\u4eba\u5168\u54e1\u30d5\u30a9\u30ed\u30fc\u3059\u308b\u3000#\u5275\u4f5c\u30af\u30e9\u30b9\u30bf\u3068\u7e4b\u304c\u308a\u305f\u3044\u3000 #illustration #characterdesign \n#AnimalAlphabets An\u2026
2,862319843198021633,I love this scene #Pinocchio \ud83d\udcfa\ud83d\udc4c
3,862308252326821894,realDonaldTrump The investigations getting too close to the truth Mr. Trump? LOCK HIM UP! #UNAmerican #UNethical\u2026
4,862307035270057984,binge watching \ud83d\udc41\ud83d\udc41\u2763\ud83d\udcbb\n#pinocchio #kdrama #leejongsuk #parkshinhye #\ud53c\ub178\ud0a4\uc624 #\uc774\uc885\uc11d #\ubc15\uc2e0\ud61c
5,862307026206162944,"Vtg #Disneyland  #pinocchio  12\"" Plush Stuffed Animal from Disney in the 80's  eBay"
6,862306073860075520,"RT Viki: If #ParkShinHye isn't a goddess, who is?  Mamonde Korea\n\n#Doctors #Pinocchio #Heirs #FlowerBoyNextDoo\u2026"
7,862305002643234817,realDonaldTrump CNN Hmm? These fake news lies are a direct attack upon your character and credibility.  Shouldn't\u2026
8,862294964524462081,\ud83c\udfb2#LAC2017 #Pinocchio #Tournament\n#BlackDiamond #Casino\n\ud83c\udfc51st Prize $10000\n\ud83c\udf962nd Prize $7500\n\ud83c\udf963rd Prize $5000\n\ud83c\udf10\u2026
9,862284363358142464,This isn't at all scary.\nNot one bit.\n
10,862279721064828928,BREAKING NEWS: #TRUMP RUSHED 2 GW HOSPITAL W/ SERIOUS BURNS ON POSTERIOR. PANTS ON FIRE
11,862263571006095360,RT DarlingCouple_: Beautiful in White~ \ud83d\udc98\n\n
12,862245859316072448,Top #acting opportunities coming up for actors in #Aylesbury - we're casting Ibsen's #ADollsHouse and our #panto\u2026
13,862235563688120320,Expert's review on graphical strategy #Pinocchio Let's talk about Pinocchio principle of binary options \u00a0
14,862213566614519808,RT DarlingCouple_: Beautiful in White~ \ud83d\udc98\n\n
15,862212832770768897,RT DarlingCouple_: lol dal po \ud83d\ude02\n\n
16,862212303864741888,RT DarlingCouple_: Beautiful in White~ \ud83d\udc98\n\n
17,862207453743661056,Beautiful in White~ \ud83d\udc98\n\n
18,862190786284208129,RT shwanpai: \u300e\uff30\u300f is for the #Pinocchio\n#\u7d75\u63cf\u304d\u3055\u3093\u3068\u7e4b\u304c\u308a\u305f\u3044 #\u3044\u3044\u306d\u3057\u3066\u304f\u308c\u305f\u4eba\u5168\u54e1\u30d5\u30a9\u30ed\u30fc\u3059\u308b\u3000#\u5275\u4f5c\u30af\u30e9\u30b9\u30bf\u3068\u7e4b\u304c\u308a\u305f\u3044\u3000 #illustration #characterdesign \n#AnimalAlphabets An\u2026
19,862189389882966016,RT shwanpai: \u300e\uff30\u300f is for the #Pinocchio\n#\u7d75\u63cf\u304d\u3055\u3093\u3068\u7e4b\u304c\u308a\u305f\u3044 #\u3044\u3044\u306d\u3057\u3066\u304f\u308c\u305f\u4eba\u5168\u54e1\u30d5\u30a9\u30ed\u30fc\u3059\u308b\u3000#\u5275\u4f5c\u30af\u30e9\u30b9\u30bf\u3068\u7e4b\u304c\u308a\u305f\u3044\u3000 #illustration #characterdesign \n#AnimalAlphabets An\u2026
20,862185641362116609,RT DarlingCouple_: A Perfect Match~\ud83d\udc95\n\n
21,862184668350873600,Can we please give MalloryJansen ALL the Orphan Black awards?
22,862177663502471168,RT shwanpai: \u300e\uff30\u300f is for the #Pinocchio\n#\u7d75\u63cf\u304d\u3055\u3093\u3068\u7e4b\u304c\u308a\u305f\u3044 #\u3044\u3044\u306d\u3057\u3066\u304f\u308c\u305f\u4eba\u5168\u54e1\u30d5\u30a9\u30ed\u30fc\u3059\u308b\u3000#\u5275\u4f5c\u30af\u30e9\u30b9\u30bf\u3068\u7e4b\u304c\u308a\u305f\u3044\u3000 #illustration #characterdesign \n#AnimalAlphabets An\u2026
23,862174336542793729,RT shwanpai: \u300e\uff30\u300f is for the #Pinocchio\n#\u7d75\u63cf\u304d\u3055\u3093\u3068\u7e4b\u304c\u308a\u305f\u3044 #\u3044\u3044\u306d\u3057\u3066\u304f\u308c\u305f\u4eba\u5168\u54e1\u30d5\u30a9\u30ed\u30fc\u3059\u308b\u3000#\u5275\u4f5c\u30af\u30e9\u30b9\u30bf\u3068\u7e4b\u304c\u308a\u305f\u3044\u3000 #illustration #characterdesign \n#AnimalAlphabets An\u2026
24,862173594536824832,RT shwanpai: \u300e\uff30\u300f is for the #Pinocchio\n#\u7d75\u63cf\u304d\u3055\u3093\u3068\u7e4b\u304c\u308a\u305f\u3044 #\u3044\u3044\u306d\u3057\u3066\u304f\u308c\u305f\u4eba\u5168\u54e1\u30d5\u30a9\u30ed\u30fc\u3059\u308b\u3000#\u5275\u4f5c\u30af\u30e9\u30b9\u30bf\u3068\u7e4b\u304c\u308a\u305f\u3044\u3000 #illustration #characterdesign \n#AnimalAlphabets An\u2026
25,862169588968038400,RT DarlingCouple_: A Perfect Match~\ud83d\udc95\n\n
26,862161975488512001,RT DarlingCouple_: they are so adorable in this picture~\ud83d\udc98\n\n
27,862161930450075648,RT DarlingCouple_: THE WAY THAT HE SMILES!!! OMG!\ud83d\ude0d\n\n
28,862161889110970368,RT goblins_wifey: Let me do it baby \ud83d\ude0d cute cute!
29,862161851970355200,RT DarlingCouple_: A Perfect Match~\ud83d\udc95\n\n
