,tweet_id,text
0,862418088251338752,RT mandipie4u: #PiratesOfTheCaribbean activity sheets &amp; Edible Gold Coin #Recipe! Great 4 a Pirate Themed Party!
1,862418066520649729,RT PinkNinjaBlogg: We're going to Disneyland AND riding the #PiratesoftheCaribbean Ride during the #PiratesLifeEvent ... I WOULD FREAK! ht\u2026
2,862418030235717634,RT mandipie4u: #PiratesOfTheCaribbean activity sheets &amp; Edible Gold Coin #Recipe! Great 4 a Pirate Themed Party!
3,862418014297260032,RT mandipie4u: #PiratesOfTheCaribbean activity sheets &amp; Edible Gold Coin #Recipe! Great 4 a Pirate Themed Party!
4,862417871380643841,RT mandipie4u: #PiratesOfTheCaribbean activity sheets &amp; Edible Gold Coin #Recipe! Great 4 a Pirate Themed Party!
5,862417694502649856,RT PinkNinjaBlogg: I'm heading to the Red Carpet Premiere of #PiratesoftheCaribbean Dead Men Tell No Tales! Follow along 5/17- 5/20 #Pirat\u2026
6,862417535945379840,RT mandipie4u: #PiratesOfTheCaribbean activity sheets &amp; Edible Gold Coin #Recipe! Great 4 a Pirate Themed Party!
7,862417374410031104,RT mandipie4u: #PiratesOfTheCaribbean activity sheets &amp; Edible Gold Coin #Recipe! Great 4 a Pirate Themed Party!
8,862417090413768705,#PiratesOfTheCaribbean activity sheets &amp; Edible Gold Coin #Recipe! Great 4 a Pirate Themed Party! #PiratesLifeEvent\u2026
9,862416925623595008,RT IfodOnelmstreet: In less than 20 hours #JohnnyDepp will attend the #PiratesoftheCaribbean 5 World Premiere in Shanghai and he is defini\u2026
10,862416874872745984,RT PinkNinjaBlogg: PIRATE FACTS: Did you know zoesaldana from #GotGVol2 was also in the FIRST #PiratesoftheCaribbean film? Watch and see!\u2026
11,862416381945532416,I won tickets for the AP of #PiratesoftheCaribbean #DeadMenTellNoTales in Brussels \ud83d\ude0d thank you Kinepolis
12,862416286143459328,RT mandipie4u: #PiratesOfTheCaribbean activity sheets &amp; Edible Gold Coin #Recipe! Great 4 a Pirate Themed Party!
13,862415842071457793,"RT GeoffZanelli: At the scoring sessions for #PiratesoftheCaribbean 5, with director's Joachim R\u00f8nning and Espen Sandberg.  A PIRATES LIFE\u2026"
14,862414724989935616,"RT GeoffZanelli: At the scoring sessions for #PiratesoftheCaribbean 5, with director's Joachim R\u00f8nning and Espen Sandberg.  A PIRATES LIFE\u2026"
15,862414717360496646,RT PinkNinjaBlogg: I'm heading to the Red Carpet Premiere of #PiratesoftheCaribbean Dead Men Tell No Tales! Follow along 5/17- 5/20 #Pirat\u2026
16,862413889736134656,#FilmRatings: #PiratesoftheCaribbean #DeadMenTellNoTales is now classified #PG in
17,862413615269326854,RT PinkNinjaBlogg: Wondering who we will be interviewing from #PiratesoftheCaribbean: DEAD MEN TELL NO TALES while in LA next week? ME TOO\u2026
18,862412999662948353,RT Disney: Send for Sparrow. Tickets to #PiratesoftheCaribbean: #DeadMenTellNoTales are available now:
19,862412876224638976,"Johnny Depp, Orlando Bloom To Arrive In Shanghai Tomorrow! | Shanghai Expat"
20,862412789360369664,.johnnydeppcombr Disney WIP of #johnnydepp as #JackSparrow #PiratesoftheCaribbean #POTC5 #Disney #copicmarkers\u2026
