,tweet_id,text
0,862373404875382785,Julia Roberts in her Pretty Woman clothes. #PrettyWoman #JuliaRoberts #Pretty #Woman #movie #RoyOrbison
1,862308821795995648,#DianeLane was nearly cast in #PrettyWoman instead of #JuliaRoberts
2,862295409603096576,Who wants to buy one?!
3,862189212090736640,"A replica of the #PrettyWoman dress can be bought for 132!Though Julia Roberts looks stunning, do you want to we"
4,862157669385125888,There's been an info-mercial on the last few days called Pretty Women. Fool me once... #PrettyWoman #wheresjulia
5,862156387542999040,"The success of the film by MollyRingwald left her as a #PrettyWoman even if it went to JuliaRobertsTV later by her choice, she is a star."
6,862137031140487168,Beauty! &lt;3
7,862129946650525696,#nowplaying ROYORBISON 's #prettywoman on #metromornings with Jilpaa
8,862125720230744064,When me and my sister fight this gif was really cut throat
9,862111309847973888,The section of #RodeoDrive next to the #PrettyWoman #hotel BeverlyWilshire in LoveBevHills.
10,862107856992120834,momofjoshandcc CasePhotoLLC Don't hate... #CaseyAnthony #womancrush #LoveOnTheBrain #PrettyWoman #Jealous
11,862040071163314178,vbroszek On my list of favourite movies...'be still like vegetables. Lay like broccoli'
12,862025955233193984,I never knew your VirginAtlantic planes had different names. cool! manairport #rubytuesday #misssunshine
13,862024416154222592,Diane Lane revealed she almost landed Julia Robert's part in
14,862017984621158400,Big mistake. Huge.
15,862012077677752320,realpreityzinta congratulations #prettywoman
16,862010819571105792,Julia Roberts is People's 'MOST BEAUTIFUL WOMAN' Alive! Do You Agree?
17,861999232366112772,Could you imagine #PrettyWoman without Julia Roberts? See who almost played the iconic role:
18,861998837585637378,sexinthecity meets #prettywoman and then runs smack dab into DesperateABC! Great explain of my work! Thanks MarilynATaylor !
19,861995455609282562,Is #Asos really selling this iconic #prettywoman dress?!
20,861993809588224001,#DianeLane reveals she auditioned for #PrettyWoman - when it had a much darker ending
21,861992873679618048,#DianeLane reveals she auditioned for #PrettyWoman - when it had a much darker ending
22,861978991938424832,Roy Orbison for tonight's walking home song.. sending my sassiness off the scale
