,tweet_id,text
0,862277761498591232,Sometimes a direct approach works best... #RaidersoftheLostArk 1981 The greatest Adventure #Movie of all time!
1,862153925054550016,"Watching #RaidersoftheLostArk and expecting Belloc to get that nasty scar. Thanks a lot, FilmReroll"
2,862037043031003136,Stream Raiders of the Lost Ark (1981) on GeekerMoviesWatch Now:
3,861878193938157568,"Me and my monkey drinking whiskey... should be a country song, right? Lol. Watching #RaidersOfTheLostArk"
4,861723768326148098,MANvsGAME STRAFEgame And now I need to watch
5,861708153888571392,popculturequest #TheEmpireStrikesBack - it's the only one In the saga I missed first time round - that and
6,861700260468375552,Woke up too early... therefore #NetflixAndChill #IndianaJones #RaidersOfTheLostArk  watching Indiana Jones and The Raiders of The Lost Ark
7,861375468582440968,Watching #raidersofthelostark Another man crush on Harrison Ford circa 1981
8,861324827243589633,#StarWars is still best seen without #Commerials or is it #ads. Along with #Bullit and #RaidersoftheLostArk.
9,861323823165079553,Raiders of the Lost Ark (1981) Download Full Movie HDDownload Link:
10,861283850919563265,Watch Raiders of the Lost Ark (1981) Free Online Link:
11,861240402065674240,5/7: Now you have the Raiders of the Lost Ark theme music in your head.
12,861145838453698560,"#3Dprinting #3dprint of the day , Fertility Idol from #indianajones #raidersofthelostark , other #geek props here ="
13,861042810505580547,I'm going to have myself an Indiana Jones marathon
14,861038985560416256,...I might need to go back to church with this whole divine intervention coming from a golden ark O__o
15,861038637483294720,KEEP YOUR EYES SHUT!
16,861035642486231040,She's kidnapped again? Come on pre-shippuden Sakura!!!!
17,861034009127772161,Indie has extraordinary luck; picking these Nazi's off one by one is no easy feat
18,861031906745495556,Wilhelm scream!!!
19,861031111266271232,Jones always saving pre-shippuden Sakura
20,861029864824082432,"I'm not one to make \""Sakura\"" jokes but this main female lead -___-"
21,861028346645360640,Female lead is too hot headed and screams a lot. Not Vickii Vale levels but far more irritating
22,861025942898081792,Into the snake (Asp) pit. Light them up!
23,861016141992529920,"\""I'm your Goddamn partner!\"" so she's the main female and love interest for this huh?"
24,861015655180455936,The cast of #RaidersOfTheLostArk. *Not to scale
25,861011096701947905,He has a LOT of female students...
26,861010856854921216,"\""I HATE SNACKS!!!\"" XD"
27,861009851379580929,Karma is a bitch; that's why you don't be greedy
28,860994698319671297,Glad #Gremlins made it. I would add 3 #movies not considered horror but include scary parts: #TheGoonies
29,860944216318504962,The #ArkoftheCovenant from #IndianaJones and the #RaidersoftheLostArk is on display in the queue
30,860942170555113472,Love your processional KelseyNee! please consider exiting w/either the instrumental  from #TopGun or
31,860751841411444737,Raiders of the Lost Ark (1981) - Start Free TrialWatch Now:
32,860735854532100097,"Oh c'mon! In #RaidersOfTheLostArk, we at least had exploding heads.Then they give us this? One should never see *"
33,860568741079285761,"Sitting here trying to figure out how I can add \""Marion's Theme\"" from #RaidersOfTheLostArk into my wedding...."
34,860518819688742912,Happy 73rd Birthday and Best Wishes to #JohnRhysDavies! #LordOfTheRings #Gimli #RaidersOfTheLostArk #Sallah
35,860475457858351104,#RaidersOfTheLostArk #Ghostbusters #PulpFiction #ShaunOfTheDead #TheThing #WizardofOz #DieHard #predator to name a
36,860372770353532929,Raiders of the Lost Ark (1981) Full Movie HDDownload Now:
37,860288849825603585,#Role: Indiana Jones\r#Movie: Raiders of the Lost Ark (1981)\r#Actor: Harrison Ford\r
38,860215323655536640,See #IndianaJones #RaidersOfTheLostArk tomorrow! Make sure to catch the two day only special
39,860196455029649408,When LASTEXITshirts have a sale and you have a wishlist and a credit card #Jaws #Alien3 #BackToTheFuture
40,860195190354714630,Raiders of the Lost Ark (1981) Download Full Movie HDDownload Link:
41,860146413530894340,I totally thought that this was Belloq at first.
42,859946296727281666,Nice still shot from the film on this one! New in the shops. #raidersofthelostark #80s
43,859837066523365376,In full chill mode today. Watching the whole Indiana Jones series on my off day.
44,859826771662823424,Watch Raiders of the Lost Ark (1981) Free Online Link:
45,859797495320334336,Stream Raiders of the Lost Ark (1981) on GeekerMoviesWatch Now:
46,859749424897171456,Your next #Random80s moment.
47,859518938090262530,Watch Raiders of the Lost Ark (1981) on FlixanoStart Free Trial:
48,859421872143912960,The latest City Lights on Sunset Blvd.!  Thanks to YehmoviesCom
49,859419837008838656,"#IndianaJones  fans, #DYK that the Ark of the Covenant is in #Ethiopia?  #VisitEthiopia"
50,859398462714126336,"I have this #theory, StephenKing and peterstraubnyc, that #thetalisman's ending was inspired by #Raidersofthelostark on #VHS? Maybe?"
51,859328672997687296,"leighsales And #Superman, #RaidersOfTheLostArk and the powerful #SchindlersList amongst many others!"
52,859276686482972672,"1. Marian is fucking ANNOYING2. Jones is a DICK3. Nazis really suck(ed)4. The acting is...wow, atrocious"
53,859247576142491648,Pandoras Nuclear Box in Kiss Me Deadly (1955)  // Great review!
