,tweet_id,text
0,862166010492792834,Watch Rain Man (1988) on #nowtv (14-Day Free Trial)Watch it here:
1,862083455177420801,Deep run on my PokerStarsUK micro game while finishing #RainMan #classic before switching to JasonSomerville on TwitchPoker via Xbox
2,862029380641533953,You suck ValeriaGolino1
3,861961326268223489,Now I know how Charlie Babbitt felt about his Lamborghini's not being allowed to pass emissions.
4,861847261210451968,Just got smashed playing pairs with the boy &amp; I was trying really hard as well!
5,861802177580253184,realDonaldTrump #rainmanFake news fake news fake news
6,861801927100686336,realDonaldTrump You are seriously CRAZY! ENOUGH with the fake news shite!
7,861670272528773120,This is awesome. Had the pleasure of working with Rashid AdbrainTech &amp; if anyone can solve big challenges like thi
8,861653132400635905,#PeoplesDrugMart Terrace is #nowplaying Bring Back The Summer (feat. Oly) by
9,861596340387819521,It's raining 3 pointers in Tripoli #MotHom #Rainman #majnounee
10,861560629043351552,JekyllorHydecom KeshaTedder #rainman twitching
11,861484855514759172,#Nissan #SanMarcos is #nowplaying Bring Back The Summer (feat. Oly) by
12,861397345233235969,holly fucking shit bruh #RainMan lol
13,861208468858040320,These Five Savants Sho
14,861123077102501888,UCLA UCLAMBB UCLA FANS - ARE YOU READY FOR THE #RAINMANLiAngeloBall ZO2_ MeIoD1P  #BigBallerBrand #BigBaller
15,861066264139235330,Watch Rain Man (1988) on #NowTV (14-Day Free Trial)Go watch it:
16,860669987484307456,"#RainMan (1988)- Theme - \""Leaving Wallbrook/On The Road\"" by #HansZimmer #King..."
17,860446865799745536,"As many times I watch #RainMan I still fall in love with it, as if I am watching it for the first time."
18,860262287541587968,Old but gold.
19,860160139327885312,"\""#dash\"" dont \""#RainMan\"""
20,860130947487981568,How to Pronounce Vern Mikkelsen (NBA) RT
21,860122334136590336,As someone who lives with #ASD Summergirl43 says that she can't watch #Rainman without getting mad. #AutismGA2017 etnow
22,860121959430017025,Celine Saulnier says that #Hollywood has come a little my way since #Rainman #AutismGA2017 etnow
23,859963499426045953,Watch Rain Man (1988) on #nowtv (14-Day Free Trial)Watch it here:
24,859959259924234241,#Nissan #SanMarcos is #nowplaying Bring Back The Summer (feat. Oly) by
25,859942817522569216,"I find you offensive, for finding me offensive"
26,859912767855362048,mistergee305 For me it was...all numbers conversion.
27,859825464776552449,_EchoesOfGlory Statto_74 his 2nd debut I believe was on Sun 28 Dec at WHL v Arse. It was 1-1 as I recall and I wa
28,859800501965258756,"Need an hour and clear sight for pro 100k 165,000 2012. Olympics was #Rainman Million plus.  Who knows. Saw it. 133 in proof."
29,859779923719880704,williamlegate realDonaldTrump You have literally stated this at least 100 times.
30,859745519589101575,Ah! Seems like a remake of #Rainman. Is it?
31,859739519565934592,"Show us your #electoralcollege map again, that will make you feel better."
32,859712851262484480,Got new bootleg for omgRainMan bring back the summer it's will be  #rainman #bringbackthesummer #ableton
33,859420573692289026,Remember #DustinHoffman's Oscar winning performance in #RainMan? See it again this month on SC Vault!
34,859402949755260928,Go big or go home. #blackjack #timestwo #Harrahs #paytheman #tipthedealer #rainman  Harrah's
35,859276700865110016,Finally watched #rainman  2 things stood out; Dustin Hoffman's amazing performance  and Tom Cruise's hair style. Gotta love the 80s
36,859213256463966208,BrianParreira Freddie_Beamon m_price_3 D_Lank23 my body don't work like it used to boys #RainMan
