,tweet_id,text
0,862341562411470848,.THEHEARSTATION powered Listen To This 016 w/ #ReturnOfTheJedi novelist James Kahn. Favourite #StarWars character?
1,862298732636684290,"Star Wars 8.5\"" x 11\"" Framed Still Return of the Jedi: R2D2 &amp; C3PO"
2,862257183467212800,Operating the Rancor
3,862196533076389888,Not so big now are you Rancor?
4,862196166498422784,"#PowerStation's hit \""#Some #Like It #Hot\"" feat in #FamilyGuy 2011 #double-#episode \""It's a #Trap!\"" parody of"
5,862177897489907713,"Star Wars 8.5\"" x 11\"" Framed Still Return of the Jedi: Darth Vader"
6,862141238123745280,"The Rangers \""experts\"" should've watched #ReturnOfTheJedi, when Luke said to Emperor Palpatine: \""Your overconfidence is your weakness.\"""
7,862131088839364608,Who like it ?Get amazing collection of Star Wars accessories!!!
8,862117526062284800,"Star Wars 8.5\"" x 11\"" Framed Still Return of the Jedi: Space Battle"
9,862105365982441472,Creepy-O
10,862096461558947840,"Beats \""It's a trap!\"""
11,862065861502398464,HamillHimself hope we get to see more of you in #StarWars8 I miss you acting as Luke skywalker  #starwas6
12,862052892513103872,"TahoeVirginian However, consider this StarWars #CloneWars to #Rebels to #ReturnOfTheJedi theory:"
13,862029481137098753,.THEHEARSTATION powered Listen To This 016 w/ #ReturnOfTheJedi novelist James Kahn. Favourite #StarWars character?
14,862021225228447744,Watch Return of the Jedi (1983) Free Online Link:
15,861996746875912193,"Star Wars 8.5\"" x 11\"" Framed Still Return of the Jedi: Luke Vs. Vader"
16,861995775349452800,"\""Boba Fett Revenge\"" | by AngelTrancon"
17,861995758454808576,#StarWars #StarWarsVI #ReturnOfTheJedi #LukeSkywalker #LeiaOrgana
18,861975114585387008,#MarkHamill has some fun when an old Soviet slam vs. #ReturnOfTheJedi resurfaces; read reply he tweeted in Russian
19,861974688326709248,#MarkHamill has some fun when an old Soviet slam vs. #ReturnOfTheJedi resurfaces; read reply he tweeted in Russian
20,861974075538894852,#MarkHamill has some fun when an old Soviet slam vs. #ReturnOfTheJedi resurfaces; read reply he tweeted in Russian
21,861964060702756867,.THEHEARSTATION powered Listen To This 016 w/ #ReturnOfTheJedi novelist James Kahn. Favourite #StarWars character?
22,861954742083358721,Dress down at Jabba's Palace
23,861945614128599040,This awesome plastic #starwars #returnofthejedi #lunchbox and #thermos is coming to the shop!
