,tweet_id,text
0,862314636556816384,...I seriously can't wait for the 3rd installment. Much like #ReturnOfTheKing - an epic followup. But probably not the last in the series.
1,862251647426318336,TownvilleCCX1 AlexanderPagey the leader the legend
2,862202569824903168,BFI empiremagazine MondoNews highdefdigest totalfilm guardianfilm Film4 wbpictures My new poster illustrati
3,862111687192698880,EK on another level right now.
4,862055793151094786,Finished re-reading #ReturnOfTheKing &amp; thus all of #LordOfTheRings. Haven't been to #MiddleEarth in 16 yearsBetter
5,862041864152776705,I'm so desperate for focus that I turned on the soundtrack to
6,861952664577486849,Laced up Lil Bro!!!#dspeedthebarber #returnoftheking #barber #barbers #barberlife #andis
7,861950940370411520,First Haircut#dspeedthebarber #returnoftheking #barber #barbersinctv #barbers #barberlife
8,861780060931596288,rklatt16 Tryhards basketball 2018
9,861723588595826688,Well Hello gamespot nice of you to notice now can we remake #LordOfTheRings #returnoftheking for this gen? EA
10,861717937459269633,Can't wait to read this. Always looking for inspiration
11,861449285694566400,Give Tyson_Fury a boxing license and let's see the
12,861369805735112705,Get yourself a girl who cooks while watching #lordoftherings #returnoftheking. And then for
13,861307887062106112,ReaganGomez I was just watching that and #TwoTowers last week. Watched #ReturnOfTheKing last night. Still so good.
14,861296335294799873,iam_SeanDennis I am literally screaming rn. I will get to see a skedi performance again.  #ReturnOfTheKing.
15,861253885863878657,Pogback Nahhhhhh Wellbeckkkkkkkkkkk #returnoftheking
16,861221622652579841,JaydaBF The son of Europe is coming soon to lay claim to the white world.
17,861221236290056192,GoldingBF The man is coming soon to lay claim to the white world.
18,861216351758712833,JordanGr_11 let's take a moment to appreciate your return! 7th May national bank holiday!
19,861160293497544704,"When Aragorn says \""my friends, you bow to no one\"" I cry. Buckets. Every time."
20,861119634933600258,"Ah, that one major continuity error of #ReturnOfTheKing - Merry and Pippin should be noticeably taller than Frodo and Sam, but aren't."
21,861118507391393793,This. Lord of the Rings funny voices
22,861115795421646849,Find you someone that looks at you the same way Gollum looked at the Ring.
23,861113651591135232,"It still pisses me off, all these years later, that SeanAstin wasn't even NOMINATED for an Oscar for #ReturnOfTheKing. He'd have won, too."
24,861104471174037504,"I ain't gonna lie - I cheered when owyn said, \""I am no man,\"" and stabbed the Witch-King in the head."
25,861099723624562688,The arrival and charge of the Rohirrim on the fields of Pelennor will forever be one of my favorite movie moments.
26,861082649753919488,One thing's for sure: The Lord of the Rings movies made eating and drinking appear to be absolutely disgusting.
27,861061720395010048,Bah. Still hate that Saruman's end came in such a way as portrayed in the #ReturnOfTheKing movie. The book's way was much more satisfying.
28,861054841866534912,Guess it's time to get into this #ReturnOfTheKing for the better part of the next 4 hours.
29,860967704710262784,"1 month to UFC 212, josealdojunior cannot wait!"
30,860964980149145603,Tyson_Fury #HoldTight #ReturnOfTheKing #GypsyKing who's the guy who runs MTK_Marbella it of interest?
31,860909965824978945,Joe's back!
32,860571012286599170,Donnymong   reckon Sky will have a re run of Monaco 2009 ....just to get in the mood for JensonButton return
33,860481666871119872,"#ReturnOfTheKing made me so happy. Thanks for writing it again, WindhorstESPN and mcten."
34,860480090886549504,GSW planned elaborate championship celebrations since Game 5 and had to cancel each and every one of them. Wild.
35,860310257712730115,Made weight...stared my opponent in the eye...currently stuffing my fucking face #VFC57 #fightofthecentury
36,860248711879958528,"Tyson_Fury hope trainings going well, can't wait till you're back!"
37,859997855813177344,I'm the fighter that this city deserves AND needs!!!
38,859957417060294659,"Bravo to WindhorstESPN &amp; McTen for their work on #ReturnOfTheKing. Just finished it - excellent reporting, great storytelling!"
39,859922947129126913,You can do it tyson
40,859919859257417730,I just found out that both of Tristan Thompson's parents are Jamaican. Da1nOnlyCMart
41,859825707219730432,Fantastic read  WindhorstESPN ! What an inspiring story from start to end! #ReturnOfTheKing  23
42,859805629363486720,Fear_PR liamgallagher dmasmusic Music to my ears
43,859777147891847168,"May 27th- Premier MMA 3. June 10th- Louisville, KY for the Hardrock MMA Bantamweight Championship."
44,859678746185486337,Return of the king is coming to London!!! #Hounslow BOOK NOW!!!  #Returnoftheking.    Desi
45,859630709165654017,"\""Gondor calls for aid!\"" movie night with Rise_And_Resist"
46,859619740813332480,"\""The last pages are for you, Sam\"" is why I hate goodbyes so much"
47,859586480884330496,"Horse- \""I will charge headlong into battle BUT I AM NOT GOING IN THAT FUCKING CAVE\"""
48,859562540099129344,15 postseason woes are tough to read.
49,859504901541462019,Need some Cavs gear to #DefendtheLand? How about a good book to read? T0984 has got you covered!
50,859503018986930176,That's how my Friday was. #ReturnOfTheKing tichdefine Shiddoh_Brown mcafrikazim
51,859490777944256514,ChrisLloydTV Yes! Yes! Yes!
52,859320659528339456,The wait is nearly over.
53,859242433988767744,"#Coexistence is the problem, not the solution. #Repentance is the answer! All sin and fall short of Father's glory. #returnoftheking soon"
54,859154424178069504,Aragorn's speech at the Black Gate gives me chills every time I watch it..
