,tweet_id,text
0,862404634740232192,"#DarthVader's out June 7, by CharlesSoule &amp; Giuseppe Camuncoli. Starts literally w/Vader rising from the slab at e"
1,862351314466078720,Darth Vader | by David Ocampo (
2,862347884632657921,Anakin Skywalker | by 107ko
3,862057966496878593,Deja-Vu! Credits: unknown. Feel free to tag the Creator #starwars #revengeofthesith #palpatine #darthsidious
4,861941077670060034,jeffreylayne How about the tragedy in the end?
5,861939118720163840,Nice work #60minutes Australia for rocking #LeonardoDiCaprio fan art for their #RevengeOfTheSith #GeorgeLucas featu
6,861830602915549184,This is alternate ending of #StarWars #EpisodeIII: #RevengeoftheSith whereAnakin kills Obi-Wan. #gamewas releas...
7,861763398517702658,"Bloody brilliant. If this leaked as a #TheLastJedi sequence, people would lose their nut. They still should."
8,861684975455875073,After the fallout of Attack Of The Clones Hayden told George that fans didnt want Anakin to be so whiny
9,861668025954709504,"Anakin, you're breaking my heart! Repost from niens.memes #starwars #revengeofthesith #anakinskywalker"
10,861581382677479426,Come to the dark side we have cookies  #cookies #darkside #sith #revengeofthesith #starwars
11,861558868425543680,"For any Prequels sympathisers out there, check out T_Rebels Podcast on #StarWars #RevengeOfTheSith -"
12,861558702716923904,"As debatable as it is, #RevengeoftheSith tops the 1st #StarWars film on so many levels IMO. via TheAVClub"
13,861517983683944448,Star...
14,861420071108923393,regram  #RevengeOfTheSith #BehindTheScenes#maythe4th
15,861357394139500544,"75182 Republic Fighter Tank, 305 pcs, $24.99 #LEGO #StarWars #RevengeoftheSith #AaylaSecura #LegoStarWars"
16,861278888512638978,After a 55 minute break it's time for
17,861278870447808520,How can there be spaceships but no USS or antenatal care?
18,861259364157595648,How does a droid have a cough? Also I have significant questions about the effects of spaceship artificial gravity
19,861256385140490240,Ooh Obi Wan has a magical self healing space ship
20,861222984786247683,Hope your #revengeofthesith was spent with something lovely savoysworld #starwarsday #dabeasy #ilovedabs
21,861076554763423745,"\""NNNOOOOOOOOOOOOOOOOOOOO\""- Darth Vader"
22,861067806225436677,Now that Anakin is a Sith he must scowl all the time.
23,861067167839768576,"If the Sith are so powerful, why didn't both Yoda &amp; Obi-Wan go kill Vader, then the Emporer? Instead of splitting up."
24,861065609504845824,Be funny if R2 helped Vader kill all the separatists.
25,861060671571722240,Im set to marathon all #StarWars tomorrow!
26,861060408316186624,fallinangelz21 Last time it was
27,861054020261171201,"Obi-Wan wants to sneak around the planet so he picks the loudest, brightest, most annoying bird/lizard thing he can find."
28,861053018799824896,Pretty sure Anakin was playing a GameBoy Advance there.
29,861052365855739904,The wookie yelled like Tarzan.... FUCK YOU George Lucas
30,861050664616677377,You know! Come hang out! #djlife #starwars #party #revengeofthesith #revengeofthesixth #dj
31,861050225997295616,"Who's that bald chick always hanging around Palpatine? His booty call, thats my guess."
