,tweet_id,text
0,862362149108240384,"New #Cars3 trailer takes page from #Rocky's book: Young hot shot makes #LightningMcQueen confront age, will to win"
1,862361717187203073,"New #Cars3 trailer takes page from #Rocky's book: Young hot shot makes #LightningMcQueen confront age, will to win"
2,862361623729778688,"New #Cars3 trailer takes page from #Rocky's book: Young hot shot makes #LightningMcQueen confront age, will to win"
3,862358671401123846,Aunt Susie showing him his first speed bag
4,862355915080572932,binuu  # # #ASTRO #AROHA # # # # # #
5,862354032316252160,Plenty of new NECA figures in today at Dallas Vintage Toys!
6,862352512904572928,Berti_and_Ernie #rocky loves the long grass too
7,862347202261389312,Diversion end #signals #life #risas #rocky #mimi #theparadisegirls
8,862346282181865472,Cars 3 Trailer #This is Pixar s Version of Rocky IV:  #SuperHeroAnimateMovies #pixar
9,862344110702768128,"#Rocky would be proud of us!   #Design: \""Eye of the Tiger\"" by BIOWORKZ"
10,862338919714697216,Playlist for final mile
11,862330170996174848,Rocky Balboa: Time takes everybody out; time's undefeated.
12,862328975619637248,"#Proxima b is a #rocky, terrestrial"
13,862324355279331328,"This Story Is Actually More Interesting Than #Rocky. Chuck Wepner, The #Boxer Who Inspired 'Rocky'"
14,862324072310505474,What does #Rocky Balboa and  #entrepreneurship have in common? 11 #Movies and why #entrepeneurs should watch them.
15,862316747457789952,#Manifest #dreams to come #alive! #lawofattraction #truth #rocky #sylvesterstallone #visualization #entrepreneur
16,862310447286026241,#Rocky Bathrobes back in stock only 20 GreatGearStore #EyeOfTheTiger
17,862289460419067904,claynecrawford I'm curious!What kind of music are u listening to?Do u like the #rocky movies?
18,862287281763360768,"Today's Word: Fighting-How To FIght?- May 10, 2017:  #wednesdaymotivation #FightOn #Rocky"
19,862279353425477632,From rocky to pebble #ASTRO # #ROCKY  #
20,862276073349763073,Mariah Carey #rocky getting the royal treatment from his sister #missmonroe #queen of the spa
21,862275926020816897,"When #East Meets #West, The #Bopst Show remains standing today at noon (EST-USA) on WCLM 1450 AM."
22,862275067274768384,Feeling like #Rocky
23,862272815831146497,Everyone it's dinner time eat something delicious&gt;&lt; #astro #rocky #eunwoo #arohalover #ChaDoomChit #onedodoomchit
24,862267510200168448,10 Must-Watch Inspirational Movies on Boxing Like 'Rocky'#top10 #mustwatch #movies #inpirational #boxing #rocky...
25,862259931667283968,fav album of astro
26,862227279488757761,I should watch #Rocky tonight and I will get that #motivational #shit Or #BhaagMilkaBhaag or ?Which ones?
27,862218069493641217,As requested  #know17 marktodonnell
28,862197266291056640,"Happy on my walk, long tongue for one so little"
29,862179264195575808,"Bombed 2 finals, my Dad called me a disappointment to him, got a 10 cent raise, and she left for home today."
30,862179233178759169,Check out one of my #Motivational uploads over 2500 views in 98 countries
31,862169860712869888,He's out for the count! #rocky #sleepy #instagood #family #blessed #  Studio City
32,862163469625434112,Watch Rocky (1976) on #nowtv (14-Day Free Trial)Here's the link:
33,862145443987312641,We knew this day would cone#rocky!!! Z&lt;3 s#wi term...hit foodNike'sKkj revwPercocetOhhh
34,862135868059828224,Chuck - new clips -&gt;
35,862134259523268608,"FaceBook.  Too ??\""\""#wibter#rocky#_!never agisc?"
36,862130912531804160,"Until you start believing in yourself, you aint gonna have a life. - Rocky #rocky #balboa"
37,862126419895349249,"I call this look \""sweater puppy\""."
38,862125191006171136,Rescued 2 baby squirrels today. Mother &amp; a baby were killed. I hope the other 2 survive. We dropped them off  Wild
39,862123197893758976,BrisWritersFest Thanks for the shoutout BrisWritersFest #girlinbetween has been getting lots of love!
40,862122503971389440,Just got to my seats for the prescreening of #Chuck thanks to ripcityradio620
41,862118294396039168,This WH Administration has more BLaCK eYeS than aLL #Rocky movies ComBiNeD x2
42,862115163603906562,Just another day. Ready to rock. #style #stylist #rocky #rockstar #rocknroll #portrait #sunglass
43,862114438786109440,One of my besties. #rocky amytidwell.tulsarealtor
44,862109060379836420,ChuckChandler2 All time best boxing robe!
45,862104930861039617,"#Proxima b is a #rocky, terrestrial"
46,862095173697851392,Arohas are great~ The weather is great~Just everything~~is great#ASTRO #Rocky #YYY #AROHA #ILoveYou #RockD
47,862094899629436928,He might not have the eyebrow but he has that ear flip #Rocky TheRock
48,862088399364214785,#rocky porno bill clinton i did not have sex
49,862083747746893824,Stallone now plays baseball after basketball and ofkor boxing BlueJays #Bellinelli #Bolsinger #Rocky CSSomner
50,862083577449787392,Dolph Lundgren signing some #Rocky items for us last year. Find them at   #MovieFights
51,862082042162532352,New Video: PaulaandKarol  Rocky
52,862071615571361792,"I'm a lover not a fighter, but if I was a fighter...  |  #fight #knockout #ali #holyfield #tyson #rocky #balboa"
53,862062722703294464,#NewMusic: Listen to #PacoTheGTrainBandit aka pacdiggity's New #Rocky #Freestyle on SoundCloud today!
54,862051616735674368,These dogs.
55,862046799615242240,Stay motivated
56,862042173709090816,8 Great Rocky Balboa Motivational Business Quotes
57,862036755016327168,#Rocky's Tandav scene coming soon .....
58,862024296805355521,There has been more realistic #boxing in the first 15mins of this episode than all 6 #Rocky movies combined.
59,862024118761291782,"waiting for \""Eye of the Tiger\"" tune"
60,862023645677236224,Paul Verhoevens breakthrough hit about corporate greed...  #RoboCop #Ghostbusters
61,862019060036493313,"A photo of 1960s &amp; 1970s Columbian middleweight, Rodrigo Valdes."
62,862016603449196544,"CALL CENTER CUSTOMER SERVICE REPRESENTATIVE-*Please Read the Descripti - Rocky Mount, NC, 11418, USA #jobs #Rocky"
63,862015087015415808,"CALL CENTER CUSTOMER SERVICE REPRESENTATIVE-*Please Read the Descripti - Rocky Mount, NC, 11418, USA #jobs #Rocky"
64,862013711438970880,"No Chester Cup for us this year, but who knows what's round the corner for #dare2dreamracing #Rocky #Anton"
65,862010241579397120,Cue #Rocky theme song.
66,862005989280821249,#NECAToys Shipping This Week: #Rocky 40th Anniversary Series 2 &amp; #Preacher Series 1
67,862002842533593088,#nowplaying #radioneo #Rocky - Chase The Cool
68,862002367356702720,You may smell like a girl when you've been for a hair cut but you look bloody cute! #Rocky
69,862002086858412032,"WATCH: Cop tries to recreate famous scene from #Rocky, fails miserably"
70,862001576910761985,"Yo Adrian a hoe, that bitch slept with #Rocky on the first date. Tryna act all shy and shit...smh"
71,861998614289104896,"argument broke out at work, Que: \""Getting Strong now\"" from #Rocky  makes for an interesting reaction by both parties."
72,861993604029403137,We'll be talking #ROCKY later this week + a little Oscar history. Not TheSlyStallone's movie Oscar -- the award. W
73,861988048309039104,#repost #Beautiful #reflection of this #Oyster #boat in the #waters at #Rocky Point #PEI. Thanks to lindamatheson
74,861985279225344000,Legendary scene from #Rocky when the student outdoes the teacher
75,861984120636878848,This is the kind of thing I think about all day. 'Whatever Happened To Ivan Drago?'  #WhatIf
76,861978572629704704,Here is some motivation for your Tuesday from
77,861977329265934336,If you hear of a poster being stolen from a TGI Friday's... you don't know nothing. #TeamNery #SnitchesGetStitches
