,tweet_id,text
0,862276566444720129,RT ChannelStarWars: The Imperial Empire\n\n#RogueOne:#AStarWarsStory #ChannelStarWars\n\nArt by Pyramid_Int
1,861452041541083136,RT ChannelStarWars: #StarWars just dropped this #RogueOne Featurette\n\n#RogueOne:#AStarWarsStory in Cinemas December 15 (UK)/ 16 (US)
2,861217396379586561,\u201cMercenary Benthis Two Tube\u201d\nArt by: Lautrec Winifred\n
3,861033921269702657,Top 10...  #LaLaLand #OfficeChristmasParty #RogueOne:AStarWarsstory #TheGreatWall #UnderworldBloodWars #Whyhim?
4,860668832691650564,RT force_awakens: Star Wars Rogue One\nArt by: Andy Fairhurst\n
5,860668517007360000,RT force_awakens: Star Wars Rogue One\nArt by: Andy Fairhurst\n
6,860666884181696516,Star Wars Rogue One\nArt by: Andy Fairhurst\n
7,860632577752911872,#MayTheFourthBeWithYou#MayThe4thBeWithYou #starwars #thelastjedi #rogueone #astarwarsstory #princessleia...
8,860549917240176640,Top 10 Box...  #Assassin'sCreed #HiddenFigures #LaLaLand #RogueOne:AStarWarsstory #UnderworldBloodWars #Whyhim?
9,860458956464025606,RT plapperblog: This.darth vader moment is FKIN AWESOME\n\n
10,860271731335991297,K2SO is awesome in this movie.
11,860245565086605312,RT plapperblog: This.darth vader moment is FKIN AWESOME\n\n
12,860245498896289792,This.darth vader moment is FKIN AWESOME\n\n
13,859757607506128896,Finally \ud83d\ude0d\n#rogueone #astarwarsstory #geek #nerd #starwarsforlife #photooftheday #instagood\u2026
14,859231918801514497,"Rogue One A Star Wars Story Characters\n\""Admiral Raddus\""\n"
15,859105038827999232,"RT force_awakens: Rogue One A Star Wars Story poster\n\""Jyn Erso\""\n"
16,859104579782299649,"RT force_awakens: Rogue One A Star Wars Story poster\n\""Jyn Erso\""\n"
