,tweet_id,text
0,862373505362526214,BK pizzeria celebrates 40th anniversary of
1,862367646171484160,#Repost richiepilates Fever Turns Forty!!!!! #amnewyork #saturdaynightfever #thankful
2,862366757016752129,"Getting ready for some Night fever...during the day, with my girl draperlinda #SaturdayNightFever #40yearsyoung"
3,862361391004614657,Today I am going to see #SaturdayNightFever on the big screen. The first time seeing one of my favorite films on the silver screen.
4,862351592372285440,Are you ready for #SaturdayNightFever 7 nights a week?! Tickets
5,862336429032132608,Just a few more chances to catch the 40th #anniversary extended cut of #SaturdayNightFever:  #Savannah pfssav
6,862293708972187649,T-minus 10 hours until I see my favorite movie on the big screen! #saturdaynightfever #donttouchthehair #beforemytimeish
7,862263064254595073,1977's #SaturdayNightFever screens here in #Honolulu today (Wed May 10) at 2pm &amp; 7pm at RegalMovies #DoleCannery:
8,862230808739930116,Seeing #SaturdayNightFever tonight with my Mom
9,862205679074852864,"Things are running hot at Dramatix! #Chicago by ejknights, #SaturdayNightFever by MattNeverSleep, has your musical theatre needs covered!"
10,862185770542546944,#SaturdayNightFever is just 3 days away and #DJSasha is all set to make you sway! Bring out those party shoes as...
11,862185758639239168,"#SaturdayNightFever is just 3 days away and #DJSasha is all set to make you sway! Sanchez, Saturday,10pm. #weekend"
12,862153870922928128,wwtradio Enter to win a copy of #SATURDAYNIGHTFEVER on Blu-ray from #WhyWatchThat.
13,862153699405303812,wwtradio Enter to win a copy of #SATURDAYNIGHTFEVER on Blu-ray from #WhyWatchThat.
14,862153568979226624,wwtradio Enter to win a copy of #SATURDAYNIGHTFEVER on Blu-ray from #WhyWatchThat.
15,862153528810328064,wwtradio Enter to win a copy of #SATURDAYNIGHTFEVER on Blu-ray from #WhyWatchThat.
16,862152893146820608,wwtradio Enter to win a copy of #SATURDAYNIGHTFEVER is on Blu-ray from #WhyWatchThat.
17,862152484705456128,wwtradio Enter to win a copy of #SATURDAYNIGHTFEVER on Blu-ray from #WhyWatchThat.
18,862152087689453568,wwtradio Enter to win a copy of #SATURDAYNIGHTFEVER on Blu-ray from #WhyWatchThat.
19,862151687137570816,wwtradio Enter to win a copy of #SATURDAYNIGHTFEVER on Blu-ray from #WhyWatchThat.
20,862151638529712131,wwtradio Enter to win a copy of #SATURDAYNIGHTFEVER on Blu-ray from #WhyWatchThat.
21,862148980834283521,wwtradio Enter to win a copy of #SATURDAYNIGHTFEVER on Blu-ray from #WhyWatchThat.
22,862104680175939584,This 70-year old woman makes disco balls by hand!
23,862020896755785728,Look who's heading to FEVER Saturday 20th May  #saturdaynightfever #VIP booths #YEAR2FVR&amp;BTQ
24,861997018570469378,"Nik Cohn's \""The Tribal Rites of the New Saturday Night\"" = a #fabrication ? nytimes"
