,tweet_id,text
0,862337465507614720,"Shrek (2001) on #Vidimovie\nTrailers, Clips &amp; Reviews:"
1,862337298150678528,Shrek (2001) - Watch Online\nTrailers &amp; Movie Clips:
2,862325743459721216,RT XGrabMyY: Satan made this music video.
3,862284114526863360,RT JerryBladeZ: #smashmouth\n#shrek\n#allstar\n#remix\nAll Star by Smash Mouth but it's an Electro Remix  via YouTube
4,862273660421156866,Fiona (Shrek) \nCosplayer: hija_ck \nTaken at SupanovaExpo Melbourne 2017. \n#shrek #fiona #ogre DWAnimation\u2026
5,862264847815376896,#shrek cartoon sex dads and daughters sex
6,862264611923308544,RT FYFCStudios:  NEW #FYFCast!! #Recalls BombaySapphireA #Shrek #Oilers #PlaneCrash #RedSox #ThomasCook #Fears5 SM\u2026
7,862261517323993088,"RT jimdonovancbs3: .katiefehlinger suggests the name \""Waffles\"" in honor of the \""I'm making waffles\"" line from the movie"
8,862258742498402304,".katiefehlinger suggests the name \""Waffles\"" in honor of the \""I'm making waffles\"" line from the movie"
9,862226421833445376,#shrek porn videos dominican girls sexy
10,862214963137589248,#shrek porn videos free drawn sex galleries
11,862211857775382529,"10 films that received bad reviews, but did well at the box office. #Minions and #Shrek appear:\u2026"
12,862184251575468032,RT XGrabMyY: Satan made this music video.
13,862181161170124800,RT XGrabMyY: Satan made this music video.
14,862168394400907264,Change is good donkey!!
15,862165112001638401,RT XGrabMyY: Satan made this music video.
16,862158075628834816,RT: Watch Shrek (2001) on #NOWTV \nWatch right now:
17,862153649623007232,RT XGrabMyY: Satan made this music video.
18,862153105311498241,Satan made this music video.
19,862152716096864257,RT FYFCStudios:  NEW #FYFCast!! #Recalls BombaySapphireA #Shrek #Oilers #PlaneCrash #RedSox #ThomasCook #Fears5 SM\u2026
20,862151718095601664,RT FYFCStudios:  NEW #FYFCast!! #Recalls BombaySapphireA #Shrek #Oilers #PlaneCrash #RedSox #ThomasCook #Fears5 SM\u2026
21,862150618483490818,RT FYFCStudios:  NEW #FYFCast!! #Recalls BombaySapphireA #Shrek #Oilers #PlaneCrash #RedSox #ThomasCook #Fears5 SM\u2026
22,862147935697604608,FACT: the Shrek 2 soundtrack is the most influential album of this generation.
23,862120058796912640,I miss Joe Hockey
24,862113502856712192,Lo que se viene #SHREK musical_dreamers \u2764\ufe0f\nagusariasok\u2026
25,862106542560092160,Cuz she looks like #Shrek \ud83d\ude02
26,862079965122015232,Academy of Makeup takes on #Shrek the Musical!\ud83c\udfa8\u2728
27,862075852632281090,#Shrek x #Piglet the #ninja #love story #Deviantart #fanart #winniethepooh #meme #dankmemes by
28,862073401527209985,#musical #comedy #shrek \ud83d\ude0b\ud83e\udd37\u200d\u2640\ufe0f\u2764\ufe0f\ud83c\udfb6 lord farquad (made by  mikoreichan with musicallyapp) \u266c\u2026
29,862068446342914048,bumblebeecosplay I blame you lol \ud83d\ude02 #whyme #shrek #thatonefriend #comedy (made by  mikoreichan\u2026
30,862067890459222016,Things u say 2 yourself and u don't know why: That'll do Donkey.
