,tweet_id,text
0,861998793625133056,Ver Shrek 2 (2004) Online Gratis Link:
1,861998734695124993,Regarder Shrek 2 (2004) Gratuit en Ligne Link:
2,861998556470759426,Watch Shrek 2 (2004) Free Online Link:
3,861448931007500289,Can you beat my #shrek2 time 3m 45.34s? Get #TriviaCraft to see! iPhone  Android
4,861428490972782592,Plot hole in Shrek 2: if Donkey drinks the potion then Dragon must also transform. What does she look like?  #shrek2  DWAnimation
5,861395997368385536,"Shrek 2 (2004) on #VidimovieTrailers, Clips &amp; Reviews:"
6,860534071742672897,Ver Shrek 2 (2004) Online Gratis Link:
7,860534025869545472,Regarder Shrek 2 (2004) Gratuit en Ligne Link:
8,860533852284047361,Watch Shrek 2 (2004) Free Online Link:
9,860306351360270338,Shrek 2 (2004) on #VidimovieWatch Now:
10,859704703403380736,Did you make the list?
11,859262664475897856,#unansweredquestions what did Dragon turn into when Donkey turned into a stallion?
12,859181717533470720,"Shrek 2 (2004) on #VidimovieTrailers, Clips &amp; Reviews:"
