,tweet_id,text
0,862354400681107457,RT SuzanneWinland: Enter a magical story... Perfect for a #recital gift
1,862351963857575937,"\""Sleeping Beauty\"" by Colourful Grey"
2,862350814387589120,You are the weirdest \ud83d\ude02
3,862349773659045888,Sleeping Beauty Classic Story Dolls A Paper Craft Kit
4,862348570879565824,RT MeliaFansUSA: YES CRANK'N meliamaccarone's #SleepingBeauty glimmergirl's VinylDynastyRoX\ud83d\udc9cC/O #MELIA's ROCK  h\u2026
5,862347017909141505,RT MeliaFansUSA: YES CRANK'N meliamaccarone's #SleepingBeauty glimmergirl's VinylDynastyRoX\ud83d\udc9cC/O #MELIA's ROCK  h\u2026
6,862340158707912708,Sprocket_Kitty Another reason why I could be Aurora lol!
7,862336450389528579,I felt a presence last night.\nWoke up to find this!\n#Whosebeensleepinginmybed ?\n
8,862322484846239745,So sleepy
9,862322469830402049,So sleepy
10,862321824201416704,#SleepingBeauty: Check out this New Twist on Sleeping Beauty with Awakening. #fantasy and #fairytail at it's best.
11,862307709739257856,Check out this item in my Etsy shop
12,862306917187801092,This is the original poster for #disney 's #sleepingbeauty notice that #Aurora 's dress is #blue\u2026
13,862304924104892418,RT MFetilicious: Goodnight! \ud83d\udc8b\ud83c\udf1b Latex nightdress: latexvogue ! #sleepsuit #sleepwear #sleepingbeauty #sleepinginlatex  #latexvogue #latexd\u2026
14,862303361315610624,pro tip: listening to the #sleepingbeauty soundtrack while writing ethics applications is a great decision
15,862299496776175616,"From this slumber, she shall wake, when true love's kiss, the spell shall break. -Merryweather #sleepingbeauty\u2026"
16,862286362870808576,Hahaha you know it when you feel like getting up but then i remember im a #SleepingBeauty so i don't have any reason to get up.
17,862286166468550656,"Lunch, #SleepingBeauty then back on with #TheSkeletalSystem . #disneyfilm #anatomyandphysiology\u2026"
18,862284207820857344,RT MeliaFansUSA: YES CRANK'N meliamaccarone's #SleepingBeauty glimmergirl's VinylDynastyRoX\ud83d\udc9cC/O #MELIA's ROCK  h\u2026
19,862278046677688320,RT MeliaFansUSA: YES CRANK'N meliamaccarone's #SleepingBeauty glimmergirl's VinylDynastyRoX\ud83d\udc9cC/O #MELIA's ROCK  h\u2026
20,862277582120726529,YES CRANK'N meliamaccarone's #SleepingBeauty glimmergirl's VinylDynastyRoX\ud83d\udc9cC/O #MELIA's ROCK\u2026
21,862265395591471104,I can't believe it's only #wednesday \ud83e\udd26\ud83c\udffb\u200d\u2640\ufe0f#ineedsummer #humpday #sleepingbeauty #ineedmysleep\u2026
22,862264165695705088,I slept through 2 phone calls and an alarm... Now THAT is what I consider a deep sleep.
23,862253460993048577,Rediscover #SleepingBeauty with Awakening. A
24,862253224157491201,#SleepingBeauty: Wait4 #Love RT
25,862251872865931264,As our adaptation of #SleepingBeauty continues every weekend check out these facts about Disney's original classic\u2026
26,862247919595999233,Can I just be Aurora? She sleeps for so long \ud83d\ude34\n#sleepingbeauty #sleepismycardio #princess #sleep\u2026
27,862232449333551104,A wonderful end to our day.\nBlessed beyond measure. \nPsalm 118:24\n
28,862231496429535232,Hard day at work for this man. #blackandwhite #bangkok #sleepingbeauty #workispleasure  #street #iphone7plus\u2026
29,862209041237512193,RT taniaxmichele: NEW BLOG POST:  #disney #moana #sleepingbeauty #lbloggers #disneybloggers #thegirlgang UKBlogger\u2026
30,862208589175427073,NEW BLOG POST:  #disney #moana #sleepingbeauty #lbloggers #disneybloggers #thegirlgang\u2026
31,862192651717799937,You can have a nap in back whilst our drivers take you to that all important meeting.. contact us today\u2026
32,862186082418348032,"#beautiful #sleepingbeauty #angels #family #cavachon #dogsofinstgram  Rawcliffe, York"
33,862182400922599424,"#MiracleMae My likkle #sleepingbeauty hand \u270b\ud83c\udffe standardly on the \""#boobie \"" 247 #BabyHands as\u2026"
34,862173939992150017,RT katykaiflovers: Congratulations for 2M Katholics\ud83d\ude0din this short period can you imagine how much people love her? \n\ud83d\ude0d\ud83d\ude0d\n#sleepingbeauty\ud83d\udc78 ht\u2026
35,862166316337201152,RT VictorialombaTV: Good night loves!!\ud83c\udf1c\ud83d\udc97\ud83c\udf1b#SleepingBeauty \n
