,tweet_id,text
0,862298876182749184,I haven't been to a movie theater since 2008 but im about to break that to go see a movie ive seen 100 times
1,862234135175118848,RT hammerdown_247: In Case You Are Too Old Skool For 840 HP. Here is a chance to win the Old Skool Bandit Car.#smokeyandthebandit\n
2,862154066390110208,This week we celebrate forty years of
3,862143919085072384,"ddrm2017 If you need a laugh, do #SmokeyAndTheBandit.  The other one is a little depressing, unless you like laugh\u2026"
4,862141599475748864,RT rjoyourjoy1919: 1crystalclark SMOKERS SKIN LOOKS LIKE PRUNE ?
5,862138731301486592,ddrm2017 At least you don't keep holding down the button like these Libtard snowflakes typing in call caps...\u2026
6,862134362350829568,"ddrm2017 You mean like the son of Sheriff Buford T. Justice from #SmokeyAndTheBandit?  Yeah, I'd a punch his mother in the mouth too....."
7,862080323978506241,#SmokeyAndTheBandit only gets 3 stars on Comcast. It needs to be 4 - this movie is classic.
8,862080200825339908,#SmokeyandTheBandit Can't believe what #Burt says to #Sally in 1977 but checkout #BufordTJustice #JackieGleason. OM\u2026
9,862073968546787328,AMC_TV is #SmokeyAndTheBandit the original #fastandfurious ?
10,862070718711943169,"\""I forgot to tell you, I'm running blocker for 400 cases of illegal brew\""."
11,862068616057040896,For a non-southerner Jackie Gleason had a magnificent southern accent.
12,862067458328465412,"\""Think of it as a wedding posse in search of a bride\"""
13,862065973192470528,FloridaTransAM RESTOREaMUSCLEC hot damn tamale! Home from work and #AMC is showing #SmokeyAndTheBandit now where's the
14,862064912666943488,RT heyCWF: Be sure to catch our latest episode on #SmokeyAndTheBandit \n\n
15,862062771751587840,"\""Because he's thirsty...dummy\"""
16,862061327354691584,Oh shit! #SmokeyAndTheBandit on AMC_TV right now!
17,862002058324475904,#smokeyandthebandit is on
18,861982909951086596,#TRIVIATUESDAY Reply to this tweet with the correct answer!
19,861981936729837568,RT itsjulialee: Ever been on a #stuntset? Check out my day with #banditjump crew prepping for #SmokeyAndTheBandit event. fabulous_tv #pon\u2026
20,861981883340537856,Ever been on a #stuntset? Check out my day with #banditjump crew prepping for #SmokeyAndTheBandit event.\u2026
21,861939136357425152,3OClockBeatWrtr DrunkAtdisney goosey91_ SuperWeenieHtJr Kryptonlogic Am I mistaken in reading that\u2026
22,861830026836271104,I'm watching Smokey and the Bandit on Fibe TV on AMCHD.
23,861800816721747968,Me when i saw #smokeyandthebandit is on AMC_TV
24,861799953953419264,Watching what an entire/several generations will only know as The TheWalkingDead Truck\ud83d\ude02 on AMC_TV\u2026
25,861797789042262016,Watching #SmokeyAndTheBandit on AMC and I just don't remember this intro song. Totally unmemorable. Give me some East Bound &amp; Down.
26,861777163766431744,"adamferrara I've got this in my collection, too."
27,861631318622441473,RT IMDb: #StarWars #SmokeyandtheBandit &amp; #TheLoveBoat are all turning 40 this month! More milestone anniversaries this May \ud83d\udc49
28,861622916252880896,"Pontiac Trans Am looking retired... hopefully not. #smokeyandthebandit  Redwood City, California"
29,861622611041714176,RT WatkinsJackets: Watkins Jackets.. The Original..  #SmokeyAndTheBandit\n
30,861620426513891329,RT WatkinsJackets: Watkins Jackets.. The Original..  #SmokeyAndTheBandit\n
31,861615430288494593,#SundayFunday Walmart BreckenridgeTX 40th Anniversary slip-case blu-Ray/DVD of
32,861597016023064576,RT WatkinsJackets: Watkins Jackets.. The Original..  #SmokeyAndTheBandit\n
33,861498940474175488,adamferrara fathomevents That's a real speedy car.
34,861491762661126144,RT WatkinsJackets: Watkins Jackets.. The Original..  #SmokeyAndTheBandit\n
35,861487423360045056,"RT HolleyWright7: 1000's of Trans Ams,  cool people and good food = one awesome event BANDIT RUN \n#SmokeyAndTheBandit best show of all tim\u2026"
36,861388910240432128,RT TheBanditRun: Bandit Run 2017 Registration is live! It's going to be big year! Texarkana to Atlanta #smokeyandthebandit \n
37,861364898193960960,sarahkendzior Why does this come to mind?\n
38,861362283397513216,Watkins Jackets.. The Original..  #SmokeyAndTheBandit\n
39,861341317376475137,"VolRumorMill #SmokeyAndTheBandit \""Hold onto yer ass Fred\"""
40,861315267627958274,Marvel MarvelStudios ppplease tell me EVERYONE at the studio has seen #SmokeyAndTheBandit note the end credits \ud83d\ude09\ud83d\ude0e\u2026
41,861266817880399872,The time nigas were busy fucking bitches I was busy lightening that blunts \n
42,861182729857138689,RT CMT: It's been 40 years since #SmokeyAndTheBandit was released! \ud83c\udfa5 Get the anniversary edition + our CMT doc #TheBandit &gt;
43,861115692443029505,"RT UniversalEnt: #SmokeyandtheBandit is celebrating it's 40th Anniversary, returning to select cinemas for 2 days  on 5/21 and 24!"
44,861109770337505280,RT IMDb: #StarWars #SmokeyandtheBandit &amp; #TheLoveBoat are all turning 40 this month! More milestone anniversaries this May \ud83d\udc49
45,861076536056786944,RT CMT: It's been 40 years since #SmokeyAndTheBandit was released! \ud83c\udfa5 Get the anniversary edition + our CMT doc #TheBandit &gt;
46,861073255792357376,RT IMDb: #StarWars #SmokeyandtheBandit &amp; #TheLoveBoat are all turning 40 this month! More milestone anniversaries this May \ud83d\udc49
47,861072088374714368,RT IMDb: #StarWars #SmokeyandtheBandit &amp; #TheLoveBoat are all turning 40 this month! More milestone anniversaries this May \ud83d\udc49
48,861060079092740096,RT CMT: It's been 40 years since #SmokeyAndTheBandit was released! \ud83c\udfa5 Get the anniversary edition + our CMT doc #TheBandit &gt;
49,861054577411600384,RT CMT: It's been 40 years since #SmokeyAndTheBandit was released! \ud83c\udfa5 Get the anniversary edition + our CMT doc #TheBandit &gt;
50,861049932266000384,RT CMT: It's been 40 years since #SmokeyAndTheBandit was released! \ud83c\udfa5 Get the anniversary edition + our CMT doc #TheBandit &gt;
51,861048820498665472,RT CMT: It's been 40 years since #SmokeyAndTheBandit was released! \ud83c\udfa5 Get the anniversary edition + our CMT doc #TheBandit &gt;
52,861044368446181376,RT CMT: It's been 40 years since #SmokeyAndTheBandit was released! \ud83c\udfa5 Get the anniversary edition + our CMT doc #TheBandit &gt;
53,861042955393671171,RT CMT: It's been 40 years since #SmokeyAndTheBandit was released! \ud83c\udfa5 Get the anniversary edition + our CMT doc #TheBandit &gt;
54,861042482263543808,Cannot wait to see #SmokeyandTheBandit on the big screen again! May 21 &amp; 24th. tcm BenMank77 fathomevents
55,861042478354497537,RT CMT: It's been 40 years since #SmokeyAndTheBandit was released! \ud83c\udfa5 Get the anniversary edition + our CMT doc #TheBandit &gt;
56,861041680463605760,It's been 40 years since #SmokeyAndTheBandit was released! \ud83c\udfa5 Get the anniversary edition + our CMT doc #TheBandit &gt;\u2026
57,860986633818189826,Car show time in the Trans.
58,860966127106539520,Those were the days like if your at least 38 everyone else Zorial was a herbicide n J Reed was pop country music gu\u2026
59,860945466518888449,RT FloridaTransAM: Nice #GeorgeClooney #smokeyandthebandit extratv
60,860876678276501505,"RT UniversalEnt: #SmokeyandtheBandit is celebrating it's 40th Anniversary, returning to select cinemas for 2 days  on 5/21 and 24!"
61,860875473966026754,"RT UniversalEnt: #SmokeyandtheBandit is celebrating it's 40th Anniversary, returning to select cinemas for 2 days  on 5/21 and 24!"
