,tweet_id,text
0,862355438829961217,My heart will shatter every single time uncle Ben dies in spider man
1,862355435021631490,The History Of #SpiderMan's Costume in Pictures
2,862355430638583808,#SpiderMan's Costume Through The Years
3,862355354197282816,Spider-Man 2017 Movie: 8 Potential Storylines For The #TomHolland Era
4,862354431706365953,LordFoxxGlobal hey foxx how you doing?
5,862354429483286529,So new #SpiderMan TomHolland1996 gets his 1st apartment &amp; TheEllenShow buys him furniture...Whaaa?!Yes please:
6,862354412957831169,SPIDER-MAN: HOMECOMING Star Zendaya Sheds Some Light On Her Mysterious Role
7,862354315205267456,wbangcaHD new update on spider man unlimited
8,862354108249976836,bmurphy28 Titto530 RobMccloud1 LeeWolfx PsCoys kafkasdad UnclePhailure DeadboxOne Like Spider Man. Only good superhero marvel has.
9,862354074347474944,"#SpiderMan #16:  nice bridge, nice art. This ish everyone gets their A handed to them. 4*s"
10,862353802271358976,Dave Bautista Thinks Spider-Man Rights Are Going Back to Marvel Studios
11,862353212237656065,Why are there so many remakes of spider man???
12,862353063784443905,The Amazing Spider-Man!
13,862352775488962561,The Style Evolution of
14,862351636521508864,"Kevin Feige Updates Thor, Hulk, Spider-Man: Homecoming &amp;..."
15,862351635133202432,Tom Holland Spider-Man Reboot Title Possibly Revealed...
16,862351605047283712,Check out 1995 Spider-Man Spiderman Mary Jane Watson With Clip On Fashions Sealed Figure #Marvel  via eBay
17,862351524630077441,Check out 2009 Incomplete Amazing Spider-Man Spiderman action figure toy Marvel Comics htf   via eBay
18,862350874605236225,"Arminies New marvel animated series, stepping up game lol"
19,862350657629585409,MCUExchange New marvel animated show
20,862350321967919105,'Spider-Man: Homecoming' destroys the 'Star Wars' Death Star once again!
21,862350120230236160,How Tom Holland Found Out He WasSpider-Man
