,tweet_id,text
0,862350840300019713,Star Wars Sphero BB-8 App-Enabled
1,862350546249932803,RT JohannaTheMad: Rey is strong \ud83d\udcaa\n\n
2,862350079910457345,"RT SW_ArtGallery: \""The girl I've heard so much about\"" | by TheArtofScott"
3,862349425036988416,"RT SW_ArtGallery: \""The girl I've heard so much about\"" | by TheArtofScott"
4,862349376227823617,"The Force Awakens Pre-Production Concept Art - \""Snow speeder sketch\"" | by James Clyne #StarWars #TheForceAwakens\u2026"
5,862349163102654464,"RT SW_ArtGallery: \""The girl I've heard so much about\"" | by TheArtofScott"
6,862349144844849152,"The Force Awakens Pre-Production Concept Art - \""Ruin set paintovers\"" | by Thom Tenery #StarWars #TheForceAwakens\u2026"
7,862349144832266240,"RT SW_ArtGallery: The Force Awakens Pre-Production Concept Art - \""Starkiller base pit\"" | by Yanick Dusseault #StarWars #TheForceAwakens #a\u2026"
8,862348877030191104,"The Force Awakens Pre-Production Concept Art - \""Starkiller base pit\"" | by Yanick Dusseault #StarWars\u2026"
9,862348729172586497,RT spotthedealusa: $99.99 Shipped #StarWars #TheForceAwakens #BB8 By #Sphero #App Enabled Droid --&gt;
10,862348725334794242,"RT SW_ArtGallery: \""The girl I've heard so much about\"" | by TheArtofScott"
11,862348457629155329,RT Variety: #StarWars: #TheForceAwakens: Counting down the records it broke
12,862348452847538176,$99.99 Shipped #StarWars #TheForceAwakens #BB8 By #Sphero #App Enabled Droid --&gt;
13,862348337361682432,"RT SW_ArtGallery: \""The girl I've heard so much about\"" | by TheArtofScott"
14,862347912680026116,"RT SW_ArtGallery: \""The girl I've heard so much about\"" | by TheArtofScott"
15,862347774913683456,"This #Saturday, May 13th, #starwars #theforceawakens is coming to stfoodcinema! \ncbsla southwestair moviefone"
16,862347614515322880,"RT SW_ArtGallery: \""The girl I've heard so much about\"" | by TheArtofScott"
17,862347495254499328,"RT SW_ArtGallery: The Force Awakens Pre-Production Concept Art - \""Rally site troops view\"" | by Kevin Jenkins #StarWars #TheForceAwakens #a\u2026"
18,862347081259687936,"RT SW_ArtGallery: \""The girl I've heard so much about\"" | by TheArtofScott"
19,862346898883182593,"\""The girl I've heard so much about\"" | by TheArtofScott"
20,862346242675712000,"RT SW_ArtGallery: The Force Awakens Pre-Production Concept Art - \""Oscillator\"" | by Matt Allsopp"
21,862346196333060098,"The Force Awakens Pre-Production Concept Art - \""Rally site troops view\"" | by Kevin Jenkins #StarWars\u2026"
22,862345958184677377,"The Force Awakens Pre-Production Concept Art - \""Oscillator\"" | by Matt Allsopp"
23,862345787895930883,"The Force Awakens Pre-Production Concept Art - \""Starkiller base cobra-head bridge\"" | by Yanick Dusseault #StarWars\u2026"
24,862345525445709824,"The Force Awakens Pre-Production Concept Art - \""Ice Planet\"" | by Yanick Dusseault"
25,862343254888652800,"The Force Awakens Pre-Production Concept Art - \""Holding cell rough layout\"" | by James Clyne #StarWars\u2026"
26,862342993784832000,"The Force Awakens Pre-Production Concept Art - \""Fire sequence\"" | by Yanick Dusseault"
27,862342778143080449,"The Force Awakens Pre-Production Concept Art - \""Chase\"" | by Thom Tenery"
28,862338973754150912,RT Krysanthe1: #Coffee awakens the force in me
29,862338081369796608,Star Wars: The Force Awakens - First Order Special Forces TIE Fighter With Pilot  #StarWars\u2026
30,862337812741468161,General Hux in his aerobics gear is one of my absolute favourite things about #lego #starwars #theforceawakens \ud83d\udc9c
31,862327983700402176,Star Wars Dominoes: The Force Awakens Board Game  #StarWars StarWars
32,862327964188454914,#Coffee awakens the force in me
33,862323436114391040,"RT StarWarsStuffs: STAR WARS The Force Awakens MOC 3.75\"" Action Figures - Nien Nunb  #StarWars #TheForceAwakens htt\u2026"
34,862322975755972608,"STAR WARS The Force Awakens MOC 3.75\"" Action Figures - Nien Nunb"
35,862311324004610049,regram lazeedog\nPrints will be available soon.  #rey #starwars #theforceawakens\u2026
36,862307869450018816,Star Wars: Tie Fighter Pilot - The Force Awakens - 30cm - Disney/Hasbro  #StarWars\u2026
37,862304532000378881,RT JohannaTheMad: Rey is strong \ud83d\udcaa\n\n
38,862304149798625280,The movie today. Just for a little mood.\ud83d\udc99\ud83e\udd13\u2b50\ufe0f #StarWars #TheForceAwakens #movie #love #cool #december2016\u2026
39,862303350624309248,Star Wars The Force Awakens Figurine Playset
40,862292775194288132,Star Wars TFA Force Awakens Stormtrooper JB-007 Daniel Craig Figure Custom MOC  #StarWars\u2026
41,862277668695400449,"Star Wars 3.75\"" The Force Awakens - Star Wars Figures"
42,862275822236958722,RT starwars: Stay on target. We're inching ever closer to December 18 and #StarWars:
43,862267638495539200,RT LorcaGonzalez:  In honour of #StarWarsDay check out my comments on the #trailer for #TheLastJedi #starwars #TheF\u2026
44,862267594811863040,RT LorcaGonzalez: Some thoughts on the new #starwarstrailer  #TheLastJedi #StarWars #TheForceAwakens #theforce #jed\u2026
45,862267536703987712,RT LorcaGonzalez:  In honour of #StarWarsDay check out my comments on the #trailer for #TheLastJedi #starwars #TheF\u2026
46,862265953316372481,regram instagrascar\nHype #hypebeast #hype #most_deserving #all_shots #starwars #theforceawakens\u2026
