,tweet_id,text
0,862359475352731655,RT redmercurypod1: Retweet to be entered to win #comicbooks bundle from redmercurypod1 #conspiracy  #podcast #bigfoot #superman #thecreep\u2026
1,862359455782010880,RT ElDuder: Awesome #Superman fan art!
2,862359420508012549,RT redmercurypod1: Retweet to be entered to win #comicbooks bundle from redmercurypod1 #conspiracy  #podcast #bigfoot #superman #thecreep\u2026
3,862359203679272960,RT ElDuder: Awesome #Superman fan art!
4,862359190177808385,RT redmercurypod1: Retweet to be entered to win #comicbooks bundle from redmercurypod1 #conspiracy  #podcast #bigfoot #superman #thecreep\u2026
5,862359184913944577,Let's decide for once and all
6,862359020077797377,RT FrancisMastroMJ: #HELIXisTheBEST\ud83c\udfc6\ud83d\udd25\ud83d\udd25\ud83d\udd25\nand MrBlakeMitchell is #SUPERMAN\ud83d\udcaa\ud83c\udf46\ud83d\ude0f\n\nGO WATCH this \ud83d\ude08\ud83d\udca6\ud83d\udca6\ud83d\udca6\ud83d\udca6\ud83d\udc47\ud83d\udc47\ud83d\udc47\n\ud83d\udc49
7,862358910430306305,RT wat_daa: Let's decide for once and all
8,862358355318366208,Just seen Superman at Stone Dominoes aka Bryce #superman #scooter  Stone Dominoes F.C.
9,862358208962330626,Let's decide for once and all
10,862357845345521667,World of Warcraft Letters Logo Keychain
11,862357844473118725,Awesome #Superman fan art!
12,862357383158407168,Lord of the ... -
13,862357135438487552,Retweet to be entered to win #comicbooks bundle from redmercurypod1 #conspiracy  #podcast #bigfoot #superman\u2026
14,862356899571916801,RT GeekVibesNation: I am digging this Kryptonian #Superman armor fan art \n\n(art by houseofmat)
15,862356779581059072,RT GeekVibesNation: I am digging this Kryptonian #Superman armor fan art \n\n(art by houseofmat)
16,862356335505141760,ChannelOTV CassperNyovest #Superman but all them too \ud83d\udd25\ud83d\udd25\ud83d\udd25\ud83d\udd25
17,862356311790428160,RT FrancisMastroMJ: #HELIXisTheBEST\ud83c\udfc6\ud83d\udd25\ud83d\udd25\ud83d\udd25\nand MrBlakeMitchell is #SUPERMAN\ud83d\udcaa\ud83c\udf46\ud83d\ude0f\n\nGO WATCH this \ud83d\ude08\ud83d\udca6\ud83d\udca6\ud83d\udca6\ud83d\udca6\ud83d\udc47\ud83d\udc47\ud83d\udc47\n\ud83d\udc49
18,862356015450345472,RT FrancisMastroMJ: #HELIXisTheBEST\ud83c\udfc6\ud83d\udd25\ud83d\udd25\ud83d\udd25\nand MrBlakeMitchell is #SUPERMAN\ud83d\udcaa\ud83c\udf46\ud83d\ude0f\n\nGO WATCH this \ud83d\ude08\ud83d\udca6\ud83d\udca6\ud83d\udca6\ud83d\udca6\ud83d\udc47\ud83d\udc47\ud83d\udc47\n\ud83d\udc49
19,862354779988795392,Star Wars Spacecraft Ship Pendant Keychai
20,862353789109628928,"She is the lucky one RepostBy gwen_reznoreyes: \""#henrycavill #superman a paris #mi6\u2026"
21,862353454596935680,SirenOfGotham We've played #Batman and #Superman. The problem is I pretent I'm #Galactus and force them to have to\u2026
22,862353262900588547,RT Glenn_X_Maggie: or...Clois\ud83d\ude0d\u2764
23,862352968988971008,Because he is The Flash\ud83d\ude02 #TheFlash #Superman #ClarkKent #BarryAllen #DC #dccomics grantgust CW_TheFlash
24,862352491995955200,"RT bradmeltzer: Real Americans.\nDon\u2019t judge someone for their religion, race or national origin.\n"
