,tweet_id,text
0,862352377990479872,WHAT R MY SUPER POWERS U ASK HMMM????\n\n#HUSTLE #THEDARKKNIGHT #PLAYINDAHANDIWASDEALT\u2026
1,862348402734092288,RT StryderHD: #THEDARKKNIGHT as an animated movie trailer is here! I hope you guys enjoy!
2,862327066175434752,I liked The Dark Knight! #TheDarkKnight via Movie_App
3,862321543271133187,We have a special 50th ep this week. We discuss #GuardiansoftheGalaxyVol2 &amp; #TheDarkKnight find us on CastCrunch\n
4,862319767285354496,Cinematic DNA....can't wait to have this on my wall!! #TheDarkKnight .. thank you brendandawes
5,862315066657394689,"Wow, what a touching tribute to Heath Ledger from Hans Zimmer PerthArena tonight."
6,862309846066114561,RT vikixlr8: This is Epic especially #TheJoker \n#THEDARKKNIGHT Trilogy\n\n
7,862308717810917376,RT MoviesWS: \u2022 Des For: #HeathLedger | #TheJoker\n\u2022 #Movie :
8,862256824141197313,MikeAndMike Matt Harvey is called #TheDarkKnight but he should be called #TwoFace. Do you get it? HARVEY Dent.. #DCcomics \ud83d\ude02
9,862244530732617728,Vintage 1970s Batman novelty #wristwatch #DCcomics #imbatman #gotham #thedarkknight #adamwest #comics #watchmaking\u2026
10,862242295642456064,RT StryderHD: #THEDARKKNIGHT as an animated movie trailer is here! I hope you guys enjoy!
11,862218316785561600,QOTD:
12,862208217115496448,"Just Released! Available For a Limited Time!\n:* Comment \""Hell Yeah\"" If ..."
13,862199496184299520,RT MoviesWS: \u2022 Des For: #HeathLedger | #TheJoker\n\u2022 #Movie :
14,862198803952259072,you either die a hero or you live long enough to see yourself become the villain \n
15,862198341706362880,The only sensible way to live in this world is without rules~ THE JOKER\n
16,862161561934323714,#Regram from Mattzilla1990\n\u30fb\u30fb\u30fb\n#Batman #DeteciveComics #TheDarkKnight  #BatmanRebirth #DCcomics\u2026
17,862160281736286208,#GuardiansOfTheGalaxyVol2 is out and we break format for our #podcast and review it! We also have the long-awaited #TheDarkKnight talk!
18,862152953288949760,"\""Madness, as you know,is like gravity. All it takes is a little push!\"""
19,862145752872529920,RT lwafpod: Head to #iTunes and #review us! Rate us! Our 50th episode is up and we argue! (good argue).
20,862140158212276224,#thedarkknight Captain America Compression Leggings
21,862133861207207936,Head to #iTunes and #review us! Rate us! Our 50th episode is up and we argue! (good argue).
22,862127425336901632,My old joker silicone mask.
23,862111732017352704,Watch The Dark Knight (2008) Free Online \nLink:  \n
24,862111023196753920,#Playmobil  #LaAventuraDeLaHistoria #ElCaballeroNegro #TheDarkKnight #PlanetaAgostini cheap
25,862094827911090176,Next Tattoo!
26,862092637104463873,The Dark Knight (2008) Download Full Movie HD\nDownload Link:
27,862072970713411584,Looks like you no longer need to be a billionaire to fight crime. #thedarkknight #batman\u2026
28,862067479887060992,Ep 50! We talk #GuardiansoftheGalaxyVol2 without #spoilers! (Pat on back). We also hit #THEDARKKNIGHT.
29,862061932228038659,#thedarkknight Thor Compression Shirt
30,862059146656591872,barstoolsports NjTank99 lfpendleton11 \n#TheDarkKnight deserves a second chance! He apologized today at a news conference!
31,862057053879234560,Mets lfpendleton11 \n#TheDarkKnight deserves second chance! #LGM! \ud83d\udd37\ud83d\udd36 \u26be\ufe0f\u26be\ufe0f\u26be\ufe0f#UnfinishedBusiness \ud83c\udfc6\ud83c\udfc6\ud83c\udfc6\ud83c\udfc6\ud83c\udfc6
32,862045667409223680,Watch The Dark Knight (2008) on Flixano\nStart Free Trial:
33,862042497924640769,Finished an impressionistic painting of the Joker.
34,862040925811376129,RT MoviesWS: \u2022 Des For: #HeathLedger | #TheJoker\n\u2022 #Movie :
35,862040739085262848,RT MoviesWS: \u2022 Des For: #HeathLedger | #TheJoker\n\u2022 #Movie :
