,tweet_id,text
0,862348430974361600,"RT SW_ArtGallery: \""Battle of Hoth\"" | by Dom L. &amp; Luke S. ("
1,862348113276801024,"RT YahooMovies: #StarWars flashback! Watch #CarrieFisher talk about \""impossible dialogue\"" in clip from set of"
2,862347906854117376,"RT SW_ArtGallery: \""Battle of Hoth\"" | by Dom L. &amp; Luke S. ("
3,862345157852762112,"RT SW_ArtGallery: \""Battle of Hoth\"" | by Dom L. &amp; Luke S. ("
4,862344790058434560,"\""Battle of Hoth\"" | by Dom L. &amp; Luke S. ("
5,862344123986128897,Princess Leia \n\nWhich was your favourite time? We're partial to her look in #theEmpireStrikesBack \n\n#starwars\u2026
6,862343264694939648,"RT YahooMovies: #StarWars flashback! Watch #CarrieFisher talk about \""impossible dialogue\"" in clip from set of"
7,862342473871478784,"RT YahooMovies: #StarWars flashback! Watch #CarrieFisher talk about \""impossible dialogue\"" in clip from set of"
8,862341875340111872,"RT YahooMovies: #StarWars flashback! Watch #CarrieFisher talk about \""impossible dialogue\"" in clip from set of"
9,862341851088637952,"RT YahooMovies: #StarWars flashback! Watch #CarrieFisher talk about \""impossible dialogue\"" in clip from set of"
10,862341732213673985,"#StarWars flashback! Watch #CarrieFisher talk about \""impossible dialogue\"" in clip from set of #TheEmpireStrikesBack\u2026"
11,862230572860448768,What are Leiah\u2019s eyes looking at on the #theempirestrikesback poster? Looks a bit like Han would be holding a corps\u2026
12,862205384869675008,"RT 12DAYSTARWARS: I REMEMBER THIS ISSUE! WHAT A LIST OF #MOVIES OUT THAT YEAR, WITH THE BEST EVER, #theempirestrikesback #MarkHamill #Star\u2026"
13,862199838867431426,RT SW_ArtGallery: Hoth | by Lucas_Marangon1
14,862172661224325121,This is my favorite tbh
15,862165817487749120,VeryPodcast I felt like borrowing #JoanCrawford axe and chopping off your head: \u26a0 #ThePhantomMenace better than\u2026
16,862144116804788224,RT CaptHalloween: Now watching...\nSTAR WARS:
17,862129408907325440,RT starwarsVIII8: Great homage from Guardians of the Galaxy\n#starwars #theempirestrikesback #GuardiansoftheGalaxyVol2 #GuardiansoftheGalax\u2026
18,862129315252756480,new hottoysofficial #PrincessLeia figure from #theEmpirestrikesback\n\n
19,862118003219079170,RT SW_ArtGallery: Hoth | by Lucas_Marangon1
20,862114715425800192,Now watching...\nSTAR WARS:
21,862073832349196288,RT SW_ArtGallery: Hoth | by Lucas_Marangon1
22,862038412722933760,RT SW_ArtGallery: Hoth | by Lucas_Marangon1
23,862026254261923840,RT SW_ArtGallery: The Empire Strikes Back Tribute Poster | by Livio Bernardo ( #StarWars #TheEmpireStrikesBack #fa\u2026
24,862025785103839234,RT SW_ArtGallery: Yoda | by RachelGillo
25,862025309813694464,RT SW_ArtGallery: The Empire Strikes Back Tribute Poster | by Livio Bernardo ( #StarWars #TheEmpireStrikesBack #fa\u2026
26,862025285536972805,RT SW_ArtGallery: Hoth | by Lucas_Marangon1
27,862021087118462976,RT SW_ArtGallery: Hoth | by Lucas_Marangon1
28,862018075138428929,RT SW_ArtGallery: Hoth | by Lucas_Marangon1
29,862011520565248000,"RT NOWTV: \""Fear leads to anger. Anger leads to hate. Hate leads to suffering.\u201d\n\n"
30,862011091945127937,#StarWars will not turn into a cookie cutter franchise... Oh. Long Live
31,862006915274076160,"RT NOWTV: \""Fear leads to anger. Anger leads to hate. Hate leads to suffering.\u201d\n\n"
32,862006006884306945,"\""Fear leads to anger. Anger leads to hate. Hate leads to suffering.\u201d\n\n"
33,862002885290340353,RT SW_ArtGallery: Hoth | by Lucas_Marangon1
34,862002547095199745,RT SW_ArtGallery: Hoth | by Lucas_Marangon1
35,862001507545305088,Hoth | by Lucas_Marangon1
36,862000676074917891,The Empire Strikes Back Tribute Poster | by Livio Bernardo ( #StarWars\u2026
37,861991347376594944,"RT 12DAYSTARWARS: I REMEMBER THIS ISSUE! WHAT A LIST OF #MOVIES OUT THAT YEAR, WITH THE BEST EVER, #theempirestrikesback #MarkHamill #Star\u2026"
38,861967850981994496,#TheEmpireStrikesBack All you need to know about the #elections this week
39,861893952127086592,RT SW_ArtGallery: Yoda | by RachelGillo
40,861847216155131904,Search #kickstarter for #scanography \n#starwars #theempirestrikesback  #hansolo #harrisonford #georgelucas\u2026
41,861843937857855489,"RT 12DAYSTARWARS: I REMEMBER THIS ISSUE! WHAT A LIST OF #MOVIES OUT THAT YEAR, WITH THE BEST EVER, #theempirestrikesback #MarkHamill #Star\u2026"
42,861817869704863744,RT starwarsVIII8: Great homage from Guardians of the Galaxy\n#starwars #theempirestrikesback #GuardiansoftheGalaxyVol2 #GuardiansoftheGalax\u2026
43,861795652543447040,Watching #TheEmpireStrikesBack and seeing how much #DebbieReynolds was in
44,861782222931492865,RT IEarths: Hot Toys Announces New Sixth Scale Princess Leia...\n\nHotToysOfficial #PrincessLeia #StarWars #TheEmpireStrikesBack\n\n
45,861753475176120320,"RT 12DAYSTARWARS: I REMEMBER THIS ISSUE! WHAT A LIST OF #MOVIES OUT THAT YEAR, WITH THE BEST EVER, #theempirestrikesback #MarkHamill #Star\u2026"
46,861748413066469376,RT starwarsVIII8: Great homage from Guardians of the Galaxy\n#starwars #theempirestrikesback #GuardiansoftheGalaxyVol2 #GuardiansoftheGalax\u2026
47,861744326195290112,"RT 12DAYSTARWARS: I REMEMBER THIS ISSUE! WHAT A LIST OF #MOVIES OUT THAT YEAR, WITH THE BEST EVER, #theempirestrikesback #MarkHamill #Star\u2026"
48,861738181988929536,"RT 12DAYSTARWARS: I REMEMBER THIS ISSUE! WHAT A LIST OF #MOVIES OUT THAT YEAR, WITH THE BEST EVER, #theempirestrikesback #MarkHamill #Star\u2026"
49,861737259543998465,RT SW_ArtGallery: Yoda | by RachelGillo
50,861727750566162432,"It ain't no #TheEmpireStrikesBack, but #GuardiansoftheGalaxyVol2 is fun, nonetheless."
51,861708153888571392,popculturequest #TheEmpireStrikesBack - it's the only one In the saga I missed first time round - that and
52,861697984601481216,"RT 12DAYSTARWARS: I REMEMBER THIS ISSUE! WHAT A LIST OF #MOVIES OUT THAT YEAR, WITH THE BEST EVER, #theempirestrikesback #MarkHamill #Star\u2026"
53,861676221649879040,Brilliant poster of #GuardiansoftheGalaxyVol2 homage to #StarWars #TheEmpireStrikesBack.
54,861660383672651776,"RT 12DAYSTARWARS: I REMEMBER THIS ISSUE! WHAT A LIST OF #MOVIES OUT THAT YEAR, WITH THE BEST EVER, #theempirestrikesback #MarkHamill #Star\u2026"
55,861659836823597058,"RT 12DAYSTARWARS: I REMEMBER THIS ISSUE! WHAT A LIST OF #MOVIES OUT THAT YEAR, WITH THE BEST EVER, #theempirestrikesback #MarkHamill #Star\u2026"
56,861659550965018624,#MothersDay &lt; 1 week! #StarWars Lawn Ornament
57,861646630742654976,"RT 12DAYSTARWARS: I REMEMBER THIS ISSUE! WHAT A LIST OF #MOVIES OUT THAT YEAR, WITH THE BEST EVER, #theempirestrikesback #MarkHamill #Star\u2026"
58,861642986957885440,RT SW_ArtGallery: Yoda | by RachelGillo
59,861642367031443460,Yoda | by RachelGillo
60,861635924404383746,"Can we please stop this thing that every time a sequel is \""darker\"" we call it the #TheEmpireStrikesBack of the series? It very rarely is."
61,861635842791669760,RT starwarsVIII8: Great homage from Guardians of the Galaxy\n#starwars #theempirestrikesback #GuardiansoftheGalaxyVol2 #GuardiansoftheGalax\u2026
62,861625454029135872,"In a deleted scene of #TheEmpireStrikesBack, we discover why #Lando had to steal Han's wardrobe.\u2026"
63,861622468469026818,Great homage from Guardians of the Galaxy\n#starwars #theempirestrikesback #GuardiansoftheGalaxyVol2\u2026
64,861602968990175232,RT IEarths: Hot Toys Announces New Sixth Scale Princess Leia...\n\nHotToysOfficial #PrincessLeia #StarWars #TheEmpireStrikesBack\n\n
65,861590752408764416,"RT 12DAYSTARWARS: I REMEMBER THIS ISSUE! WHAT A LIST OF #MOVIES OUT THAT YEAR, WITH THE BEST EVER, #theempirestrikesback #MarkHamill #Star\u2026"
66,861588537589854208,"RT 12DAYSTARWARS: I REMEMBER THIS ISSUE! WHAT A LIST OF #MOVIES OUT THAT YEAR, WITH THE BEST EVER, #theempirestrikesback #MarkHamill #Star\u2026"
