,tweet_id,text
0,862337770840346624,RT mikes464: #TheExorcist edit for Wednesday!! RobEmmetLunney &amp; hkasulka \ud83d\ude0a\nPlease #RenewTheExorcist FOXTV \ud83d\ude4f\ud83c\udffb
1,862337757917663234,RT authorejamie: The #ExorcistCongregation is a hell-a talented bunch! FOXTV
2,862334696281321474,RT authorejamie: The #ExorcistCongregation is a hell-a talented bunch! FOXTV
3,862334096760025089,RT mikes464: #TheExorcist edit for Wednesday!! RobEmmetLunney &amp; hkasulka \ud83d\ude0a\nPlease #RenewTheExorcist FOXTV \ud83d\ude4f\ud83c\udffb
4,862330709008044032,Some of books-collection\n\n#novels #stephenking #williampeterblatty #carrie #theexorcist\u2026
5,862330161613680641,RT authorejamie: The #ExorcistCongregation is a hell-a talented bunch! FOXTV
6,862328318573531137,RT KikiLee0707: \ud83d\ude4fPlease renew #TheExorcist \n\nFOXTV
7,862320713075761152,The #ExorcistCongregation is a hell-a talented bunch! FOXTV
8,862313850779119616,"RT 106th: wait, the BEST part of this story about #SleepyHollow being cancelled is the last line! YES BDisgusting! #TheExorcist #RenewThe\u2026"
9,862302147123093504,\ud83d\ude4fPlease renew #TheExorcist \n\nFOXTV
10,862296750392037376,RT mikes464: #TheExorcist edit for Wednesday!! RobEmmetLunney &amp; hkasulka \ud83d\ude0a\nPlease #RenewTheExorcist FOXTV \ud83d\ude4f\ud83c\udffb
11,862283935342108672,RT 227TN: \u3164\u3164\u3161 What an excellent day for an exorcism \u275c\n\u3164(The Power of Christ compels you!)
12,862279642413182976,IronbaneDK No news on #TheExorcist yet
13,862279098869198848,#TheExorcist edit for Wednesday!! RobEmmetLunney &amp; hkasulka \ud83d\ude0a\nPlease #RenewTheExorcist FOXTV \ud83d\ude4f\ud83c\udffb
14,862249066050105344,"HipHopSince79 My child, your tweet pleases Me \ud83d\ude08"
15,862248607344406528,RT RegansPazuzu: Hello My child tiziana_tynihal \n
16,862248528197898240,RT 4EverJohnnyBoy: FOXTV I've recruited 9 people to #TheExorcist. Starting my 5th full season replay tomorrow. TheExorcistFOX is THAT go\u2026
17,862248209493614592,Hello My child tiziana_tynihal \n
18,862247322629156864,"RT 106th: wait, the BEST part of this story about #SleepyHollow being cancelled is the last line! YES BDisgusting! #TheExorcist #RenewThe\u2026"
19,862200404217659392,"RT 106th: wait, the BEST part of this story about #SleepyHollow being cancelled is the last line! YES BDisgusting! #TheExorcist #RenewThe\u2026"
20,862200360714240001,RT 4EverJohnnyBoy: FOXTV I've recruited 9 people to #TheExorcist. Starting my 5th full season replay tomorrow. TheExorcistFOX is THAT go\u2026
21,862199855569096704,RT 4EverJohnnyBoy: FOXTV I've recruited 9 people to #TheExorcist. Starting my 5th full season replay tomorrow. TheExorcistFOX is THAT go\u2026
22,862191477002313728,tvseriesfinale any news on #TheExorcist ? I really want that renewed:)
23,862163613628469248,FOXTV I've recruited 9 people to #TheExorcist. Starting my 5th full season replay tomorrow. TheExorcistFOX is THAT good!
24,862162549814546432,106th BDisgusting Renewing #TheExorcist \ud83e\udd1e\ud83c\udffb\ud83e\udd1e\ud83c\udffb
25,862162131701174272,"RT 106th: wait, the BEST part of this story about #SleepyHollow being cancelled is the last line! YES BDisgusting! #TheExorcist #RenewThe\u2026"
26,862158030133219328,RT mlp60: FOXTV Please renew
27,862157955273183232,"RT 106th: seriously. i need FOXTV to renew #TheExorcist, move it to a new night and REALLY give it a chance. it already has a loyal follo\u2026"
