,tweet_id,text
0,862354150620893184,TheFilmStage #TheGodfather Great movie  . See more details:
1,862346904356757504,Keep your friends close but enemies closer!
2,862345143810088960,Behind every successful fortune there is a crime. #TheGodfather #quotesabbasmaj
3,862344888725245952,Justice Khosa stands  vindicated ! #TheGodfather
4,862341920693080066,I need this.
5,862336807467233280,#Role: Vito Corleone\r#Movie: The Godfather (1972)\r#Actor: Marlon Brando\r
6,862336123787497472,Sean Spicer says when Comey was fired the President was standing as godfather for Connie's son.
7,862335222716694529,For Protest I Remove my Army Officers DP.Ab Fooj b bikay gi
8,862327442601517056,"#TRUMP may have watch #TheGodfather baptism scene,one 2 may times."
9,862322623707049984,"Trump team is \""going to the mattresses\""."
10,862315429238362112,#GianniRusso reveals ' #TheGodfather ' #feud with #JamesCaan  via pagesix
11,862311853816508420,lol.   #TheGodfather  he is indeed!
12,862310106695958529,#TheGodfather Explained: How they used shadows to get a very powerful message through to us  Tweet4EiC
13,862309256862846977,Michael gets married in Sicily alpacino #thegodfather by
14,862300699442413568,scottydamian  #TheGodfather cast reunited in NYC April 28 - but definitely not at Mario's Restaurant in Bronx !
15,862284212954595328,Whatever happened to a good old severed horse head?
16,862283238320082945,We're giving away #TheGodfather 45th Anniversary Blu-rays. RT this + follow us...  by
17,862280950574657537,Happy #weddingwednesday! What wedding scene is the most memorable in your opinion? #TheGodfather
18,862277231908966400,We're giving away #TheGodfather 45th Anniversary Blu-rays. RT this + follow us to enter. See more details:
19,862275619693973505,Last day before returning to work.. it's time for the classics!
20,862275080700612608,"\""I'll make him an offer he cannot refuse\"" - Mario Puzo #TheGodfather"
21,862273761076293633,Right out of #TheGodfather: Trump sent bodyguard to deliver termination letter to Comey.  via politico
22,862237934279417856,Why movies like #TheGodfather and #Scarface are not being made anymore
23,862226050776018944,For the secret of a meaningful life look no further than #TheGodfather advises murphywriter in today's
24,862226050771800064,For the secret of a meaningful life look no further than #TheGodfather advises murphywriter in today's
25,862226050687881217,For the secret of a meaningful life look no further than #TheGodfather advises murphywriter in today's
26,862222795715096576,Saw JimNorton &amp; DaveJuskow &amp; cast do an amazing version of #theGodfather tonight at VUndergroundNYC. Great show! BeneventoLisaJ
27,862190087446159360,"Filed under: Bollywood, Mallika Sherawat        #MallikaSherawat #MallikaSherawat #thegodfather #alpacino #sicily"
28,862189741671817216,Perfection
29,862179294398861312,34 Great #quotes from the #book #TheGodfatherI'll make him an offer he can't refuse
30,862171160057925632,Francis Ford Coppola's epic family crime saga explores the deepest &amp; darkest corners of human psyche
31,862162108783448066,I ate #eeldon today and couldn't help but draw this. has this been done??
32,862159292828459008,Reaction of Johnmarley in #TheGodfather was real as the head of the dead horse
33,862138598644002817,"Yeah, current Watergate  \""Revenge is a dish best served cold.\"""
34,862111207913910272,"Bonus douchebag points for Trump tryna fire Comey via Rump's bodyguard, Luca Brasi style."
35,862107793116942338,"*Sounds like #JamesComey thought he was \""#TheGodfather of #America\""..."
36,862107344477540353,"Spent my evening listening to #NinoRota's beautiful compositions for #TheGodfather Infinitely exquisite music, on a very personal level."
37,862095075509116928,BLU RAY PICKUPS HAUL UPDATE May 2017 / 8 Pickups!
38,862093645331271680,Trump really does think he's #TheGODFATHER . Dude you are going to do real time. #MoveOverBernieMadoff Make room fo
39,862086111547371520,FOLLOW &amp; Retweet this to Win #TheGodfather 1 &amp; 2 Blu-ray set!Details at
40,862085794634153985,#giveaway RT for a chance to win #TheGodfather Part 1 &amp; 2 set Blu-ray from  RamasScreen
41,862082386179350528,"It's not personal, it's strictly business."
42,862082213906718722,What is this #theGodfather and #LucaBrasi delivering his messages?
43,862080007165923329,"If you had to choose between The Godfather I and II, which one would you pick?"
44,862079282864160768,RichEisenShow: #TodayShow host MLauer recently hosted #TheGodfather panel with the cast and couldn't believe some
45,862078993712861185,#TodayShow host MLauer recently hosted #TheGodfather panel with the cast and couldn't believe some of the stories
46,862068230512410624,Like #TheGodfather's Michael Corleone kissing his brother Fredo.
47,862064848355684357,FREE #MLB  PICK Mets
48,862053327189811202,newfifanow ... you of anything?
49,862051120646148096,Watching #TheGodfather
50,862050216119324672,Jockeys at the ready.... #jockey #horse #pantohorse #thegodfather #horseshead #jodphurs #horseracing #grandnational
51,862030265996242945,Anyone else a little bit scared
52,862014741543309316,Stream The Godfather (1972) on GeekerMoviesWatch Now:
53,861997624391499777,The Godfather -Solo la familia.
54,861997604791517184,The Godfather -Solo la familia.
55,861987478231805952,Dude working on my floor right now sound like Vito Corleone
56,861985105627291648,#TheGodfatherMichael and Apollonia
57,861976973630984197,The Godfather (1972) Download Full Movie HDDownload Link:
58,861966370375962624,#alecbaldwin imitating #alpacino and #robertdeniro in the #reunion of #thegodfather in the #tribeca2017 so #funny!!
59,861933858056437760,8pm Year of #TheGodfather comes to a close  DaveJuskow DanNaturman newweeeyum RachelFeinstein LennyMarcusNYC &amp; more!
60,861923031328866304,Mario Puzo spends a lot of time talking about vaginal/pelvic walls
61,861872628658843649,... er in commemoration of #TheGodfather ?
62,861859337400193024,Watch The Godfather (1972) on FlixanoStart Free Trial:
63,861852683011018752,See gesture...See coach...See class #Thegodfather
64,861851300484349952,The Godfather: 45th Anniversary BLU RAY UNBOXING and Review
65,861850229133369344,BLU RAY PICKUPS HAUL UPDATE May 2017 / 8 Pickups!
66,861848082878787584,#Terranova would like to pay tribute to the number one source of #inspiration &amp; #strength #theGodfather #LeePerry
67,861840952046092288,One of the best #Sopranos moments - Paulies Godfather Theme Car Horn
68,861835312967897088,Ask in the neighborhood for me How does it continue? #TheGodfather
69,861829602532052993,Ask in the neighborhood for me How does it continue? #TheGodfather
70,861824932027654144,KristianHarloff What is next for #TheGodfather in the #Schmoedown?
71,861786525125816320,A tale of two Michaels.#ThePublicEnemy
72,861783640086368256,"Ep 11 is up: #yokoono screams, #TheGodfather reunion and why guitars should end"
73,861781670814470146,The FunkFather
74,861777523071438848,"\""Just when I thought I was out.... they pull me back in!\"""
75,861775555452162053,BetterCallSaul Great salute to #TheGodfather bringing in Chuck's wife like Michael Corleone bringing in Frank Pentangelli's brother
76,861757310183649281,Is #MICHAELFLYNN really Frank Pentangeli
77,861748878265262080,#TheGodfather Cast Reunion!! #AlPacino #RobertDeNiro Amazing Discussion!!
78,861739844334223368,Me and Don Corleone. #roadtrip #losangeles #hollywood #madametussauds #thegodfather #doncorleone
79,861723243492900864,Here we go! Another old school movie
80,861721195149971456,Final installment of #TheGodfather tomorrow at 8pm  tkts:  with DaveJuskow  LennyMarcusNYC  DanNaturman  &amp; more!
81,861703539348918272,ICYMI - Everything you need to know from #TheGodfather anniversary screening
82,861687163628396544,#FathomEvents are bringing #TheGodfather to select theatre for a special two-day event. Click here for tickets!
83,861678995410214912,What's the story with The Godfather 45th Anniversary Edition BluRays? Will they be on amazon to purchase? #TheGodfather Bluray_Dan
84,861674512525520897,#AntonioConte has been nicknamed #TheGodFather by a fan
85,861661358315765760,Watch The Godfather (1972) Free Online Link:
86,861650073238859778,One word.. A Legend
87,861646999048916997,Loving the new parking booths at #JonesBeach. I feel like I should see Sonny driving up at any moment.
88,861619464571412480,"davidalorka #TheGodfather there is no one that can match him, hopefully jose brings the europa and starts a legacy"
89,861616043923472385,In any league... greatest manager of the game #TheGodfather
90,861608067603079168,ThatKevinSmith RalphGarman ya nobody important missing from #TheGodfather pic you mention on Babylon ... except The Godfather! RIP Brando.
91,861605338587570176,JonLampleyMusic Just saw marcroberge post on instagram.  Congrats!
92,861600347718115329,Great new episode of CinemaShame with a wonderful discussion about
93,861595694171385856,"Me eveytime I see dead fish somewhere: \""Its a Sicilian message. It means Luca Brasi sleeps with the fishes -Clemenza"
94,861586786690019330,"Meet the real mafia men who inspired #TheGodfather himself, Don Vito Corleone via GettyImages"
95,861571873859137536,Like The Godfather !
96,861566995246067712,#RSFunnyWomen: Improv queen kaneezsurka translates iconic dialogues from #StarWars and #TheGodfather into Hindi.
97,861538848597135360,vixsharma1 vikramchandra Seriously!! Are you pitching #Bahubali with #TheGodfather ? Have you seen Godfather? Ple
98,861531048089464832,Gonna make you a T-0shirt you can't refuse. It's Not Personal It's Strictly Business  via
99,861526209691308032,"vikramchandra Comparing #TheGodfather and Sholay.?!?! Sholay is not even remotely close, let alone beating. Be pos"
100,861521293979602944,I spent my life trying not to be careless. Women and children can be careless but not men. #TheGodfather
101,861498757669629953,Watch The Godfather (1972) on #NOWTV (14-Day Free Trial)Watch it now:
102,861496973177872384,t_godfrey97 Have a great skate #TheGodFather
103,861478925423173632,BLU RAY PICKUPS HAUL UPDATE May 2017 / 8 Pickups!
104,861477678787969024,BLU RAY PICKUPS HAUL UPDATE May 2017 / 8 Pickups!
105,861473857923760129,The Godfather Reunion Brings Cast And Director Together For 45th Anniv...  via YouTube#classic
106,861468190118862848,One of the best movies ever made. Only Sholay would beat it on my personal list of favourites.
107,861435999452311552,The Godfather. The Godfather Part II. Reunion 2017.Masterpiece. Epic. Timeless.  #TheGodfather
108,861415191803768832,Keep your friends close but you're enemies closer
109,861402634539991040,Watching #TheGodfather zeroterrestrial
110,861401135055331329,Found a horse head in my bed tonight.
111,861367958295031808,I'll make him an offer he can't refuse
112,861364193362051073,Watching #TheGodfather got the first time
113,861358769250455552,Final installment of #TheGodfather is Tuesday at 8pm  tkts:  with DaveJuskow  LennyMarcusNYC  DanNaturman  &amp; more!
114,861355932734902273,missing my little man
115,861327090699952128,sjokz Me2. I dont give a fk #Bmovie anyway. like #brando and #DiCaprio.I am watching #Godfather #TheGodfather rig
116,861326434064887812,Bedtime reading. Horse's head not included.#thegodfather #alpacino #marlonbrando
117,861326037543788545,iTunesMovies: An offer you can't refuse.Celebrate the 45th anniversary of #TheGodfather with this specially price
118,861324802308571137,An offer you can't refuse.Celebrate the 45th anniversary of #TheGodfather with this specially priced collection.
119,861316279155740672,"How to throw a New York wedding, courtesy of #thegodfather."
120,861291762106617856,"Meet the real mafia men who inspired #TheGodfather himself, Don Vito Corleone via GettyImages"
121,861286861255454721,Big Cal's Bluray Collection - Part 1- Films and TV Shows
122,861286817424953345,Ginsburg need to be retired. #TheGodFather wayJudge Pirro to replace the old battle axe
123,861281478231154689,45 the Anniversary of the one of the best films ever made. #TheGodfather IndieWire
124,861270991334510595,Legends never age!
125,861267909062123521,We miss #TheGodfather yaltaallens
126,861257008850272257,The Godfather Part II (1974)Directed by Francis Ford CoppolaCinematography byGordon Willis
127,861246339035918336,A huge happy #60birthday my beautiful #family #unclemichael #thegodfather  #1940s  #1940sfashion
128,861241468958191616,This Is Different - #ClassicMovies in Miniature Style! #StarWars #Alien #TheGodfather #TheShining #MiniatureArt
129,861217945057415168,AlexLikesGumbo TrueFactsStated I thought it was a mobster movie..
130,861208350226354176,"Here's what you learn about #TheGodfather while watching it with over 1,000 fans"
131,861208074656337920,"Here's what you learn about #TheGodfather while watching it with over 1,000 fans"
132,861207522895683587,"Here's what you learn about #TheGodfather while watching it with over 1,000 fans"
133,861207491526262785,"Here's what you learn about #TheGodfather while watching it with over 1,000 fans"
134,861206910887788544,"Meet the real mafia men who inspired #TheGodfather himself, Don Vito Corleone via GettyImages"
135,861204733238935552,The cast and #Director of #TheGodfather on making an American masterpiece.
136,861203061276123137,Cast of The Godfather on 45th anniversary reunion on April 29th last. Missing.............. #thegodfather
137,861198705134895104,Shower and shave then out Pokmon hunting with the kids #topuncle #godfather #TheGodfather #obvsrunningamafiafaction #lostmytrainofthought
138,861196753529262080,The Godfather: 45th Anniversary BLU RAY UNBOXING and Review
139,861193725405528064,Michael Corleone
140,861163495600959488,Jobs today include watching #thegodfather since I'm going to be attempting to act in a recreation of it for
141,861151183133716481,The most epic #Gangster flick of all time #TheGodfather turns 45!
142,861113627490664448,"even #thegodfather Hated #outboundmarketing,it's time that you better listen to the"
143,861108985922863104,An easy way to do a #Brando impression as his character in the #TheGodfather is just to say
144,861096597999861760,The Godfather: 45th Anniversary BLU RAY UNBOXING and Review
145,861052533040701440,"The movie was so good, I HAD to get the book #TheGodfather"
146,861032507957030913,cavs KingJames KyrieIrving Official Cavs defend the land song
147,861030141555822592,"Recently obtained autographs of Legendary Director, Francis Ford Coppola #TheGodfather #ApocalypseNow"
148,861010967282450433,I'm not Italian but Vito Corleone rules is something you have to follow in life.
149,861005766605582338,"bigbankdte aka #TheGodfather \""Don't Worry\"" #MobLifeOrNoLife  #DTE   via youtube"
150,861004191556182016,I would nose dive off the Clemente bridge if Mike Sullivan told me to do it
151,860997481211056129,Death by a pair of glasses. Only in
152,860996379367407616,Final installment of #TheGodfather is Tuesday at 8pm  tkts:  with DaveJuskow  LennyMarcusNYC  DanNaturman  &amp; more!
153,860981711001276416,Watching
154,860977816837476352,Mary is a brat
155,860972976014999552,Hailey's looking up at me with her cute chubby chipmunk cheeks like...  #TheGodfather
156,860968660457992198,"\""Never hate your enemy, it clouds your judgement\"""
157,860948350920777730,#TheGodfather 2017 Cast
158,860938558655401985,#TheGodfather #Reunion Brings Cast And Director Together For 45th Anniversary (Full) Jamal_Anwahi ec956eb223a540b
159,860925288309547013,Watching #TheGodfather on Blu-ray for the first time looks awesome and it's still my favorite move of all time. Lov
160,860923566740697088,Sonny is on the causeway.
161,860902106026438659,#Wiley 'The Godfather Posters have just arrived. DM to place an order. 3.99 plus P&amp;P. #grime #thegodfather
162,860900883617521664,And Bobby! HAPPY #2 to this little nugget! #bestgodsonever #thegodfather
163,860883548299034624,"I don't like violence, Tom. I'm a businessman. Blood is a big expense."
164,860883432959856640,You talk about vengeance. Is vengeance going to bring your son back to you? Or my boy to me?
165,860873309851963392,I love Uncle Al days!
166,860863241819435008,"\""The 2nd was better than the 3rd\"" - Robert Duvall sobre #TheGodfather. Jaja! Chequea el cast reunion:"
167,860861859737460736,and still none of you #theGodfather fans recognize my meme picture
168,860861725893152768,A night in the name of #TheGodfather  watching The Godfather
169,860860961208627200,The Godfather Reunion Brings Cast  Together For 45th Anniv...
170,860860044581232640,CMovieTreasures ClassicMovieHub Still the greatest movie of all time! #TheGodfather #classic
171,860857814134161409,ParisJackson&gt;&gt;#ParisJackson in #Harlem with Macaulay Culkin&lt;&lt;#TheGodfather #Macaulayculkin #Friends #ParisBlues
172,860854097729245184,The godfather IV -  As time goes by#bw #thegodfather #lol  Conjunto Santa Maria
173,860851133023125504,I always feel I should be wearing a Suit &amp; Tie when I'm watching #TheGodfather. Super Movie with an exceptional cast.  Capisci?
